Input Number, Run_Number, Result@ 1000, A, B, H, C, Y, T5, L4, L1, L5, T1, T2, T3, T4, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 083, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 76, 44, 69, 661, 561, 483, 425, 463, 100, 675, 78, 58, 62, 50, 413, 413, 434, 289, 213, 169, 241, 145
INVAR-1, Run: 084, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 75, 32, 49, 881, 647, 527, 459, 500, 234, 582, 120, 68, 59, 37, 463, 463, 364, 256, 181, 149, 218, 108
INVAR-1, Run: 085, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 78, 35, 30, 403, 345, 315, 285, 354, 58, 674, 30, 30, 31, 21, 333, 333, 383, 243, 165, 130, 291, 140
INVAR-1, Run: 086, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 74, 62, 70, 640, 563, 512, 459, 516, 77, 581, 51, 53, 43, 39, 477, 477, 434, 306, 232, 170, 147, 128
INVAR-1, Run: 087, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 64, 27, 43, 1068, 827, 650, 551, 577, 241, 434, 177, 99, 74, 56, 521, 521, 320, 234, 170, 143, 114, 86
INVAR-1, Run: 088, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 73, 36, 31, 617, 538, 457, 404, 453, 79, 508, 81, 53, 51, 43, 410, 410, 360, 240, 167, 131, 148, 120
INVAR-1, Run: 089, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 1, 2, 0, 100, 0, 0, 0, 595, 486, 413, 377, 423, 109, 100, 73, 36, 54, 45, 378, 378, 100, 100, 100, 100, 0, 0
INVAR-1, Run: 090, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 48, 27, 28, 609, 496, 427, 379, 426, 113, 425, 69, 48, 53, 40, 386, 386, 289, 203, 155, 128, 136, 86
INVAR-1, Run: 091, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 10, 1, 9, 100, 56, 36, 43, 705, 553, 442, 372, 436, 152, 528, 111, 70, 36, 37, 399, 399, 347, 235, 179, 143, 181, 112
INVAR-1, Run: 092, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 30, 26, 17, 497, 403, 344, 309, 370, 94, 361, 59, 35, 39, 34, 336, 336, 237, 173, 143, 117, 124, 64
INVAR-1, Run: 093, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 57, 27, 26, 643, 514, 437, 393, 440, 129, 505, 77, 44, 53, 31, 409, 409, 312, 210, 153, 126, 193, 102
INVAR-1, Run: 094, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 58, 28, 19, 804, 630, 515, 451, 489, 174, 438, 115, 64, 62, 39, 450, 450, 292, 205, 147, 119, 146, 87
INVAR-1, Run: 095, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 18, 9, 10, 18, 100, 75, 32, 29, 683, 533, 455, 390, 431, 150, 648, 78, 65, 59, 32, 399, 399, 360, 236, 161, 129, 288, 124
INVAR-1, Run: 096, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 8, 9, 0, 8, 100, 52, 30, 31, 636, 536, 449, 391, 439, 100, 464, 87, 58, 52, 45, 394, 394, 307, 213, 161, 131, 157, 94
INVAR-1, Run: 097, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 82, 43, 51, 606, 504, 428, 381, 432, 102, 698, 76, 47, 49, 45, 387, 387, 428, 276, 194, 151, 270, 152
INVAR-1, Run: 098, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 63, 30, 23, 764, 573, 469, 396, 449, 191, 495, 104, 73, 47, 38, 411, 411, 321, 216, 153, 123, 174, 105
INVAR-1, Run: 099, P, 0, 0, 0, 10, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 14, 15, 6, 14, 100, 116, 80, 113, 868, 703, 595, 519, 557, 165, 1129, 108, 76, 62, 57, 500, 500, 660, 409, 293, 213, 469, 251
INVAR-1, Run: 100, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 100, 50, 28, 42, 551, 481, 412, 359, 415, 70, 430, 69, 53, 44, 31, 384, 384, 298, 220, 170, 142, 132, 78
INVAR-2, Run: 001, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 426, 436, 346, 426, 100, 144, 61, 82, 531, 469, 417, 372, 429, 62, 3021, 52, 45, 43, 31, 398, 398, 753, 387, 243, 182, 2268, 366
INVAR-2, Run: 002, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 90, 100, 10, 90, 100, 73, 36, 45, 660, 540, 477, 429, 489, 120, 1544, 63, 48, 40, 28, 461, 461, 478, 254, 181, 145, 1066, 224
INVAR-2, Run: 003, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 96, 106, 116, 96, 100, 84, 40, 58, 608, 507, 437, 387, 441, 101, 1588, 70, 50, 46, 34, 407, 407, 528, 282, 198, 158, 1060, 246
INVAR-2, Run: 004, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 92, 102, 12, 92, 100, 115, 46, 72, 917, 731, 609, 538, 557, 186, 1686, 122, 71, 81, 60, 497, 497, 588, 333, 218, 172, 1098, 255
INVAR-2, Run: 005, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 89, 99, 9, 89, 100, 108, 59, 73, 680, 568, 501, 447, 486, 112, 1579, 67, 54, 61, 28, 458, 458, 581, 340, 232, 173, 998, 241
INVAR-2, Run: 006, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 191, 101, 111, 191, 100, 66, 39, 42, 561, 485, 429, 388, 449, 76, 1891, 56, 41, 39, 32, 417, 417, 465, 247, 181, 142, 1426, 218
INVAR-2, Run: 007, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 899, 909, 919, 899, 100, 75, 28, 24, 519, 405, 344, 297, 368, 114, 3153, 61, 47, 29, 26, 342, 342, 505, 227, 152, 124, 2648, 278
INVAR-2, Run: 008, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 91, 101, 111, 91, 100, 137, 66, 120, 1063, 796, 649, 538, 563, 267, 1879, 147, 111, 75, 52, 511, 511, 725, 423, 286, 220, 1154, 302
INVAR-2, Run: 009, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 96, 106, 116, 96, 100, 127, 55, 105, 814, 693, 605, 535, 560, 121, 1756, 88, 70, 75, 70, 490, 490, 649, 387, 260, 205, 1107, 262
INVAR-2, Run: 010, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 98, 108, 118, 98, 100, 81, 57, 82, 837, 698, 605, 549, 591, 139, 1566, 93, 56, 58, 52, 539, 539, 544, 320, 239, 182, 1022, 224
INVAR-2, Run: 011, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 195, 105, 115, 195, 100, 123, 35, 56, 709, 607, 524, 444, 492, 102, 2128, 83, 80, 52, 32, 460, 460, 599, 314, 191, 156, 1529, 285
INVAR-2, Run: 012, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 100, 110, 20, 100, 100, 134, 76, 113, 911, 774, 684, 612, 648, 137, 2157, 90, 72, 64, 60, 588, 588, 735, 423, 289, 213, 1422, 312
INVAR-2, Run: 013, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 312, 322, 232, 312, 100, 60, 40, 39, 777, 603, 490, 417, 455, 174, 2298, 113, 73, 62, 43, 412, 412, 463, 239, 179, 139, 1835, 224
INVAR-2, Run: 014, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 421, 431, 341, 421, 100, 96, 53, 88, 750, 625, 554, 493, 533, 125, 2604, 71, 61, 60, 47, 486, 486, 618, 337, 241, 188, 1986, 281
INVAR-2, Run: 015, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 97, 107, 117, 97, 100, 74, 29, 29, 700, 584, 509, 448, 502, 116, 1522, 75, 61, 46, 44, 458, 458, 443, 232, 158, 129, 1079, 211
INVAR-2, Run: 016, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 304, 314, 224, 304, 100, 107, 46, 61, 569, 450, 373, 342, 400, 119, 2506, 77, 31, 42, 30, 370, 370, 653, 314, 207, 161, 1853, 339
INVAR-2, Run: 017, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 91, 1, 11, 91, 100, 83, 38, 56, 773, 592, 501, 440, 493, 181, 1533, 91, 61, 47, 42, 451, 451, 505, 277, 194, 156, 1028, 228
INVAR-2, Run: 018, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 534, 544, 454, 534, 100, 50, 22, 22, 540, 446, 403, 357, 411, 94, 2374, 43, 46, 46, 28, 383, 383, 382, 194, 144, 122, 1992, 188
INVAR-2, Run: 019, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 687, 697, 607, 687, 100, 68, 25, 31, 763, 597, 499, 432, 473, 166, 2800, 98, 67, 59, 50, 423, 423, 448, 224, 156, 131, 2352, 224
INVAR-2, Run: 020, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 101, 111, 121, 101, 100, 79, 34, 41, 761, 560, 455, 397, 451, 201, 1591, 105, 58, 46, 37, 414, 414, 459, 254, 175, 141, 1132, 205
INVAR-2, Run: 021, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 3198, 3208, 3218, 3198, 100, 97, 52, 63, 599, 465, 401, 359, 419, 134, 4824, 64, 42, 40, 33, 386, 386, 576, 312, 215, 163, 4248, 264
INVAR-2, Run: 022, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 96, 106, 116, 96, 100, 129, 57, 101, 711, 607, 540, 499, 534, 104, 1823, 67, 41, 65, 46, 488, 488, 671, 387, 258, 201, 1152, 284
INVAR-2, Run: 023, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 901, 911, 821, 901, 100, 67, 37, 37, 438, 377, 325, 299, 359, 61, 3197, 52, 26, 40, 19, 340, 340, 507, 241, 174, 137, 2690, 266
INVAR-2, Run: 024, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 203, 213, 223, 203, 100, 76, 32, 21, 618, 503, 444, 383, 427, 115, 2065, 59, 61, 56, 36, 391, 391, 487, 229, 153, 121, 1578, 258
INVAR-2, Run: 025, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 857, 867, 877, 857, 100, 112, 47, 63, 777, 650, 572, 510, 562, 127, 3227, 78, 62, 48, 45, 517, 517, 628, 322, 210, 163, 2599, 306
INVAR-2, Run: 026, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 90, 0, 10, 90, 100, 100, 47, 65, 605, 474, 393, 350, 415, 131, 1854, 81, 43, 35, 32, 383, 383, 587, 312, 212, 165, 1267, 275
INVAR-2, Run: 027, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 96, 106, 116, 96, 100, 102, 66, 115, 701, 603, 528, 471, 510, 98, 1799, 75, 57, 61, 58, 452, 452, 649, 383, 281, 215, 1150, 266
INVAR-2, Run: 028, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 91, 1, 11, 91, 100, 93, 37, 42, 472, 386, 346, 310, 380, 86, 1653, 40, 36, 30, 38, 342, 342, 519, 272, 179, 142, 1134, 247
INVAR-2, Run: 029, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1849, 1859, 1769, 1849, 100, 78, 27, 45, 675, 513, 438, 378, 432, 162, 3942, 75, 60, 46, 42, 390, 390, 547, 250, 172, 145, 3395, 297
INVAR-2, Run: 030, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 200, 210, 120, 200, 100, 93, 42, 45, 893, 660, 537, 459, 502, 233, 2263, 123, 78, 57, 40, 462, 462, 578, 280, 187, 145, 1685, 298
INVAR-2, Run: 031, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 92, 102, 12, 92, 100, 104, 50, 82, 659, 583, 516, 460, 505, 76, 1591, 67, 56, 55, 52, 453, 453, 564, 336, 232, 182, 1027, 228
INVAR-2, Run: 032, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 929, 839, 849, 929, 100, 124, 74, 106, 790, 671, 597, 534, 574, 119, 3638, 74, 63, 60, 67, 507, 507, 829, 404, 280, 206, 2809, 425
INVAR-2, Run: 033, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 91, 101, 11, 91, 100, 70, 42, 62, 746, 651, 580, 515, 570, 95, 1568, 71, 65, 45, 56, 514, 514, 502, 274, 204, 162, 1066, 228
INVAR-2, Run: 034, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 92, 102, 112, 92, 100, 100, 31, 30, 716, 540, 453, 386, 441, 176, 1538, 87, 67, 45, 36, 405, 405, 505, 261, 161, 130, 1033, 244
INVAR-2, Run: 035, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 92, 102, 112, 92, 100, 98, 59, 66, 855, 680, 560, 479, 519, 175, 1608, 120, 81, 60, 48, 471, 471, 598, 323, 225, 166, 1010, 275
INVAR-2, Run: 036, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 329, 339, 349, 329, 100, 108, 59, 81, 1018, 750, 583, 494, 516, 268, 2606, 167, 89, 78, 65, 451, 451, 646, 348, 240, 181, 1960, 298
INVAR-2, Run: 037, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 92, 102, 112, 92, 100, 91, 23, 30, 637, 486, 405, 348, 409, 151, 1528, 81, 57, 39, 35, 374, 374, 474, 244, 153, 130, 1054, 230
INVAR-2, Run: 038, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 89, 99, 109, 89, 100, 99, 46, 94, 733, 641, 580, 522, 573, 92, 1558, 61, 58, 49, 53, 520, 520, 544, 339, 240, 194, 1014, 205
INVAR-2, Run: 039, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 100, 110, 120, 100, 100, 101, 42, 59, 816, 629, 522, 456, 503, 187, 1723, 107, 66, 53, 47, 456, 456, 568, 302, 201, 159, 1155, 266
INVAR-2, Run: 040, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 92, 102, 112, 92, 100, 50, 11, 5, 502, 428, 388, 348, 408, 74, 1415, 40, 40, 40, 26, 382, 382, 347, 166, 116, 105, 1068, 181
INVAR-2, Run: 041, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 94, 104, 14, 94, 100, 130, 54, 80, 587, 500, 435, 383, 426, 87, 2084, 65, 52, 57, 39, 387, 387, 692, 364, 234, 180, 1392, 328
INVAR-2, Run: 042, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 95, 105, 15, 95, 100, 75, 37, 19, 544, 429, 363, 320, 383, 115, 1708, 66, 43, 37, 35, 348, 348, 481, 231, 156, 119, 1227, 250
INVAR-2, Run: 043, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 210, 220, 230, 210, 100, 69, 21, 25, 688, 555, 484, 427, 474, 133, 1931, 71, 57, 53, 46, 428, 428, 458, 215, 146, 125, 1473, 243
INVAR-2, Run: 044, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 686, 596, 606, 686, 100, 114, 57, 91, 848, 722, 636, 572, 607, 126, 3317, 86, 64, 65, 55, 552, 552, 718, 362, 248, 191, 2599, 356
INVAR-2, Run: 045, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 92, 102, 12, 92, 100, 110, 45, 60, 606, 519, 454, 395, 442, 87, 1988, 65, 59, 53, 41, 401, 401, 660, 315, 205, 160, 1328, 345
INVAR-2, Run: 046, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 210, 220, 230, 210, 100, 100, 53, 50, 681, 537, 451, 395, 440, 144, 2423, 86, 56, 55, 38, 402, 402, 612, 303, 203, 150, 1811, 309
INVAR-2, Run: 047, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 98, 108, 118, 98, 100, 151, 88, 129, 881, 703, 595, 493, 524, 178, 2299, 108, 102, 69, 77, 447, 447, 860, 468, 317, 229, 1439, 392
INVAR-2, Run: 048, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 203, 213, 123, 203, 100, 74, 33, 33, 726, 561, 467, 412, 470, 165, 2126, 94, 55, 42, 37, 433, 433, 508, 240, 166, 133, 1618, 268
INVAR-2, Run: 049, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 90, 0, 10, 90, 100, 114, 61, 92, 888, 707, 614, 535, 570, 181, 1845, 93, 79, 65, 58, 512, 512, 626, 367, 253, 192, 1219, 259
INVAR-2, Run: 050, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 718, 728, 638, 718, 100, 90, 50, 55, 772, 599, 497, 427, 473, 173, 3092, 102, 70, 54, 31, 442, 442, 592, 295, 205, 155, 2500, 297
INVAR-2, Run: 051, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 202, 212, 122, 202, 100, 89, 40, 37, 566, 456, 392, 336, 385, 110, 2230, 64, 56, 51, 29, 356, 356, 548, 266, 177, 137, 1682, 282
INVAR-2, Run: 052, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 445, 455, 365, 445, 100, 89, 49, 83, 804, 658, 566, 499, 549, 146, 2766, 92, 67, 50, 46, 503, 503, 620, 321, 232, 183, 2146, 299
INVAR-2, Run: 053, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 90, 0, 10, 90, 100, 51, 24, 10, 504, 409, 365, 328, 393, 95, 1553, 44, 37, 35, 26, 367, 367, 396, 185, 134, 110, 1157, 211
INVAR-2, Run: 054, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 300, 210, 220, 300, 100, 83, 49, 72, 594, 525, 464, 412, 464, 69, 2294, 61, 52, 48, 48, 416, 416, 565, 304, 221, 172, 1729, 261
INVAR-2, Run: 055, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 577, 587, 497, 577, 100, 136, 77, 93, 899, 712, 596, 515, 559, 187, 3158, 116, 81, 56, 59, 500, 500, 804, 406, 270, 193, 2354, 398
INVAR-2, Run: 056, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 314, 224, 234, 314, 100, 81, 32, 15, 764, 617, 529, 458, 503, 147, 2621, 88, 71, 55, 42, 461, 461, 539, 228, 147, 115, 2082, 311
INVAR-2, Run: 057, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 91, 101, 11, 91, 100, 60, 25, 14, 553, 456, 390, 340, 405, 97, 1249, 66, 50, 35, 39, 366, 366, 348, 199, 139, 114, 901, 149
INVAR-2, Run: 058, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 95, 105, 15, 95, 100, 119, 64, 78, 950, 707, 551, 467, 486, 243, 2061, 156, 84, 81, 39, 447, 447, 679, 361, 242, 178, 1382, 318
INVAR-2, Run: 059, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 90, 0, 10, 90, 100, 116, 51, 62, 614, 498, 422, 371, 412, 116, 1862, 76, 51, 59, 28, 384, 384, 662, 329, 213, 162, 1200, 333
INVAR-2, Run: 060, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 91, 101, 11, 91, 100, 99, 49, 83, 993, 735, 584, 498, 516, 258, 1860, 151, 86, 82, 33, 483, 483, 620, 331, 232, 183, 1240, 289
INVAR-2, Run: 061, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 322, 332, 242, 322, 100, 76, 34, 34, 648, 507, 447, 389, 426, 141, 2355, 60, 58, 63, 31, 395, 395, 495, 244, 168, 134, 1860, 251
INVAR-2, Run: 062, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 700, 610, 620, 700, 100, 84, 43, 44, 735, 566, 457, 399, 458, 169, 3093, 109, 58, 41, 39, 419, 419, 603, 271, 187, 144, 2490, 332
INVAR-2, Run: 063, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 94, 104, 114, 94, 100, 74, 34, 38, 475, 413, 358, 322, 380, 62, 1643, 55, 36, 42, 28, 352, 352, 502, 246, 172, 138, 1141, 256
INVAR-2, Run: 064, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 202, 212, 122, 202, 100, 89, 36, 49, 627, 507, 433, 392, 451, 120, 1949, 74, 41, 41, 42, 409, 409, 515, 274, 185, 149, 1434, 241
INVAR-2, Run: 065, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 301, 211, 221, 301, 100, 112, 48, 68, 730, 631, 556, 493, 536, 99, 2639, 75, 63, 57, 38, 498, 498, 655, 328, 216, 168, 1984, 327
INVAR-2, Run: 066, P, 0, 100, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 595, 505, 515, 595, 100, 110, 54, 70, 724, 592, 495, 440, 489, 132, 2974, 97, 55, 51, 49, 440, 440, 626, 334, 224, 170, 2348, 292
INVAR-2, Run: 067, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 91, 101, 11, 91, 100, 72, 25, 18, 461, 391, 365, 324, 396, 70, 1508, 26, 41, 28, 25, 371, 371, 437, 215, 143, 118, 1071, 222
INVAR-2, Run: 068, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 202, 212, 122, 202, 100, 96, 41, 44, 557, 482, 443, 407, 459, 75, 2246, 39, 36, 48, 42, 417, 417, 552, 281, 185, 144, 1694, 271
INVAR-2, Run: 069, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 100, 110, 20, 100, 100, 106, 38, 26, 744, 588, 484, 431, 486, 156, 1980, 104, 53, 45, 39, 447, 447, 627, 270, 164, 126, 1353, 357
INVAR-2, Run: 070, P, 0, 0, 0, 100, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 90, 100, 10, 90, 100, 114, 45, 40, 596, 504, 428, 386, 443, 92, 1634, 76, 42, 43, 30, 413, 413, 570, 299, 185, 140, 1064, 271
INVAR-2, Run: 071, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 1, 6, 0, 0, 0, 318, 328, 338, 318, 100, 91, 36, 62, 548, 474, 425, 387, 451, 74, 2527, 49, 38, 36, 32, 419, 419, 579, 289, 198, 162, 1948, 290
