Input Number, Run_Number, Result@ 100, Y, X, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, P, 0, 1, 0, 3, 8, 11, 2, 14, 7
INVAR-1, Run: 002, P, 0, 2, 0, 2, 8, 12, 0, 5, 15
INVAR-1, Run: 003, P, 0, 1, 0, 0, 6, 11, 5, 17, 5
INVAR-1, Run: 004, P, 0, 0, 7, 1, 8, 12, 1, 9, 5
INVAR-1, Run: 005, P, 0, 1, 0, 0, 7, 12, 2, 19, 2
INVAR-1, Run: 006, P, 0, 1, 0, 0, 7, 12, 2, 12, 9
INVAR-1, Run: 007, P, 0, 1, 0, 0, 7, 12, 2, 15, 6
INVAR-1, Run: 008, P, 0, 1, 0, 3, 8, 11, 2, 9, 12
INVAR-1, Run: 009, P, 0, 0, 8, 1, 8, 12, 1, 10, 3
INVAR-1, Run: 010, P, 0, 0, 6, 1, 8, 12, 1, 9, 6
INVAR-1, Run: 011, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 012, P, 0, 0, 8, 1, 8, 12, 1, 6, 7
INVAR-1, Run: 013, P, 0, 0, 2, 1, 8, 12, 1, 13, 6
INVAR-1, Run: 014, P, 0, 0, 2, 1, 8, 12, 1, 11, 8
INVAR-1, Run: 015, P, 0, 0, 9, 1, 8, 12, 1, 5, 7
INVAR-1, Run: 016, P, 0, 1, 0, 0, 7, 12, 2, 19, 2
INVAR-1, Run: 017, P, 0, 0, 11, 1, 8, 12, 1, 8, 2
INVAR-1, Run: 018, P, 0, 1, 0, 0, 7, 12, 2, 15, 6
INVAR-1, Run: 019, P, 0, 1, 0, 0, 7, 12, 2, 16, 5
INVAR-1, Run: 020, P, 0, 1, 0, 0, 7, 12, 2, 16, 5
INVAR-1, Run: 021, P, 0, 1, 0, 3, 8, 11, 2, 9, 12
INVAR-1, Run: 022, P, 0, 0, 12, 1, 8, 12, 1, 7, 2
INVAR-1, Run: 023, P, 0, 2, 0, 2, 8, 12, 0, 7, 13
INVAR-1, Run: 024, P, 0, 1, 0, 0, 6, 11, 5, 13, 9
INVAR-1, Run: 025, P, 0, 1, 0, 3, 8, 11, 2, 12, 9
INVAR-1, Run: 026, P, 0, 2, 0, 2, 8, 12, 0, 9, 11
INVAR-1, Run: 027, P, 0, 1, 0, 0, 7, 12, 2, 14, 7
INVAR-1, Run: 028, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 029, P, 0, 0, 4, 1, 7, 11, 4, 4, 14
INVAR-1, Run: 030, P, 0, 0, 1, 1, 8, 12, 1, 10, 10
INVAR-1, Run: 031, P, 0, 0, 3, 1, 8, 12, 1, 5, 13
INVAR-1, Run: 032, P, 0, 2, 0, 2, 8, 12, 0, 9, 11
INVAR-1, Run: 033, P, 0, 1, 0, 0, 7, 12, 2, 15, 6
INVAR-1, Run: 034, P, 0, 0, 2, 1, 8, 12, 1, 10, 9
INVAR-1, Run: 035, P, 0, 0, 1, 1, 8, 12, 1, 17, 3
INVAR-1, Run: 036, P, 0, 0, 2, 1, 8, 12, 1, 12, 7
INVAR-1, Run: 037, P, 0, 2, 0, 2, 8, 12, 0, 2, 18
INVAR-1, Run: 038, P, 0, 0, 11, 1, 8, 12, 1, 8, 2
INVAR-1, Run: 039, P, 0, 0, 1, 1, 7, 11, 4, 12, 9
INVAR-1, Run: 040, P, 0, 1, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 041, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 042, P, 0, 1, 0, 0, 7, 12, 2, 21, 0
INVAR-1, Run: 043, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 044, P, 0, 0, 7, 1, 8, 12, 1, 9, 5
INVAR-1, Run: 045, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 046, P, 0, 0, 1, 1, 8, 12, 1, 14, 6
INVAR-1, Run: 047, P, 0, 2, 0, 2, 8, 12, 0, 10, 10
INVAR-1, Run: 048, P, 0, 0, 14, 1, 7, 11, 4, 7, 1
INVAR-1, Run: 049, P, 0, 2, 0, 2, 8, 12, 0, 9, 11
INVAR-1, Run: 050, P, 0, 0, 3, 1, 7, 11, 4, 1, 18
INVAR-1, Run: 051, P, 0, 1, 0, 0, 7, 12, 2, 12, 9
INVAR-1, Run: 052, P, 0, 2, 0, 2, 8, 12, 0, 14, 6
INVAR-1, Run: 053, P, 0, 1, 0, 3, 8, 11, 2, 4, 17
INVAR-1, Run: 054, P, 0, 0, 1, 1, 7, 11, 4, 8, 13
INVAR-1, Run: 055, P, 0, 2, 0, 2, 8, 12, 0, 12, 8
INVAR-1, Run: 056, P, 0, 2, 0, 2, 8, 12, 0, 10, 10
INVAR-1, Run: 057, P, 0, 1, 0, 0, 7, 12, 2, 16, 5
INVAR-1, Run: 058, P, 0, 0, 1, 1, 8, 12, 1, 15, 5
INVAR-1, Run: 059, P, 0, 0, 13, 1, 8, 12, 1, 6, 2
INVAR-1, Run: 060, P, 0, 0, 3, 1, 8, 12, 1, 11, 7
INVAR-1, Run: 061, P, 0, 1, 0, 0, 7, 12, 2, 12, 9
INVAR-1, Run: 062, P, 0, 0, 13, 1, 8, 12, 1, 2, 6
INVAR-1, Run: 063, P, 0, 0, 7, 1, 8, 12, 1, 12, 2
INVAR-1, Run: 064, P, 0, 2, 0, 2, 8, 12, 0, 14, 6
INVAR-1, Run: 065, P, 0, 1, 0, 0, 7, 12, 2, 15, 6
INVAR-1, Run: 066, P, 0, 1, 0, 0, 7, 12, 2, 12, 9
INVAR-1, Run: 067, P, 0, 0, 3, 1, 7, 11, 4, 13, 6
INVAR-1, Run: 068, P, 0, 0, 2, 1, 7, 11, 4, 10, 10
INVAR-1, Run: 069, P, 0, 1, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 070, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 071, P, 0, 0, 4, 1, 7, 11, 4, 6, 12
INVAR-1, Run: 072, P, 0, 0, 1, 1, 8, 12, 1, 10, 10
INVAR-1, Run: 073, P, 0, 2, 0, 2, 7, 11, 3, 6, 15
INVAR-1, Run: 074, P, 0, 0, 7, 1, 8, 12, 1, 8, 6
INVAR-1, Run: 075, P, 0, 2, 0, 2, 8, 12, 0, 11, 9
INVAR-1, Run: 076, P, 0, 1, 0, 0, 7, 12, 2, 12, 9
INVAR-1, Run: 077, P, 0, 2, 0, 2, 8, 12, 0, 16, 4
INVAR-1, Run: 078, P, 0, 2, 0, 2, 7, 11, 3, 15, 6
INVAR-1, Run: 079, P, 0, 1, 0, 0, 6, 11, 5, 18, 4
INVAR-1, Run: 080, P, 0, 1, 0, 0, 7, 12, 2, 13, 8
INVAR-1, Run: 081, P, 0, 0, 2, 1, 8, 12, 1, 2, 17
INVAR-1, Run: 082, P, 0, 0, 5, 1, 8, 12, 1, 8, 8
INVAR-1, Run: 083, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 084, P, 0, 1, 0, 0, 7, 12, 2, 19, 2
INVAR-1, Run: 085, P, 0, 2, 0, 2, 7, 11, 3, 10, 11
INVAR-1, Run: 086, P, 0, 1, 0, 0, 7, 12, 2, 16, 5
INVAR-1, Run: 087, P, 0, 0, 7, 1, 8, 12, 1, 13, 1
INVAR-1, Run: 088, P, 0, 1, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 089, P, 0, 1, 0, 0, 7, 12, 2, 13, 8
INVAR-1, Run: 090, P, 0, 1, 0, 0, 7, 12, 2, 14, 7
INVAR-1, Run: 091, P, 0, 1, 0, 0, 7, 12, 2, 19, 2
INVAR-1, Run: 092, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 093, P, 0, 1, 0, 0, 7, 12, 2, 19, 2
INVAR-1, Run: 094, P, 0, 1, 0, 0, 7, 12, 2, 13, 8
INVAR-1, Run: 095, P, 0, 1, 0, 0, 7, 12, 2, 13, 8
INVAR-1, Run: 096, P, 0, 0, 7, 1, 8, 12, 1, 11, 3
INVAR-1, Run: 097, P, 0, 1, 0, 0, 7, 12, 2, 20, 1
INVAR-1, Run: 098, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 099, P, 0, 0, 2, 1, 8, 12, 1, 10, 9
INVAR-1, Run: 100, P, 0, 0, 5, 1, 8, 12, 1, 1, 15
INVAR-10, Run: 001, P, 0, 0, 24, 1, 14, 16, 1, 6, 1
INVAR-10, Run: 002, P, 0, 1, 0, 0, 13, 16, 2, 27, 4
INVAR-10, Run: 003, P, 0, 2, 0, 2, 14, 16, 0, 11, 19
INVAR-10, Run: 004, P, 0, 0, 6, 1, 14, 16, 1, 15, 10
INVAR-10, Run: 005, P, 0, 0, 13, 1, 14, 16, 1, 4, 14
INVAR-10, Run: 006, P, 0, 2, 0, 2, 14, 16, 0, 21, 9
INVAR-10, Run: 007, P, 0, 1, 0, 0, 13, 16, 2, 25, 6
INVAR-10, Run: 008, P, 0, 1, 0, 0, 13, 16, 2, 26, 5
INVAR-10, Run: 009, P, 0, 1, 0, 0, 13, 16, 2, 19, 12
INVAR-10, Run: 010, P, 0, 2, 0, 2, 14, 16, 0, 18, 12
INVAR-10, Run: 011, P, 0, 1, 0, 0, 12, 15, 5, 20, 12
INVAR-10, Run: 012, P, 0, 1, 0, 0, 13, 16, 2, 24, 7
INVAR-10, Run: 013, P, 0, 1, 0, 0, 13, 16, 2, 19, 12
INVAR-10, Run: 014, P, 0, 1, 0, 3, 14, 15, 2, 12, 19
INVAR-10, Run: 015, P, 0, 2, 0, 2, 13, 15, 3, 21, 10
INVAR-10, Run: 016, P, 0, 1, 0, 0, 13, 16, 2, 23, 8
INVAR-10, Run: 017, P, 0, 0, 2, 1, 13, 15, 4, 9, 21
INVAR-10, Run: 018, P, 0, 1, 0, 0, 13, 16, 2, 20, 11
INVAR-10, Run: 019, P, 0, 1, 0, 0, 12, 15, 5, 18, 14
INVAR-10, Run: 020, P, 0, 1, 0, 0, 13, 16, 2, 30, 1
INVAR-10, Run: 021, P, 0, 0, 7, 1, 14, 16, 1, 16, 8
INVAR-10, Run: 022, P, 0, 1, 0, 0, 13, 16, 2, 21, 10
INVAR-10, Run: 023, P, 0, 0, 8, 1, 14, 16, 1, 12, 11
INVAR-10, Run: 024, P, 0, 0, 24, 1, 14, 16, 1, 4, 3
INVAR-10, Run: 025, P, 0, 2, 0, 2, 13, 15, 3, 23, 8
INVAR-10, Run: 026, P, 0, 1, 0, 0, 13, 16, 2, 23, 8
INVAR-10, Run: 027, P, 0, 0, 3, 1, 13, 15, 4, 19, 10
INVAR-10, Run: 028, P, 0, 1, 0, 0, 13, 16, 2, 27, 4
INVAR-10, Run: 029, P, 0, 1, 0, 0, 13, 16, 2, 25, 6
INVAR-10, Run: 030, P, 0, 1, 0, 0, 13, 16, 2, 30, 1
INVAR-10, Run: 031, P, 0, 1, 0, 0, 13, 16, 2, 23, 8
INVAR-10, Run: 032, P, 0, 1, 0, 0, 13, 16, 2, 19, 12
INVAR-10, Run: 033, P, 0, 1, 0, 0, 13, 16, 2, 28, 3
INVAR-10, Run: 034, P, 0, 0, 1, 1, 14, 16, 1, 15, 15
INVAR-10, Run: 035, P, 0, 0, 5, 1, 14, 16, 1, 3, 23
INVAR-10, Run: 036, P, 0, 2, 0, 2, 13, 15, 3, 8, 23
INVAR-10, Run: 037, P, 0, 2, 0, 2, 14, 16, 0, 18, 12
INVAR-10, Run: 038, P, 0, 1, 0, 0, 13, 16, 2, 20, 11
INVAR-10, Run: 039, P, 0, 0, 3, 1, 14, 16, 1, 21, 7
INVAR-10, Run: 040, P, 0, 1, 0, 0, 13, 16, 2, 26, 5
INVAR-10, Run: 041, P, 0, 2, 0, 2, 13, 15, 3, 24, 7
INVAR-10, Run: 042, P, 0, 0, 17, 1, 13, 15, 4, 7, 8
INVAR-10, Run: 043, P, 0, 1, 0, 0, 13, 16, 2, 20, 11
INVAR-10, Run: 044, P, 0, 0, 15, 1, 14, 16, 1, 9, 7
INVAR-10, Run: 045, P, 0, 0, 6, 1, 14, 16, 1, 9, 16
INVAR-10, Run: 046, P, 0, 1, 0, 0, 13, 16, 2, 20, 11
INVAR-10, Run: 047, P, 0, 0, 26, 1, 14, 16, 1, 5, 0
INVAR-10, Run: 048, P, 0, 1, 0, 0, 12, 15, 5, 26, 6
INVAR-10, Run: 049, P, 0, 0, 4, 1, 14, 16, 1, 7, 20
INVAR-10, Run: 050, P, 0, 2, 0, 2, 14, 16, 0, 2, 28
INVAR-10, Run: 051, P, 0, 1, 0, 0, 13, 16, 2, 27, 4
INVAR-10, Run: 052, P, 0, 0, 7, 1, 14, 16, 1, 19, 5
INVAR-10, Run: 053, P, 0, 0, 3, 1, 14, 16, 1, 10, 18
INVAR-10, Run: 054, P, 0, 2, 0, 2, 14, 16, 0, 0, 30
