Input Number, Run_Number, Result@ 100, X2, Y, X1, NEW_REACTION, Reaction1, Reaction2
INVAR-1, Run: 001, F, 0, 14, 0, 15, 38, 9
INVAR-1, Run: 002, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 003, F, 0, 14, 0, 18, 38, 6
INVAR-1, Run: 004, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 005, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 006, F, 0, 14, 0, 15, 38, 9
INVAR-1, Run: 007, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 008, F, 0, 14, 0, 16, 38, 8
INVAR-1, Run: 009, F, 0, 14, 0, 12, 38, 12
INVAR-1, Run: 010, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 011, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 012, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 013, F, 0, 14, 0, 6, 38, 18
INVAR-1, Run: 014, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 015, F, 0, 14, 0, 12, 38, 12
INVAR-1, Run: 016, F, 0, 14, 0, 15, 38, 9
INVAR-1, Run: 017, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 018, F, 0, 14, 0, 6, 38, 18
INVAR-1, Run: 019, F, 0, 14, 0, 6, 38, 18
INVAR-1, Run: 020, F, 0, 14, 0, 18, 38, 6
INVAR-1, Run: 021, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 022, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 023, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 024, F, 0, 14, 0, 15, 38, 9
INVAR-1, Run: 025, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 026, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 027, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 028, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 029, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 030, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 031, F, 0, 14, 0, 9, 38, 15
INVAR-1, Run: 032, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 033, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 034, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 035, F, 0, 14, 0, 12, 38, 12
INVAR-1, Run: 036, F, 0, 14, 0, 9, 38, 15
INVAR-1, Run: 037, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 038, F, 0, 14, 0, 7, 38, 17
INVAR-1, Run: 039, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 040, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 041, F, 0, 14, 0, 8, 38, 16
INVAR-1, Run: 042, F, 0, 14, 0, 16, 38, 8
INVAR-1, Run: 043, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 044, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 045, F, 0, 14, 0, 7, 38, 17
INVAR-1, Run: 046, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 047, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 048, F, 0, 14, 0, 15, 38, 9
INVAR-1, Run: 049, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 050, F, 0, 14, 0, 15, 38, 9
INVAR-1, Run: 051, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 052, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 053, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 054, F, 0, 14, 0, 9, 38, 15
INVAR-1, Run: 055, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 056, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 057, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 058, F, 0, 14, 0, 15, 38, 9
INVAR-1, Run: 059, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 060, F, 0, 14, 0, 12, 38, 12
INVAR-1, Run: 061, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 062, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 063, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 064, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 065, F, 0, 14, 0, 8, 38, 16
INVAR-1, Run: 066, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 067, F, 0, 14, 0, 12, 38, 12
INVAR-1, Run: 068, F, 0, 14, 0, 9, 38, 15
INVAR-1, Run: 069, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 070, F, 0, 14, 0, 9, 38, 15
INVAR-1, Run: 071, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 072, F, 0, 14, 0, 6, 38, 18
INVAR-1, Run: 073, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 074, F, 0, 14, 0, 12, 38, 12
INVAR-1, Run: 075, F, 0, 14, 0, 6, 38, 18
INVAR-1, Run: 076, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 077, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 078, F, 0, 14, 0, 16, 38, 8
INVAR-1, Run: 079, F, 0, 14, 0, 15, 38, 9
INVAR-1, Run: 080, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 081, F, 0, 14, 0, 7, 38, 17
INVAR-1, Run: 082, F, 0, 14, 0, 16, 38, 8
INVAR-1, Run: 083, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 084, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 085, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 086, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 087, F, 0, 14, 0, 12, 38, 12
INVAR-1, Run: 088, F, 0, 14, 0, 15, 38, 9
INVAR-1, Run: 089, F, 0, 14, 0, 9, 38, 15
INVAR-1, Run: 090, F, 0, 14, 0, 17, 38, 7
INVAR-1, Run: 091, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 092, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 093, F, 0, 14, 0, 11, 38, 13
INVAR-1, Run: 094, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 095, F, 0, 14, 0, 14, 38, 10
INVAR-1, Run: 096, F, 0, 14, 0, 16, 38, 8
INVAR-1, Run: 097, F, 0, 14, 0, 13, 38, 11
INVAR-1, Run: 098, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 099, F, 0, 14, 0, 10, 38, 14
INVAR-1, Run: 100, F, 0, 14, 0, 12, 38, 12
INVAR-10, Run: 001, F, 0, 8, 0, 21, 50, 21
INVAR-10, Run: 002, F, 0, 8, 0, 19, 50, 23
INVAR-10, Run: 003, F, 0, 8, 0, 23, 50, 19
INVAR-10, Run: 004, F, 0, 8, 0, 24, 50, 18
INVAR-10, Run: 005, F, 0, 8, 0, 20, 50, 22
INVAR-10, Run: 006, F, 0, 8, 0, 12, 50, 30
INVAR-10, Run: 007, F, 0, 8, 0, 23, 50, 19
INVAR-10, Run: 008, F, 0, 8, 0, 24, 50, 18
INVAR-10, Run: 009, F, 0, 8, 0, 23, 50, 19
INVAR-10, Run: 010, F, 0, 8, 0, 18, 50, 24
INVAR-10, Run: 011, F, 0, 8, 0, 20, 50, 22
INVAR-10, Run: 012, F, 0, 8, 0, 23, 50, 19
INVAR-10, Run: 013, F, 0, 8, 0, 20, 50, 22
INVAR-10, Run: 014, F, 0, 8, 0, 21, 50, 21
INVAR-10, Run: 015, F, 0, 8, 0, 16, 50, 26
INVAR-10, Run: 016, F, 0, 8, 0, 21, 50, 21
INVAR-10, Run: 017, F, 0, 8, 0, 14, 50, 28
INVAR-10, Run: 018, F, 0, 8, 0, 18, 50, 24
INVAR-10, Run: 019, F, 0, 8, 0, 23, 50, 19
INVAR-10, Run: 020, F, 0, 8, 0, 27, 50, 15
INVAR-10, Run: 021, F, 0, 8, 0, 22, 50, 20
INVAR-10, Run: 022, F, 0, 8, 0, 25, 50, 17
INVAR-10, Run: 023, F, 0, 8, 0, 24, 50, 18
INVAR-10, Run: 024, F, 0, 8, 0, 24, 50, 18
INVAR-10, Run: 025, F, 0, 8, 0, 15, 50, 27
INVAR-10, Run: 026, F, 0, 8, 0, 16, 50, 26
INVAR-10, Run: 027, F, 0, 8, 0, 24, 50, 18
INVAR-10, Run: 028, F, 0, 8, 0, 21, 50, 21
INVAR-10, Run: 029, F, 0, 8, 0, 15, 50, 27
INVAR-10, Run: 030, F, 0, 8, 0, 19, 50, 23
INVAR-10, Run: 031, F, 0, 8, 0, 17, 50, 25
INVAR-10, Run: 032, F, 0, 8, 0, 17, 50, 25
INVAR-10, Run: 033, F, 0, 8, 0, 21, 50, 21
INVAR-10, Run: 034, F, 0, 8, 0, 20, 50, 22
INVAR-10, Run: 035, F, 0, 8, 0, 26, 50, 16
INVAR-10, Run: 036, F, 0, 8, 0, 17, 50, 25
INVAR-10, Run: 037, F, 0, 8, 0, 18, 50, 24
INVAR-10, Run: 038, F, 0, 8, 0, 23, 50, 19
INVAR-10, Run: 039, F, 0, 8, 0, 23, 50, 19
INVAR-10, Run: 040, F, 0, 8, 0, 19, 50, 23
INVAR-10, Run: 041, F, 0, 8, 0, 20, 50, 22
INVAR-10, Run: 042, F, 0, 8, 0, 18, 50, 24
INVAR-10, Run: 043, F, 0, 8, 0, 19, 50, 23
INVAR-10, Run: 044, F, 0, 8, 0, 16, 50, 26
INVAR-10, Run: 045, F, 0, 8, 0, 23, 50, 19
INVAR-10, Run: 046, F, 0, 8, 0, 23, 50, 19
INVAR-10, Run: 047, F, 0, 8, 0, 21, 50, 21
INVAR-10, Run: 048, F, 0, 8, 0, 22, 50, 20
INVAR-10, Run: 049, F, 0, 8, 0, 15, 50, 27
INVAR-10, Run: 050, F, 0, 8, 0, 23, 50, 19
INVAR-10, Run: 051, F, 0, 8, 0, 19, 50, 23
INVAR-10, Run: 052, F, 0, 8, 0, 28, 50, 14
INVAR-10, Run: 053, F, 0, 8, 0, 19, 50, 23
INVAR-10, Run: 054, F, 0, 8, 0, 16, 50, 26
