Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, P, 33, 19, 0, 0, 0, 0, 5, 3289, 5, 0, 5, 0, 5
INVAR-1, Run: 002, P, 33, 19, 0, 0, 0, 0, 5, 3385, 5, 0, 5, 0, 5
INVAR-1, Run: 003, P, 33, 19, 0, 0, 0, 0, 5, 3366, 5, 0, 5, 0, 5
INVAR-1, Run: 004, P, 33, 19, 0, 0, 0, 0, 5, 3319, 5, 0, 5, 0, 5
INVAR-1, Run: 005, P, 33, 19, 0, 0, 0, 0, 5, 3228, 5, 0, 5, 0, 5
INVAR-1, Run: 006, P, 33, 21, 0, 0, 0, 0, 5, 3262, 3, 2, 5, 0, 5
INVAR-1, Run: 007, P, 33, 19, 0, 0, 0, 0, 5, 3323, 5, 0, 5, 0, 5
INVAR-1, Run: 008, P, 34, 20, 0, 0, 0, 0, 5, 3403, 4, 1, 4, 1, 5
INVAR-1, Run: 009, P, 33, 19, 0, 0, 0, 0, 5, 3262, 5, 0, 5, 0, 5
INVAR-1, Run: 010, P, 34, 19, 0, 0, 0, 0, 5, 3343, 5, 0, 4, 1, 5
INVAR-1, Run: 011, P, 33, 20, 0, 0, 0, 0, 5, 3411, 4, 1, 5, 0, 5
INVAR-1, Run: 012, P, 33, 19, 0, 0, 0, 0, 5, 3329, 5, 0, 5, 0, 5
INVAR-1, Run: 013, P, 33, 20, 0, 0, 0, 0, 5, 3298, 4, 1, 5, 0, 5
INVAR-1, Run: 014, P, 33, 19, 0, 0, 0, 0, 5, 3248, 5, 0, 5, 0, 5
INVAR-1, Run: 015, P, 33, 19, 0, 0, 0, 0, 5, 3361, 5, 0, 5, 0, 5
INVAR-1, Run: 016, P, 35, 19, 0, 0, 0, 0, 5, 3494, 5, 0, 3, 2, 5
INVAR-1, Run: 017, P, 33, 20, 0, 0, 0, 0, 5, 3282, 4, 1, 5, 0, 5
INVAR-1, Run: 018, P, 33, 20, 0, 0, 0, 0, 5, 3233, 4, 1, 5, 0, 5
INVAR-1, Run: 019, P, 33, 19, 0, 0, 0, 0, 5, 3257, 5, 0, 5, 0, 5
