Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 002, P, 0, 29, 0, 34, 0, 0, 5, 34, 29, 10, 4, 1, 5
INVAR-1, Run: 003, P, 0, 34, 0, 34, 0, 0, 5, 34, 24, 15, 4, 1, 5
INVAR-1, Run: 004, P, 0, 34, 0, 34, 0, 0, 5, 34, 24, 15, 4, 1, 5
INVAR-1, Run: 005, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 006, P, 0, 33, 0, 33, 0, 0, 5, 33, 24, 14, 5, 0, 5
INVAR-1, Run: 007, P, 0, 34, 0, 33, 0, 0, 5, 33, 23, 15, 5, 0, 5
INVAR-1, Run: 008, P, 0, 29, 0, 33, 0, 0, 5, 33, 28, 10, 5, 0, 5
INVAR-1, Run: 009, P, 0, 31, 0, 33, 0, 0, 5, 33, 26, 12, 5, 0, 5
INVAR-1, Run: 010, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 011, P, 0, 26, 0, 33, 0, 0, 5, 33, 31, 7, 5, 0, 5
INVAR-1, Run: 012, P, 0, 35, 0, 34, 0, 0, 5, 34, 23, 16, 4, 1, 5
INVAR-1, Run: 013, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 014, P, 0, 34, 0, 33, 0, 0, 5, 33, 23, 15, 5, 0, 5
INVAR-1, Run: 015, P, 0, 33, 0, 33, 0, 0, 5, 33, 24, 14, 5, 0, 5
INVAR-1, Run: 016, P, 0, 28, 0, 33, 0, 0, 5, 33, 29, 9, 5, 0, 5
INVAR-1, Run: 017, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 018, P, 0, 33, 0, 33, 0, 0, 5, 33, 24, 14, 5, 0, 5
INVAR-1, Run: 019, P, 0, 28, 0, 33, 0, 0, 5, 33, 29, 9, 5, 0, 5
INVAR-1, Run: 020, P, 0, 35, 0, 34, 0, 0, 5, 34, 23, 16, 4, 1, 5
INVAR-1, Run: 021, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 022, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 023, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 024, P, 0, 33, 0, 34, 0, 0, 5, 34, 25, 14, 4, 1, 5
INVAR-1, Run: 025, P, 0, 28, 0, 33, 0, 0, 5, 33, 29, 9, 5, 0, 5
INVAR-1, Run: 026, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 027, P, 0, 30, 0, 34, 0, 0, 5, 34, 28, 11, 4, 1, 5
INVAR-1, Run: 028, P, 0, 33, 0, 33, 0, 0, 5, 33, 24, 14, 5, 0, 5
INVAR-1, Run: 029, P, 0, 33, 0, 33, 0, 0, 5, 33, 24, 14, 5, 0, 5
INVAR-1, Run: 030, P, 0, 29, 0, 33, 0, 0, 5, 33, 28, 10, 5, 0, 5
INVAR-1, Run: 031, P, 0, 31, 0, 33, 0, 0, 5, 33, 26, 12, 5, 0, 5
INVAR-1, Run: 032, P, 0, 35, 0, 33, 0, 0, 5, 33, 22, 16, 5, 0, 5
INVAR-1, Run: 033, P, 0, 33, 0, 33, 0, 0, 5, 33, 24, 14, 5, 0, 5
INVAR-1, Run: 034, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 035, P, 0, 31, 0, 33, 0, 0, 5, 33, 26, 12, 5, 0, 5
INVAR-1, Run: 036, P, 0, 29, 0, 33, 0, 0, 5, 33, 28, 10, 5, 0, 5
INVAR-1, Run: 037, P, 0, 29, 0, 33, 0, 0, 5, 33, 28, 10, 5, 0, 5
INVAR-1, Run: 038, P, 0, 29, 0, 33, 0, 0, 5, 33, 28, 10, 5, 0, 5
INVAR-1, Run: 039, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 040, P, 0, 34, 0, 34, 0, 0, 5, 34, 24, 15, 4, 1, 5
INVAR-1, Run: 041, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 042, P, 0, 28, 0, 34, 0, 0, 5, 34, 30, 9, 4, 1, 5
INVAR-1, Run: 043, P, 0, 29, 0, 33, 0, 0, 5, 33, 28, 10, 5, 0, 5
INVAR-1, Run: 044, P, 0, 26, 0, 33, 0, 0, 5, 33, 31, 7, 5, 0, 5
INVAR-1, Run: 045, P, 0, 36, 0, 34, 0, 0, 5, 34, 22, 17, 4, 1, 5
INVAR-1, Run: 046, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 047, P, 0, 32, 0, 34, 0, 0, 5, 34, 26, 13, 4, 1, 5
INVAR-1, Run: 048, P, 0, 31, 0, 33, 0, 0, 5, 33, 26, 12, 5, 0, 5
INVAR-1, Run: 049, P, 0, 31, 0, 33, 0, 0, 5, 33, 26, 12, 5, 0, 5
INVAR-1, Run: 050, P, 0, 31, 0, 33, 0, 0, 5, 33, 26, 12, 5, 0, 5
INVAR-1, Run: 051, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 052, P, 0, 32, 0, 34, 0, 0, 5, 34, 26, 13, 4, 1, 5
INVAR-1, Run: 053, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 054, P, 0, 35, 0, 33, 0, 0, 5, 33, 22, 16, 5, 0, 5
INVAR-1, Run: 055, P, 0, 35, 0, 33, 0, 0, 5, 33, 22, 16, 5, 0, 5
INVAR-1, Run: 056, P, 0, 33, 0, 33, 0, 0, 5, 33, 24, 14, 5, 0, 5
INVAR-1, Run: 057, P, 0, 28, 0, 33, 0, 0, 5, 33, 29, 9, 5, 0, 5
INVAR-1, Run: 058, P, 0, 32, 0, 34, 0, 0, 5, 34, 26, 13, 4, 1, 5
INVAR-1, Run: 059, P, 0, 29, 0, 33, 0, 0, 5, 33, 28, 10, 5, 0, 5
INVAR-1, Run: 060, P, 0, 35, 0, 33, 0, 0, 5, 33, 22, 16, 5, 0, 5
INVAR-1, Run: 061, P, 0, 26, 0, 33, 0, 0, 5, 33, 31, 7, 5, 0, 5
INVAR-1, Run: 062, P, 0, 36, 0, 33, 0, 0, 5, 33, 21, 17, 5, 0, 5
INVAR-1, Run: 063, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 064, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 065, P, 0, 33, 0, 33, 0, 0, 5, 33, 24, 14, 5, 0, 5
INVAR-1, Run: 066, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 067, P, 0, 28, 0, 33, 0, 0, 5, 33, 29, 9, 5, 0, 5
INVAR-1, Run: 068, P, 0, 29, 0, 33, 0, 0, 5, 33, 28, 10, 5, 0, 5
INVAR-1, Run: 069, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 070, P, 0, 29, 0, 33, 0, 0, 5, 33, 28, 10, 5, 0, 5
INVAR-1, Run: 071, P, 0, 38, 0, 35, 0, 0, 5, 35, 21, 19, 3, 2, 5
INVAR-1, Run: 072, P, 0, 30, 0, 34, 0, 0, 5, 34, 28, 11, 4, 1, 5
INVAR-1, Run: 073, P, 0, 30, 0, 35, 0, 0, 5, 35, 29, 11, 3, 2, 5
INVAR-1, Run: 074, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 075, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 076, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 077, P, 0, 33, 0, 34, 0, 0, 5, 34, 25, 14, 4, 1, 5
INVAR-1, Run: 078, P, 0, 31, 0, 33, 0, 0, 5, 33, 26, 12, 5, 0, 5
INVAR-1, Run: 079, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 080, P, 0, 30, 0, 35, 0, 0, 5, 35, 29, 11, 3, 2, 5
INVAR-1, Run: 081, P, 0, 30, 0, 34, 0, 0, 5, 34, 28, 11, 4, 1, 5
INVAR-1, Run: 082, P, 0, 31, 0, 33, 0, 0, 5, 33, 26, 12, 5, 0, 5
INVAR-1, Run: 083, P, 0, 33, 0, 34, 0, 0, 5, 34, 25, 14, 4, 1, 5
INVAR-1, Run: 084, P, 0, 35, 0, 33, 0, 0, 5, 33, 22, 16, 5, 0, 5
INVAR-1, Run: 085, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 086, P, 0, 34, 0, 34, 0, 0, 5, 34, 24, 15, 4, 1, 5
INVAR-1, Run: 087, P, 0, 33, 0, 33, 0, 0, 5, 33, 24, 14, 5, 0, 5
INVAR-1, Run: 088, P, 0, 31, 0, 33, 0, 0, 5, 33, 26, 12, 5, 0, 5
INVAR-1, Run: 089, P, 0, 30, 0, 33, 0, 0, 5, 33, 27, 11, 5, 0, 5
INVAR-1, Run: 090, P, 0, 31, 0, 34, 0, 0, 5, 34, 27, 12, 4, 1, 5
INVAR-1, Run: 091, P, 0, 32, 0, 33, 0, 0, 5, 33, 25, 13, 5, 0, 5
INVAR-1, Run: 092, P, 0, 30, 0, 34, 0, 0, 5, 34, 28, 11, 4, 1, 5
INVAR-1, Run: 093, P, 0, 35, 0, 33, 0, 0, 5, 33, 22, 16, 5, 0, 5
INVAR-1, Run: 094, P, 0, 29, 0, 33, 0, 0, 5, 33, 28, 10, 5, 0, 5
INVAR-1, Run: 095, P, 0, 32, 0, 34, 0, 0, 5, 34, 26, 13, 4, 1, 5
INVAR-1, Run: 096, P, 0, 28, 0, 33, 0, 0, 5, 33, 29, 9, 5, 0, 5
