Input Number, Run_Number, Result@ 100, X, V, Y, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 1, 18, 0, 7, 12, 2, 115, 3
INVAR-1, Run: 002, F, 0, 0, 2, 8, 12, 0, 2, 20
INVAR-1, Run: 003, F, 1, 7, 0, 6, 11, 5, 95, 15
INVAR-1, Run: 004, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 005, P, 0, 0, 2, 7, 11, 3, 0, 21
INVAR-1, Run: 006, F, 1, 14, 0, 7, 12, 2, 109, 7
INVAR-1, Run: 007, F, 1, 19, 0, 7, 12, 2, 104, 2
INVAR-1, Run: 008, F, 1, 19, 0, 7, 12, 2, 81, 2
INVAR-1, Run: 009, F, 1, 16, 0, 7, 12, 2, 104, 5
INVAR-1, Run: 010, F, 1, 16, 0, 7, 12, 2, 91, 5
INVAR-1, Run: 011, F, 1, 12, 0, 7, 12, 2, 99, 9
INVAR-1, Run: 012, F, 1, 12, 0, 7, 12, 2, 100, 9
INVAR-1, Run: 013, F, 1, 10, 0, 7, 12, 2, 97, 11
INVAR-1, Run: 014, F, 1, 11, 0, 7, 12, 2, 102, 10
INVAR-1, Run: 015, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 016, F, 1, 15, 0, 7, 12, 2, 103, 6
INVAR-1, Run: 017, F, 1, 7, 0, 7, 12, 2, 90, 14
INVAR-1, Run: 018, F, 1, 15, 0, 6, 11, 5, 87, 7
INVAR-1, Run: 019, P, 0, 0, 2, 7, 11, 3, 0, 21
INVAR-1, Run: 020, F, 1, 12, 0, 7, 12, 2, 116, 9
INVAR-1, Run: 021, F, 1, 14, 0, 7, 12, 2, 110, 7
INVAR-1, Run: 022, F, 1, 16, 0, 7, 12, 2, 96, 5
INVAR-1, Run: 023, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 024, F, 1, 3, 0, 7, 12, 2, 94, 18
INVAR-1, Run: 025, F, 1, 13, 0, 7, 12, 2, 94, 8
INVAR-1, Run: 026, F, 1, 4, 0, 7, 12, 2, 93, 17
INVAR-1, Run: 027, F, 1, 13, 0, 7, 12, 2, 99, 8
INVAR-1, Run: 028, F, 1, 13, 0, 7, 12, 2, 95, 8
INVAR-1, Run: 029, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 030, F, 1, 18, 0, 7, 12, 2, 111, 3
INVAR-1, Run: 031, F, 1, 5, 0, 7, 12, 2, 120, 16
INVAR-1, Run: 032, F, 1, 4, 0, 7, 12, 2, 83, 17
INVAR-1, Run: 033, F, 1, 9, 0, 7, 12, 2, 96, 12
INVAR-1, Run: 034, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 035, F, 1, 15, 0, 7, 12, 2, 84, 6
INVAR-1, Run: 036, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 037, F, 1, 14, 0, 7, 12, 2, 99, 7
INVAR-1, Run: 038, F, 1, 19, 0, 6, 11, 5, 100, 3
INVAR-1, Run: 039, F, 1, 14, 0, 7, 12, 2, 109, 7
INVAR-1, Run: 040, F, 1, 15, 0, 7, 12, 2, 108, 6
INVAR-1, Run: 041, F, 1, 11, 0, 7, 12, 2, 99, 10
INVAR-1, Run: 042, F, 1, 16, 0, 7, 12, 2, 91, 5
INVAR-1, Run: 043, F, 1, 8, 0, 7, 12, 2, 108, 13
INVAR-1, Run: 044, F, 1, 6, 0, 7, 12, 2, 96, 15
INVAR-1, Run: 045, F, 1, 6, 0, 7, 12, 2, 101, 15
INVAR-1, Run: 046, F, 1, 13, 0, 7, 12, 2, 94, 8
INVAR-1, Run: 047, F, 1, 11, 0, 7, 12, 2, 129, 10
INVAR-1, Run: 048, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 049, F, 1, 19, 0, 7, 12, 2, 98, 2
INVAR-1, Run: 050, P, 0, 0, 2, 7, 11, 3, 0, 21
INVAR-1, Run: 051, F, 1, 16, 0, 7, 12, 2, 103, 5
INVAR-1, Run: 052, F, 1, 11, 0, 6, 11, 5, 99, 11
INVAR-1, Run: 053, F, 1, 6, 0, 7, 12, 2, 93, 15
INVAR-1, Run: 054, F, 1, 16, 0, 7, 12, 2, 114, 5
INVAR-1, Run: 055, F, 1, 16, 0, 7, 12, 2, 106, 5
INVAR-1, Run: 056, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 057, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 058, F, 1, 7, 0, 7, 12, 2, 95, 14
INVAR-1, Run: 059, F, 1, 16, 0, 7, 12, 2, 94, 5
INVAR-1, Run: 060, F, 1, 15, 0, 7, 12, 2, 108, 6
INVAR-1, Run: 061, F, 1, 21, 0, 6, 11, 5, 120, 1
INVAR-1, Run: 062, F, 1, 13, 0, 7, 12, 2, 107, 8
INVAR-1, Run: 063, F, 1, 17, 0, 7, 12, 2, 100, 4
INVAR-1, Run: 064, F, 1, 12, 0, 7, 12, 2, 111, 9
INVAR-1, Run: 065, F, 1, 15, 0, 7, 12, 2, 96, 6
INVAR-1, Run: 066, F, 1, 6, 0, 7, 12, 2, 96, 15
INVAR-1, Run: 067, F, 1, 9, 0, 7, 12, 2, 101, 12
INVAR-1, Run: 068, F, 1, 16, 0, 7, 12, 2, 113, 5
INVAR-1, Run: 069, F, 1, 18, 0, 7, 12, 2, 115, 3
INVAR-1, Run: 070, F, 1, 7, 0, 7, 12, 2, 86, 14
INVAR-1, Run: 071, F, 1, 4, 0, 7, 12, 2, 91, 17
INVAR-1, Run: 072, F, 1, 12, 0, 7, 12, 2, 108, 9
INVAR-1, Run: 073, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 074, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 075, F, 1, 17, 0, 7, 12, 2, 107, 4
INVAR-1, Run: 076, F, 1, 15, 0, 7, 12, 2, 110, 6
INVAR-1, Run: 077, F, 1, 20, 0, 7, 12, 2, 95, 1
INVAR-1, Run: 078, P, 0, 0, 2, 7, 11, 3, 0, 21
INVAR-1, Run: 079, F, 0, 0, 2, 8, 12, 0, 2, 20
INVAR-1, Run: 080, F, 1, 11, 0, 7, 12, 2, 93, 10
INVAR-1, Run: 081, F, 1, 15, 0, 7, 12, 2, 107, 6
INVAR-1, Run: 082, F, 1, 2, 0, 7, 12, 2, 113, 19
INVAR-1, Run: 083, F, 1, 14, 0, 7, 12, 2, 85, 7
INVAR-1, Run: 084, P, 0, 0, 2, 7, 11, 3, 0, 21
INVAR-1, Run: 085, P, 0, 0, 2, 7, 11, 3, 0, 21
INVAR-1, Run: 086, F, 1, 10, 0, 7, 12, 2, 97, 11
INVAR-1, Run: 087, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 088, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 089, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 090, F, 1, 12, 0, 7, 12, 2, 96, 9
INVAR-1, Run: 091, F, 1, 17, 0, 7, 12, 2, 101, 4
INVAR-1, Run: 092, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 093, F, 1, 10, 0, 6, 11, 5, 97, 12
INVAR-1, Run: 094, F, 0, 0, 2, 7, 11, 3, 2, 21
INVAR-1, Run: 095, F, 1, 2, 0, 7, 12, 2, 114, 19
INVAR-1, Run: 096, F, 1, 14, 0, 7, 12, 2, 86, 7
INVAR-1, Run: 097, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 098, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 099, F, 1, 8, 0, 7, 12, 2, 104, 13
INVAR-1, Run: 100, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-10, Run: 001, F, 1, 26, 0, 13, 16, 2, 101, 5
INVAR-10, Run: 002, F, 0, 0, 2, 13, 15, 3, 1, 31
INVAR-10, Run: 003, F, 1, 14, 0, 13, 16, 2, 110, 17
INVAR-10, Run: 004, P, 0, 0, 2, 13, 15, 3, 0, 31
INVAR-10, Run: 005, F, 1, 21, 0, 13, 16, 2, 99, 10
INVAR-10, Run: 006, F, 1, 6, 0, 13, 16, 2, 128, 25
