Input Number, Run_Number, Result@ 100, Y, X, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 0, 2, 0, 4, 7, 11, 1, 17, 2
INVAR-1, Run: 002, F, 0, 2, 0, 1, 7, 12, 1, 16, 4
INVAR-1, Run: 003, F, 0, 2, 0, 1, 7, 12, 1, 14, 6
INVAR-1, Run: 004, F, 0, 2, 0, 1, 7, 12, 1, 13, 7
INVAR-1, Run: 005, F, 0, 0, 8, 2, 7, 11, 3, 7, 6
INVAR-1, Run: 006, P, 0, 1, 0, 0, 6, 11, 5, 13, 9
INVAR-1, Run: 007, P, 0, 1, 0, 0, 7, 12, 2, 19, 2
INVAR-1, Run: 008, F, 0, 0, 7, 2, 8, 12, 0, 0, 13
INVAR-1, Run: 009, F, 0, 0, 9, 2, 8, 12, 0, 2, 9
INVAR-1, Run: 010, F, 0, 0, 11, 2, 7, 11, 3, 3, 7
INVAR-1, Run: 011, P, 0, 1, 0, 0, 7, 12, 2, 20, 1
INVAR-1, Run: 012, F, 0, 0, 0, 2, 8, 12, 0, 7, 13
INVAR-1, Run: 013, F, 0, 0, 5, 2, 8, 12, 0, 4, 11
INVAR-1, Run: 014, F, 0, 0, 0, 2, 8, 12, 0, 5, 15
INVAR-1, Run: 015, F, 0, 0, 2, 2, 8, 12, 0, 4, 14
INVAR-1, Run: 016, F, 0, 2, 0, 1, 7, 12, 1, 14, 6
INVAR-1, Run: 017, F, 0, 0, 11, 2, 8, 12, 0, 8, 1
INVAR-1, Run: 018, F, 0, 0, 4, 2, 7, 11, 3, 6, 11
INVAR-1, Run: 019, P, 0, 1, 0, 0, 7, 12, 2, 9, 12
INVAR-1, Run: 020, F, 0, 0, 2, 2, 8, 12, 0, 4, 14
INVAR-1, Run: 021, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 022, P, 0, 1, 0, 0, 7, 12, 2, 14, 7
INVAR-1, Run: 023, F, 0, 0, 9, 2, 8, 12, 0, 3, 8
INVAR-1, Run: 024, F, 0, 0, 5, 2, 7, 11, 3, 6, 10
INVAR-1, Run: 025, F, 0, 0, 8, 2, 8, 12, 0, 2, 10
INVAR-1, Run: 026, F, 0, 2, 0, 1, 7, 12, 1, 18, 2
INVAR-1, Run: 027, F, 0, 0, 1, 2, 8, 12, 0, 11, 8
INVAR-1, Run: 028, P, 0, 1, 0, 0, 7, 12, 2, 21, 0
INVAR-1, Run: 029, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 030, F, 0, 0, 5, 2, 7, 11, 3, 5, 11
INVAR-1, Run: 031, P, 0, 1, 0, 0, 7, 12, 2, 11, 10
INVAR-1, Run: 032, F, 0, 2, 0, 1, 7, 12, 1, 15, 5
INVAR-1, Run: 033, F, 0, 2, 0, 1, 7, 12, 1, 16, 4
INVAR-1, Run: 034, P, 0, 1, 0, 0, 7, 12, 2, 16, 5
INVAR-1, Run: 035, P, 0, 1, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 036, F, 0, 2, 0, 1, 7, 12, 1, 16, 4
INVAR-1, Run: 037, P, 0, 1, 0, 0, 7, 12, 2, 19, 2
INVAR-1, Run: 038, F, 0, 2, 0, 1, 7, 12, 1, 12, 8
INVAR-1, Run: 039, F, 0, 0, 2, 2, 8, 12, 0, 1, 17
INVAR-1, Run: 040, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 041, F, 0, 0, 3, 2, 7, 11, 3, 3, 15
INVAR-1, Run: 042, F, 0, 2, 0, 1, 6, 11, 4, 16, 5
INVAR-1, Run: 043, P, 0, 1, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 044, F, 0, 0, 3, 2, 8, 12, 0, 1, 16
INVAR-1, Run: 045, F, 0, 2, 0, 1, 7, 12, 1, 12, 8
INVAR-1, Run: 046, F, 0, 1, 0, 3, 7, 11, 2, 11, 9
INVAR-1, Run: 047, F, 0, 0, 0, 2, 8, 12, 0, 7, 13
