Input Number, Run_Number, Result@ 100, X, V, Y, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 0, 12, 0, 8, 12, 2, 5, 3
INVAR-1, Run: 002, F, 0, 6, 0, 8, 12, 2, 4, 10
INVAR-1, Run: 003, F, 0, 0, 1, 8, 12, 1, 7, 13
INVAR-1, Run: 004, P, 0, 0, 2, 8, 12, 0, 2, 18
INVAR-1, Run: 005, F, 0, 0, 1, 8, 12, 1, 1, 19
INVAR-1, Run: 006, P, 0, 0, 2, 8, 12, 0, 1, 19
INVAR-1, Run: 007, F, 0, 4, 0, 8, 12, 2, 11, 5
INVAR-1, Run: 008, F, 0, 13, 0, 8, 12, 2, 7, 0
INVAR-1, Run: 009, F, 0, 0, 1, 8, 12, 1, 6, 14
INVAR-1, Run: 010, F, 0, 0, 1, 8, 12, 1, 3, 17
INVAR-1, Run: 011, P, 0, 0, 2, 8, 12, 0, 3, 17
INVAR-1, Run: 012, F, 0, 8, 0, 8, 12, 2, 10, 2
INVAR-1, Run: 013, F, 0, 13, 0, 8, 12, 2, 6, 1
INVAR-1, Run: 014, F, 0, 0, 1, 8, 12, 1, 6, 14
INVAR-1, Run: 015, F, 0, 8, 0, 8, 12, 2, 3, 9
INVAR-1, Run: 016, F, 0, 0, 1, 8, 11, 4, 7, 12
INVAR-1, Run: 017, P, 0, 0, 2, 8, 12, 0, 3, 17
INVAR-1, Run: 018, F, 0, 2, 0, 8, 12, 2, 2, 16
INVAR-1, Run: 019, F, 0, 0, 1, 8, 12, 1, 1, 19
INVAR-1, Run: 020, P, 0, 0, 2, 8, 12, 0, 3, 17
INVAR-1, Run: 021, P, 0, 0, 2, 8, 12, 0, 4, 16
INVAR-1, Run: 022, P, 0, 0, 2, 8, 12, 0, 4, 16
INVAR-1, Run: 023, F, 0, 0, 1, 8, 12, 1, 0, 20
INVAR-1, Run: 024, F, 0, 0, 1, 8, 11, 4, 5, 14
INVAR-1, Run: 025, F, 0, 3, 0, 8, 12, 2, 15, 2
INVAR-1, Run: 026, F, 0, 14, 0, 8, 12, 2, 2, 4
INVAR-1, Run: 027, F, 0, 0, 1, 8, 12, 1, 10, 10
INVAR-1, Run: 028, F, 0, 0, 1, 8, 11, 4, 11, 8
INVAR-1, Run: 029, F, 0, 0, 2, 8, 11, 3, 7, 12
INVAR-1, Run: 030, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 031, F, 0, 0, 1, 8, 12, 1, 12, 8
INVAR-1, Run: 032, F, 0, 6, 0, 8, 12, 2, 13, 1
INVAR-1, Run: 033, F, 0, 0, 1, 8, 12, 1, 5, 15
INVAR-1, Run: 034, F, 0, 0, 1, 8, 12, 1, 9, 11
INVAR-1, Run: 035, F, 0, 4, 0, 8, 12, 2, 3, 13
INVAR-1, Run: 036, F, 0, 0, 1, 8, 11, 4, 6, 13
INVAR-1, Run: 037, P, 0, 0, 2, 8, 12, 0, 2, 18
INVAR-1, Run: 038, P, 0, 0, 2, 8, 12, 0, 4, 16
INVAR-1, Run: 039, F, 0, 0, 1, 8, 12, 1, 3, 17
INVAR-1, Run: 040, P, 0, 0, 2, 8, 12, 0, 1, 19
INVAR-1, Run: 041, F, 0, 7, 0, 8, 12, 2, 9, 4
INVAR-1, Run: 042, F, 0, 8, 0, 8, 12, 2, 9, 3
INVAR-1, Run: 043, F, 0, 8, 0, 8, 12, 2, 8, 4
INVAR-1, Run: 044, F, 0, 0, 1, 8, 12, 1, 2, 18
INVAR-1, Run: 045, F, 0, 0, 1, 8, 12, 1, 2, 18
INVAR-1, Run: 046, P, 0, 0, 2, 8, 12, 0, 9, 11
INVAR-1, Run: 047, P, 0, 0, 2, 8, 12, 0, 9, 11
INVAR-1, Run: 048, F, 0, 14, 0, 8, 12, 2, 6, 0
INVAR-1, Run: 049, P, 0, 0, 2, 8, 12, 0, 3, 17
INVAR-1, Run: 050, F, 0, 0, 2, 8, 11, 3, 7, 12
INVAR-1, Run: 051, F, 0, 10, 0, 8, 12, 2, 8, 2
INVAR-1, Run: 052, F, 0, 0, 2, 8, 11, 3, 3, 16
INVAR-1, Run: 053, F, 0, 6, 0, 8, 11, 5, 12, 1
INVAR-1, Run: 054, P, 0, 0, 2, 8, 12, 0, 5, 15
INVAR-1, Run: 055, F, 0, 0, 1, 8, 12, 1, 6, 14
