Input Number, Run_Number, Result@ 100, X, Y, V, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 0, 2, 0, 8, 12, 0, 4, 8
INVAR-1, Run: 002, F, 1, 0, 0, 7, 12, 2, 12, 2
INVAR-1, Run: 003, F, 1, 0, 0, 7, 12, 2, 9, 5
INVAR-1, Run: 004, F, 0, 2, 0, 8, 12, 0, 2, 10
INVAR-1, Run: 005, F, 0, 2, 0, 8, 12, 0, 2, 10
INVAR-1, Run: 006, F, 1, 0, 0, 7, 12, 2, 11, 3
INVAR-1, Run: 007, F, 0, 2, 0, 7, 11, 3, 5, 9
INVAR-1, Run: 008, F, 0, 2, 0, 8, 12, 0, 2, 10
INVAR-1, Run: 009, F, 1, 0, 0, 7, 12, 2, 11, 3
INVAR-1, Run: 010, F, 1, 0, 0, 7, 12, 2, 12, 2
INVAR-1, Run: 011, F, 1, 0, 0, 6, 11, 5, 13, 3
INVAR-1, Run: 012, F, 0, 2, 0, 8, 12, 0, 2, 10
INVAR-1, Run: 013, F, 1, 0, 0, 7, 12, 2, 12, 2
INVAR-1, Run: 014, F, 1, 0, 0, 7, 12, 2, 8, 6
INVAR-1, Run: 015, F, 1, 0, 0, 7, 12, 2, 13, 1
INVAR-1, Run: 016, F, 1, 0, 0, 7, 12, 2, 9, 5
INVAR-1, Run: 017, F, 1, 0, 0, 7, 12, 2, 10, 4
INVAR-1, Run: 018, F, 0, 2, 0, 7, 11, 3, 4, 10
INVAR-1, Run: 019, F, 0, 2, 0, 8, 12, 0, 0, 12
INVAR-1, Run: 020, F, 0, 2, 0, 8, 12, 0, 2, 10
INVAR-1, Run: 021, F, 0, 2, 0, 8, 12, 0, 2, 10
INVAR-1, Run: 022, F, 1, 0, 0, 7, 12, 2, 12, 2
INVAR-1, Run: 023, F, 1, 0, 0, 7, 12, 2, 9, 5
INVAR-1, Run: 024, F, 1, 0, 0, 7, 12, 2, 12, 2
INVAR-1, Run: 025, F, 1, 0, 0, 7, 12, 2, 13, 1
INVAR-1, Run: 026, F, 0, 2, 0, 8, 12, 0, 2, 10
