Input Number, Run_Number, Result@ 100, XP, Y, X, Z, YP, NEW_REACTION, Reaction1, Reaction2, Reaction3
INVAR-10, Run: 023, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 024, F, 0, 0, 0, 50, 8, 2, 42, 48, 40
INVAR-10, Run: 025, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 026, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 027, F, 0, 0, 0, 50, 8, 6, 42, 44, 36
INVAR-10, Run: 028, F, 0, 0, 0, 50, 8, 12, 42, 38, 30
INVAR-10, Run: 029, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 030, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 031, F, 0, 0, 0, 50, 8, 3, 42, 47, 39
INVAR-10, Run: 032, F, 0, 0, 0, 50, 8, 14, 42, 36, 28
INVAR-10, Run: 033, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 034, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 035, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 036, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 037, F, 0, 0, 0, 50, 8, 13, 42, 37, 29
INVAR-10, Run: 038, F, 0, 0, 0, 50, 8, 3, 42, 47, 39
INVAR-10, Run: 039, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 040, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 041, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 042, F, 0, 0, 0, 50, 8, 6, 42, 44, 36
INVAR-10, Run: 043, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 044, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 045, F, 0, 0, 0, 50, 8, 12, 42, 38, 30
INVAR-10, Run: 046, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 047, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 048, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 049, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 050, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 051, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 052, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 053, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 054, F, 0, 0, 0, 50, 8, 4, 42, 46, 38
INVAR-10, Run: 055, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 056, F, 0, 0, 0, 50, 8, 11, 42, 39, 31
INVAR-10, Run: 057, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 058, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 059, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 060, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 061, F, 0, 0, 0, 50, 8, 10, 42, 40, 32
INVAR-10, Run: 062, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 063, F, 0, 0, 0, 50, 8, 11, 42, 39, 31
INVAR-10, Run: 064, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 065, F, 0, 0, 0, 50, 8, 5, 42, 45, 37
INVAR-10, Run: 066, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 067, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 068, F, 0, 0, 0, 50, 8, 12, 42, 38, 30
INVAR-10, Run: 069, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 070, F, 0, 0, 0, 50, 8, 5, 42, 45, 37
INVAR-10, Run: 071, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 072, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 073, F, 0, 0, 0, 50, 8, 10, 42, 40, 32
INVAR-10, Run: 074, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 075, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 076, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 077, F, 0, 0, 0, 50, 8, 12, 42, 38, 30
INVAR-10, Run: 078, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 079, F, 0, 0, 0, 50, 8, 11, 42, 39, 31
INVAR-10, Run: 080, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 081, F, 0, 0, 0, 50, 8, 10, 42, 40, 32
INVAR-10, Run: 082, F, 0, 0, 0, 50, 8, 7, 42, 43, 35
INVAR-10, Run: 083, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 084, F, 0, 0, 0, 50, 8, 12, 42, 38, 30
INVAR-10, Run: 085, F, 0, 0, 0, 50, 8, 6, 42, 44, 36
INVAR-10, Run: 086, F, 0, 0, 0, 50, 8, 10, 42, 40, 32
INVAR-10, Run: 087, F, 0, 0, 0, 50, 8, 20, 42, 30, 22
INVAR-10, Run: 088, F, 0, 0, 0, 50, 8, 10, 42, 40, 32
INVAR-10, Run: 089, F, 0, 0, 0, 50, 8, 6, 42, 44, 36
INVAR-10, Run: 090, F, 0, 0, 0, 50, 8, 6, 42, 44, 36
INVAR-10, Run: 091, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 092, F, 0, 0, 0, 50, 8, 3, 42, 47, 39
INVAR-10, Run: 093, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 094, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 095, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 096, F, 0, 0, 0, 50, 8, 11, 42, 39, 31
INVAR-10, Run: 097, F, 0, 0, 0, 50, 8, 4, 42, 46, 38
INVAR-10, Run: 098, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-10, Run: 099, F, 0, 0, 0, 50, 8, 8, 42, 42, 34
INVAR-10, Run: 100, F, 0, 0, 0, 50, 8, 9, 42, 41, 33
INVAR-11, Run: 001, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 002, F, 0, 0, 0, 100, 42, 10, 58, 90, 48
INVAR-11, Run: 003, F, 0, 0, 0, 100, 42, 8, 58, 92, 50
INVAR-11, Run: 004, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 005, F, 0, 0, 0, 100, 42, 6, 58, 94, 52
INVAR-11, Run: 006, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 007, F, 0, 0, 0, 100, 42, 11, 58, 89, 47
INVAR-11, Run: 008, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 009, F, 0, 0, 0, 100, 42, 6, 58, 94, 52
INVAR-11, Run: 010, F, 0, 0, 0, 100, 42, 6, 58, 94, 52
INVAR-11, Run: 011, F, 0, 0, 0, 100, 42, 6, 58, 94, 52
INVAR-11, Run: 012, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 013, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 014, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 015, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 016, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 017, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 018, F, 0, 0, 0, 100, 42, 11, 58, 89, 47
INVAR-11, Run: 019, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 020, F, 0, 0, 0, 100, 42, 15, 58, 85, 43
INVAR-11, Run: 021, F, 0, 0, 0, 100, 42, 8, 58, 92, 50
INVAR-11, Run: 022, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 023, F, 0, 0, 0, 100, 42, 11, 58, 89, 47
INVAR-11, Run: 024, F, 0, 0, 0, 100, 42, 8, 58, 92, 50
INVAR-11, Run: 025, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 026, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 027, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 028, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 029, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 030, F, 0, 0, 0, 100, 42, 11, 58, 89, 47
INVAR-11, Run: 031, F, 0, 0, 0, 100, 42, 10, 58, 90, 48
INVAR-11, Run: 032, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 033, F, 0, 0, 0, 100, 42, 8, 58, 92, 50
INVAR-11, Run: 034, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 035, F, 0, 0, 0, 100, 42, 12, 58, 88, 46
INVAR-11, Run: 036, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 037, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 038, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 039, F, 0, 0, 0, 100, 42, 15, 58, 85, 43
INVAR-11, Run: 040, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 041, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 042, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 043, F, 0, 0, 0, 100, 42, 10, 58, 90, 48
INVAR-11, Run: 044, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 045, F, 0, 0, 0, 100, 42, 2, 58, 98, 56
INVAR-11, Run: 046, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 047, F, 0, 0, 0, 100, 42, 6, 58, 94, 52
INVAR-11, Run: 048, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 049, F, 0, 0, 0, 100, 42, 15, 58, 85, 43
INVAR-11, Run: 050, F, 0, 0, 0, 100, 42, 8, 58, 92, 50
INVAR-11, Run: 051, F, 0, 0, 0, 100, 42, 10, 58, 90, 48
INVAR-11, Run: 052, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 053, F, 0, 0, 0, 100, 42, 2, 58, 98, 56
INVAR-11, Run: 054, F, 0, 0, 0, 100, 42, 2, 58, 98, 56
INVAR-11, Run: 055, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 056, F, 0, 0, 0, 100, 42, 10, 58, 90, 48
INVAR-11, Run: 057, F, 0, 0, 0, 100, 42, 6, 58, 94, 52
INVAR-11, Run: 058, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 059, F, 0, 0, 0, 100, 42, 2, 58, 98, 56
INVAR-11, Run: 060, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 061, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 062, F, 0, 0, 0, 100, 42, 11, 58, 89, 47
INVAR-11, Run: 063, F, 0, 0, 0, 100, 42, 10, 58, 90, 48
INVAR-11, Run: 064, F, 0, 0, 0, 100, 42, 13, 58, 87, 45
INVAR-11, Run: 065, F, 0, 0, 0, 100, 42, 13, 58, 87, 45
INVAR-11, Run: 066, F, 0, 0, 0, 100, 42, 14, 58, 86, 44
INVAR-11, Run: 067, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 068, F, 0, 0, 0, 100, 42, 3, 58, 97, 55
INVAR-11, Run: 069, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 070, F, 0, 0, 0, 100, 42, 2, 58, 98, 56
INVAR-11, Run: 071, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 072, F, 0, 0, 0, 100, 42, 8, 58, 92, 50
INVAR-11, Run: 073, F, 0, 0, 0, 100, 42, 11, 58, 89, 47
INVAR-11, Run: 074, F, 0, 0, 0, 100, 42, 13, 58, 87, 45
INVAR-11, Run: 075, F, 0, 0, 0, 100, 42, 13, 58, 87, 45
INVAR-11, Run: 076, F, 0, 0, 0, 100, 42, 3, 58, 97, 55
INVAR-11, Run: 077, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 078, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 079, F, 0, 0, 0, 100, 42, 8, 58, 92, 50
INVAR-11, Run: 080, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 081, F, 0, 0, 0, 100, 42, 3, 58, 97, 55
INVAR-11, Run: 082, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 083, F, 0, 0, 0, 100, 42, 12, 58, 88, 46
INVAR-11, Run: 084, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 085, F, 0, 0, 0, 100, 42, 6, 58, 94, 52
INVAR-11, Run: 086, F, 0, 0, 0, 100, 42, 4, 58, 96, 54
INVAR-11, Run: 087, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 088, F, 0, 0, 0, 100, 42, 8, 58, 92, 50
INVAR-11, Run: 089, F, 0, 0, 0, 100, 42, 5, 58, 95, 53
INVAR-11, Run: 090, F, 0, 0, 0, 100, 42, 11, 58, 89, 47
INVAR-11, Run: 091, F, 0, 0, 0, 100, 42, 6, 58, 94, 52
INVAR-11, Run: 092, F, 0, 0, 0, 100, 42, 10, 58, 90, 48
INVAR-11, Run: 093, F, 0, 0, 0, 100, 42, 6, 58, 94, 52
INVAR-11, Run: 094, F, 0, 0, 0, 100, 42, 10, 58, 90, 48
INVAR-11, Run: 095, F, 0, 0, 0, 100, 42, 14, 58, 86, 44
INVAR-11, Run: 096, F, 0, 0, 0, 100, 42, 8, 58, 92, 50
INVAR-11, Run: 097, F, 0, 0, 0, 100, 42, 10, 58, 90, 48
INVAR-11, Run: 098, F, 0, 0, 0, 100, 42, 7, 58, 93, 51
INVAR-11, Run: 099, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-11, Run: 100, F, 0, 0, 0, 100, 42, 9, 58, 91, 49
INVAR-12, Run: 001, F, 0, 0, 0, 200, 70, 19, 130, 181, 111
INVAR-12, Run: 002, F, 0, 0, 0, 200, 70, 14, 130, 186, 116
INVAR-12, Run: 003, F, 0, 0, 0, 200, 70, 13, 130, 187, 117
INVAR-12, Run: 004, F, 0, 0, 0, 200, 70, 14, 130, 186, 116
INVAR-12, Run: 005, F, 0, 0, 0, 200, 70, 12, 130, 188, 118
INVAR-12, Run: 006, F, 0, 0, 0, 200, 70, 19, 130, 181, 111
INVAR-12, Run: 007, F, 0, 0, 0, 200, 70, 15, 130, 185, 115
INVAR-12, Run: 008, F, 0, 0, 0, 200, 70, 8, 130, 192, 122
INVAR-12, Run: 009, F, 0, 0, 0, 200, 70, 14, 130, 186, 116
INVAR-12, Run: 010, F, 0, 0, 0, 200, 70, 11, 130, 189, 119
INVAR-12, Run: 011, F, 0, 0, 0, 200, 70, 12, 130, 188, 118
INVAR-12, Run: 012, F, 0, 0, 0, 200, 70, 10, 130, 190, 120
INVAR-12, Run: 013, F, 0, 0, 0, 200, 70, 13, 130, 187, 117
INVAR-12, Run: 014, F, 0, 0, 0, 200, 70, 11, 130, 189, 119
INVAR-12, Run: 015, F, 0, 0, 0, 200, 70, 15, 130, 185, 115
INVAR-12, Run: 016, F, 0, 0, 0, 200, 70, 9, 130, 191, 121
INVAR-12, Run: 017, F, 0, 0, 0, 200, 70, 6, 130, 194, 124
INVAR-12, Run: 018, F, 0, 0, 0, 200, 70, 11, 130, 189, 119
INVAR-12, Run: 019, F, 0, 0, 0, 200, 70, 13, 130, 187, 117
INVAR-12, Run: 020, F, 0, 0, 0, 200, 70, 9, 130, 191, 121
INVAR-12, Run: 021, F, 0, 0, 0, 200, 70, 12, 130, 188, 118
INVAR-12, Run: 022, F, 0, 0, 0, 200, 70, 17, 130, 183, 113
INVAR-12, Run: 023, F, 0, 0, 0, 200, 70, 16, 130, 184, 114
INVAR-12, Run: 024, F, 0, 0, 0, 200, 70, 13, 130, 187, 117
INVAR-12, Run: 025, F, 0, 0, 0, 200, 70, 14, 130, 186, 116
INVAR-12, Run: 026, F, 0, 0, 0, 200, 70, 10, 130, 190, 120
INVAR-12, Run: 027, F, 0, 0, 0, 200, 70, 8, 130, 192, 122
INVAR-12, Run: 028, F, 0, 0, 0, 200, 70, 13, 130, 187, 117
INVAR-12, Run: 029, F, 0, 0, 0, 200, 70, 14, 130, 186, 116
INVAR-12, Run: 030, F, 0, 0, 0, 200, 70, 15, 130, 185, 115
