Input Number, Run_Number, Result@ 100, X, Y, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 0, 2, 0, 1, 7, 12, 2, 8, 13
INVAR-1, Run: 002, F, 0, 2, 0, 3, 6, 13, 3, 6, 16
INVAR-1, Run: 003, P, 0, 2, 0, 0, 8, 12, 0, 2, 18
INVAR-1, Run: 004, F, 0, 2, 0, 1, 7, 12, 2, 8, 13
INVAR-1, Run: 005, P, 0, 2, 0, 0, 7, 11, 3, 3, 18
INVAR-1, Run: 006, F, 0, 2, 0, 1, 7, 12, 2, 16, 5
INVAR-1, Run: 007, F, 0, 2, 0, 2, 7, 13, 1, 9, 12
INVAR-1, Run: 008, P, 0, 2, 0, 0, 7, 11, 3, 1, 20
INVAR-1, Run: 009, F, 0, 2, 0, 1, 7, 12, 2, 5, 16
INVAR-1, Run: 010, P, 0, 2, 0, 0, 8, 12, 0, 1, 19
INVAR-1, Run: 011, F, 0, 2, 0, 1, 7, 12, 2, 9, 12
INVAR-1, Run: 012, F, 0, 2, 0, 1, 7, 12, 2, 17, 4
INVAR-1, Run: 013, P, 0, 2, 0, 0, 8, 12, 0, 2, 18
INVAR-1, Run: 014, F, 0, 2, 0, 1, 7, 12, 2, 20, 1
INVAR-1, Run: 015, F, 0, 2, 0, 2, 7, 13, 1, 8, 13
INVAR-1, Run: 016, F, 0, 2, 0, 2, 7, 13, 1, 3, 18
INVAR-1, Run: 017, F, 0, 2, 0, 1, 7, 12, 2, 13, 8
INVAR-1, Run: 018, F, 0, 2, 0, 1, 7, 12, 2, 2, 19
INVAR-1, Run: 019, F, 0, 2, 0, 3, 6, 13, 3, 3, 19
INVAR-1, Run: 020, F, 0, 2, 0, 2, 7, 13, 1, 13, 8
INVAR-1, Run: 021, F, 0, 2, 0, 1, 7, 12, 2, 3, 18
INVAR-1, Run: 022, P, 0, 2, 0, 0, 8, 12, 0, 3, 17
INVAR-1, Run: 023, P, 0, 2, 0, 0, 8, 12, 0, 3, 17
INVAR-1, Run: 024, F, 0, 2, 0, 1, 7, 12, 2, 13, 8
