Input Number, Run_Number, Result@ 100, B, F, X1, A, C, PO, D, CO, Y, PE, CE, E
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 037, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 038, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 039, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 040, P, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8
INVAR-1, Run: 041, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 042, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 043, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 044, P, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8
INVAR-1, Run: 045, P, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8
INVAR-1, Run: 046, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 047, P, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8
INVAR-1, Run: 048, P, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9
INVAR-1, Run: 049, P, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8
INVAR-1, Run: 050, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 051, P, 0, 0, 0, 0, 0, 0, 57, 0, 2, 1, 2, 8
INVAR-1, Run: 052, P, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8
INVAR-1, Run: 053, P, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8
INVAR-1, Run: 054, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 055, P, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8
INVAR-1, Run: 056, P, 0, 0, 0, 0, 0, 0, 58, 0, 2, 1, 2, 8
INVAR-1, Run: 057, P, 0, 0, 0, 0, 0, 0, 59, 0, 0, 1, 0, 9
INVAR-1, Run: 058, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 059, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 060, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 061, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 062, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 063, P, 0, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8
INVAR-1, Run: 064, P, 0, 0, 0, 0, 0, 0, 59, 0, 0, 1, 0, 9
INVAR-1, Run: 065, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 066, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 067, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 068, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 069, P, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 0, 9
INVAR-1, Run: 070, P, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 9
INVAR-1, Run: 071, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 072, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 073, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 074, P, 0, 0, 0, 0, 0, 0, 57, 0, 2, 1, 2, 8
INVAR-1, Run: 075, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 076, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 077, P, 0, 0, 0, 0, 0, 0, 60, 0, 0, 1, 0, 9
INVAR-1, Run: 078, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 079, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 080, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 081, P, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 0, 9
INVAR-1, Run: 082, P, 0, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8
INVAR-1, Run: 083, P, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8
INVAR-1, Run: 084, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 085, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 086, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 087, P, 0, 0, 0, 0, 0, 0, 57, 0, 2, 1, 2, 8
INVAR-1, Run: 088, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 089, P, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8
INVAR-1, Run: 090, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 092, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 093, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 094, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-1, Run: 095, P, 0, 0, 0, 0, 0, 0, 57, 0, 4, 1, 4, 7
INVAR-1, Run: 096, P, 0, 0, 0, 0, 0, 0, 57, 0, 2, 1, 2, 8
INVAR-1, Run: 097, P, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9
INVAR-1, Run: 098, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 099, P, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9
INVAR-1, Run: 100, P, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9
INVAR-10, Run: 001, P, 0, 0, 0, 0, 0, 0, 606, 0, 2, 1, 2, 99
INVAR-10, Run: 002, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 003, P, 0, 0, 0, 0, 0, 0, 605, 0, 2, 1, 2, 99
INVAR-10, Run: 004, P, 0, 0, 0, 0, 0, 0, 616, 0, 0, 1, 0, 100
INVAR-10, Run: 005, P, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100
INVAR-10, Run: 006, P, 0, 0, 0, 0, 0, 0, 603, 0, 0, 1, 0, 100
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 0, 607, 0, 2, 1, 2, 99
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 0, 611, 0, 2, 1, 2, 99
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 0, 613, 0, 0, 1, 0, 100
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 0, 609, 0, 2, 1, 2, 99
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 013, P, 0, 0, 0, 0, 0, 0, 607, 0, 0, 1, 0, 100
INVAR-10, Run: 014, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 0, 614, 0, 2, 1, 2, 99
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 0, 608, 0, 2, 1, 2, 99
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 0, 609, 0, 0, 1, 0, 100
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 0, 609, 0, 0, 1, 0, 100
INVAR-10, Run: 021, P, 0, 0, 0, 0, 0, 0, 615, 0, 2, 1, 2, 99
INVAR-10, Run: 022, P, 0, 0, 0, 0, 0, 0, 609, 0, 0, 1, 0, 100
INVAR-10, Run: 023, P, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100
INVAR-10, Run: 024, P, 0, 0, 0, 0, 0, 0, 607, 0, 0, 1, 0, 100
INVAR-10, Run: 025, P, 0, 0, 0, 0, 0, 0, 609, 0, 2, 1, 2, 99
INVAR-10, Run: 026, P, 0, 0, 0, 0, 0, 0, 612, 0, 2, 1, 2, 99
INVAR-10, Run: 027, P, 0, 0, 0, 0, 0, 0, 607, 0, 0, 1, 0, 100
INVAR-10, Run: 028, P, 0, 0, 0, 0, 0, 0, 607, 0, 0, 1, 0, 100
INVAR-10, Run: 029, P, 0, 0, 0, 0, 0, 0, 612, 0, 0, 1, 0, 100
INVAR-10, Run: 030, P, 0, 0, 0, 0, 0, 0, 610, 0, 2, 1, 2, 99
INVAR-10, Run: 031, P, 0, 0, 0, 0, 0, 0, 606, 0, 0, 1, 0, 100
INVAR-10, Run: 032, P, 0, 0, 0, 0, 0, 0, 605, 0, 0, 1, 0, 100
INVAR-10, Run: 033, P, 0, 0, 0, 0, 0, 0, 612, 0, 2, 1, 2, 99
INVAR-10, Run: 034, P, 0, 0, 0, 0, 0, 0, 606, 0, 0, 1, 0, 100
INVAR-10, Run: 035, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 036, P, 0, 0, 0, 0, 0, 0, 612, 0, 0, 1, 0, 100
INVAR-10, Run: 037, P, 0, 0, 0, 0, 0, 0, 610, 0, 2, 1, 2, 99
INVAR-10, Run: 038, P, 0, 0, 0, 0, 0, 0, 607, 0, 2, 1, 2, 99
INVAR-10, Run: 039, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 040, P, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100
INVAR-10, Run: 041, P, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100
INVAR-10, Run: 042, P, 0, 0, 0, 0, 0, 0, 608, 0, 2, 1, 2, 99
INVAR-10, Run: 043, P, 0, 0, 0, 0, 0, 0, 618, 0, 2, 1, 2, 99
INVAR-10, Run: 044, P, 0, 0, 0, 0, 0, 0, 604, 0, 2, 1, 2, 99
INVAR-10, Run: 045, P, 0, 0, 0, 0, 0, 0, 607, 0, 0, 1, 0, 100
INVAR-10, Run: 046, P, 0, 0, 0, 0, 0, 0, 605, 0, 0, 1, 0, 100
INVAR-10, Run: 047, P, 0, 0, 0, 0, 0, 0, 611, 0, 2, 1, 2, 99
INVAR-10, Run: 048, P, 0, 0, 0, 0, 0, 0, 606, 0, 2, 1, 2, 99
INVAR-10, Run: 049, P, 0, 0, 0, 0, 0, 0, 610, 0, 2, 1, 2, 99
INVAR-10, Run: 050, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 051, P, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100
INVAR-10, Run: 052, P, 0, 0, 0, 0, 0, 0, 613, 0, 0, 1, 0, 100
INVAR-10, Run: 053, P, 0, 0, 0, 0, 0, 0, 609, 0, 0, 1, 0, 100
INVAR-10, Run: 054, P, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100
INVAR-10, Run: 055, P, 0, 0, 0, 0, 0, 0, 606, 0, 0, 1, 0, 100
INVAR-10, Run: 056, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 057, P, 0, 0, 0, 0, 0, 0, 607, 0, 2, 1, 2, 99
INVAR-10, Run: 058, P, 0, 0, 0, 0, 0, 0, 613, 0, 0, 1, 0, 100
INVAR-10, Run: 059, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 060, P, 0, 0, 0, 0, 0, 0, 607, 0, 2, 1, 2, 99
INVAR-10, Run: 061, P, 0, 0, 0, 0, 0, 0, 604, 0, 0, 1, 0, 100
INVAR-10, Run: 062, P, 0, 0, 0, 0, 0, 0, 603, 0, 0, 1, 0, 100
INVAR-10, Run: 063, P, 0, 0, 0, 0, 0, 0, 610, 0, 2, 1, 2, 99
INVAR-10, Run: 064, P, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100
INVAR-10, Run: 065, P, 0, 0, 0, 0, 0, 0, 613, 0, 2, 1, 2, 99
INVAR-10, Run: 066, P, 0, 0, 0, 0, 0, 0, 606, 0, 0, 1, 0, 100
INVAR-10, Run: 067, P, 0, 0, 0, 0, 0, 0, 604, 0, 2, 1, 2, 99
INVAR-10, Run: 068, P, 0, 0, 0, 0, 0, 0, 612, 0, 2, 1, 2, 99
INVAR-10, Run: 069, P, 0, 0, 0, 0, 0, 0, 609, 0, 0, 1, 0, 100
INVAR-10, Run: 070, P, 0, 0, 0, 0, 0, 0, 613, 0, 2, 1, 2, 99
INVAR-10, Run: 071, P, 0, 0, 0, 0, 0, 0, 606, 0, 0, 1, 0, 100
INVAR-10, Run: 072, P, 0, 0, 0, 0, 0, 0, 609, 0, 0, 1, 0, 100
INVAR-10, Run: 073, P, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100
INVAR-10, Run: 074, P, 0, 0, 0, 0, 0, 0, 609, 0, 2, 1, 2, 99
INVAR-10, Run: 075, P, 0, 0, 0, 0, 0, 0, 607, 0, 2, 1, 2, 99
INVAR-10, Run: 076, P, 0, 0, 0, 0, 0, 0, 606, 0, 2, 1, 2, 99
INVAR-10, Run: 077, P, 0, 0, 0, 0, 0, 0, 607, 0, 0, 1, 0, 100
INVAR-10, Run: 078, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 079, P, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100
INVAR-10, Run: 080, P, 0, 0, 0, 0, 0, 0, 613, 0, 0, 1, 0, 100
INVAR-10, Run: 081, P, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100
INVAR-10, Run: 082, P, 0, 0, 0, 0, 0, 0, 612, 0, 2, 1, 2, 99
INVAR-10, Run: 083, P, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100
INVAR-10, Run: 084, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 085, P, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100
INVAR-10, Run: 086, P, 0, 0, 0, 0, 0, 0, 610, 0, 0, 1, 0, 100
INVAR-10, Run: 087, P, 0, 0, 0, 0, 0, 0, 613, 0, 0, 1, 0, 100
INVAR-10, Run: 088, P, 0, 0, 0, 0, 0, 0, 608, 0, 0, 1, 0, 100
INVAR-10, Run: 089, P, 0, 0, 0, 0, 0, 0, 606, 0, 0, 1, 0, 100
INVAR-10, Run: 090, P, 0, 0, 0, 0, 0, 0, 613, 0, 0, 1, 0, 100
INVAR-10, Run: 091, P, 0, 0, 0, 0, 0, 0, 616, 0, 0, 1, 0, 100
INVAR-10, Run: 092, P, 0, 0, 0, 0, 0, 0, 609, 0, 2, 1, 2, 99
INVAR-10, Run: 093, P, 0, 0, 0, 0, 0, 0, 611, 0, 2, 1, 2, 99
INVAR-10, Run: 094, P, 0, 0, 0, 0, 0, 0, 612, 0, 0, 1, 0, 100
INVAR-10, Run: 095, P, 0, 0, 0, 0, 0, 0, 610, 0, 2, 1, 2, 99
INVAR-10, Run: 096, P, 0, 0, 0, 0, 0, 0, 606, 0, 0, 1, 0, 100
INVAR-10, Run: 097, P, 0, 0, 0, 0, 0, 0, 606, 0, 0, 1, 0, 100
INVAR-10, Run: 098, P, 0, 0, 0, 0, 0, 0, 607, 0, 0, 1, 0, 100
INVAR-10, Run: 099, P, 0, 0, 0, 0, 0, 0, 609, 0, 0, 1, 0, 100
INVAR-10, Run: 100, P, 0, 0, 0, 0, 0, 0, 611, 0, 0, 1, 0, 100
INVAR-2, Run: 001, P, 0, 0, 0, 0, 0, 0, 174, 0, 0, 1, 0, 28
INVAR-2, Run: 002, P, 0, 0, 0, 0, 0, 0, 169, 0, 0, 1, 0, 28
INVAR-2, Run: 003, P, 0, 0, 0, 0, 0, 0, 170, 0, 0, 1, 0, 28
INVAR-2, Run: 004, P, 0, 0, 0, 0, 0, 0, 171, 0, 2, 1, 2, 27
INVAR-2, Run: 005, P, 0, 0, 0, 0, 0, 0, 172, 0, 0, 1, 0, 28
INVAR-2, Run: 006, P, 0, 0, 0, 0, 0, 0, 173, 0, 0, 1, 0, 28
INVAR-2, Run: 007, P, 0, 0, 0, 0, 0, 0, 169, 0, 2, 1, 2, 27
INVAR-2, Run: 008, P, 0, 0, 0, 0, 0, 0, 174, 0, 2, 1, 2, 27
INVAR-2, Run: 009, P, 0, 0, 0, 0, 0, 0, 172, 0, 0, 1, 0, 28
INVAR-2, Run: 010, P, 0, 0, 0, 0, 0, 0, 171, 0, 0, 1, 0, 28
INVAR-2, Run: 011, P, 0, 0, 0, 0, 0, 0, 170, 0, 0, 1, 0, 28
INVAR-2, Run: 012, P, 0, 0, 0, 0, 0, 0, 173, 0, 2, 1, 2, 27
INVAR-2, Run: 013, P, 0, 0, 0, 0, 0, 0, 172, 0, 2, 1, 2, 27
INVAR-2, Run: 014, P, 0, 0, 0, 0, 0, 0, 175, 0, 0, 1, 0, 28
INVAR-2, Run: 015, P, 0, 0, 0, 0, 0, 0, 173, 0, 0, 1, 0, 28
INVAR-2, Run: 016, P, 0, 0, 0, 0, 0, 0, 170, 0, 2, 1, 2, 27
INVAR-2, Run: 017, P, 0, 0, 0, 0, 0, 0, 173, 0, 2, 1, 2, 27
INVAR-2, Run: 018, P, 0, 0, 0, 0, 0, 0, 172, 0, 2, 1, 2, 27
INVAR-2, Run: 019, P, 0, 0, 0, 0, 0, 0, 172, 0, 2, 1, 2, 27
INVAR-2, Run: 020, P, 0, 0, 0, 0, 0, 0, 176, 0, 0, 1, 0, 28
INVAR-2, Run: 021, P, 0, 0, 0, 0, 0, 0, 171, 0, 2, 1, 2, 27
INVAR-2, Run: 022, P, 0, 0, 0, 0, 0, 0, 176, 0, 0, 1, 0, 28
INVAR-2, Run: 023, P, 0, 0, 0, 0, 0, 0, 172, 0, 0, 1, 0, 28
INVAR-2, Run: 024, P, 0, 0, 0, 0, 0, 0, 175, 0, 0, 1, 0, 28
INVAR-2, Run: 025, P, 0, 0, 0, 0, 0, 0, 173, 0, 2, 1, 2, 27
INVAR-2, Run: 026, P, 0, 0, 0, 0, 0, 0, 175, 0, 0, 1, 0, 28
INVAR-2, Run: 027, P, 0, 0, 0, 0, 0, 0, 170, 0, 2, 1, 2, 27
INVAR-2, Run: 028, P, 0, 0, 0, 0, 0, 0, 174, 0, 0, 1, 0, 28
INVAR-2, Run: 029, P, 0, 0, 0, 0, 0, 0, 172, 0, 2, 1, 2, 27
INVAR-2, Run: 030, P, 0, 0, 0, 0, 0, 0, 177, 0, 0, 1, 0, 28
INVAR-2, Run: 031, P, 0, 0, 0, 0, 0, 0, 171, 0, 0, 1, 0, 28
INVAR-2, Run: 032, P, 0, 0, 0, 0, 0, 0, 175, 0, 0, 1, 0, 28
INVAR-2, Run: 033, P, 0, 0, 0, 0, 0, 0, 172, 0, 0, 1, 0, 28
INVAR-2, Run: 034, P, 0, 0, 0, 0, 0, 0, 174, 0, 0, 1, 0, 28
INVAR-2, Run: 035, P, 0, 0, 0, 0, 0, 0, 170, 0, 0, 1, 0, 28
INVAR-2, Run: 036, P, 0, 0, 0, 0, 0, 0, 172, 0, 2, 1, 2, 27
INVAR-2, Run: 037, P, 0, 0, 0, 0, 0, 0, 174, 0, 0, 1, 0, 28
INVAR-2, Run: 038, P, 0, 0, 0, 0, 0, 0, 175, 0, 0, 1, 0, 28
INVAR-2, Run: 039, P, 0, 0, 0, 0, 0, 0, 170, 0, 0, 1, 0, 28
INVAR-2, Run: 040, P, 0, 0, 0, 0, 0, 0, 171, 0, 2, 1, 2, 27
INVAR-2, Run: 041, P, 0, 0, 0, 0, 0, 0, 171, 0, 2, 1, 2, 27
INVAR-2, Run: 042, P, 0, 0, 0, 0, 0, 0, 172, 0, 0, 1, 0, 28
INVAR-2, Run: 043, P, 0, 0, 0, 0, 0, 0, 171, 0, 0, 1, 0, 28
INVAR-2, Run: 044, P, 0, 0, 0, 0, 0, 0, 173, 0, 0, 1, 0, 28
INVAR-2, Run: 045, P, 0, 0, 0, 0, 0, 0, 171, 0, 2, 1, 2, 27
INVAR-2, Run: 046, P, 0, 0, 0, 0, 0, 0, 176, 0, 0, 1, 0, 28
INVAR-2, Run: 047, P, 0, 0, 0, 0, 0, 0, 172, 0, 0, 1, 0, 28
INVAR-2, Run: 048, P, 0, 0, 0, 0, 0, 0, 173, 0, 0, 1, 0, 28
INVAR-2, Run: 049, P, 0, 0, 0, 0, 0, 0, 175, 0, 2, 1, 2, 27
INVAR-2, Run: 050, P, 0, 0, 0, 0, 0, 0, 172, 0, 0, 1, 0, 28
INVAR-2, Run: 051, P, 0, 0, 0, 0, 0, 0, 176, 0, 0, 1, 0, 28
INVAR-2, Run: 052, P, 0, 0, 0, 0, 0, 0, 170, 0, 0, 1, 0, 28
INVAR-2, Run: 053, P, 0, 0, 0, 0, 0, 0, 171, 0, 0, 1, 0, 28
INVAR-2, Run: 054, P, 0, 0, 0, 0, 0, 0, 171, 0, 0, 1, 0, 28
INVAR-2, Run: 055, P, 0, 0, 0, 0, 0, 0, 173, 0, 0, 1, 0, 28
INVAR-2, Run: 056, P, 0, 0, 0, 0, 0, 0, 174, 0, 0, 1, 0, 28
INVAR-2, Run: 057, P, 0, 0, 0, 0, 0, 0, 173, 0, 0, 1, 0, 28
INVAR-2, Run: 058, P, 0, 0, 0, 0, 0, 0, 173, 0, 0, 1, 0, 28
INVAR-2, Run: 059, P, 0, 0, 0, 0, 0, 0, 173, 0, 0, 1, 0, 28
INVAR-2, Run: 060, P, 0, 0, 0, 0, 0, 0, 173, 0, 0, 1, 0, 28
INVAR-2, Run: 061, P, 0, 0, 0, 0, 0, 0, 172, 0, 0, 1, 0, 28
INVAR-2, Run: 062, P, 0, 0, 0, 0, 0, 0, 170, 0, 2, 1, 2, 27
INVAR-2, Run: 063, P, 0, 0, 0, 0, 0, 0, 171, 0, 0, 1, 0, 28
INVAR-2, Run: 064, P, 0, 0, 0, 0, 0, 0, 170, 0, 0, 1, 0, 28
INVAR-2, Run: 065, P, 0, 0, 0, 0, 0, 0, 175, 0, 0, 1, 0, 28
INVAR-2, Run: 066, P, 0, 0, 0, 0, 0, 0, 170, 0, 0, 1, 0, 28
INVAR-2, Run: 067, P, 0, 0, 0, 0, 0, 0, 172, 0, 2, 1, 2, 27
INVAR-2, Run: 068, P, 0, 0, 0, 0, 0, 0, 169, 0, 2, 1, 2, 27
INVAR-2, Run: 069, P, 0, 0, 0, 0, 0, 0, 170, 0, 0, 1, 0, 28
INVAR-2, Run: 070, P, 0, 0, 0, 0, 0, 0, 175, 0, 0, 1, 0, 28
INVAR-2, Run: 071, P, 0, 0, 0, 0, 0, 0, 172, 0, 2, 1, 2, 27
INVAR-2, Run: 072, P, 0, 0, 0, 0, 0, 0, 175, 0, 0, 1, 0, 28
