Input Number, Run_Number, Result@ 100, X, V, Y, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 1, 13, 0, 7, 12, 2, 1267, 8
INVAR-1, Run: 002, F, 1, 6, 0, 7, 12, 2, 608, 15
INVAR-1, Run: 003, F, 0, 0, 2, 7, 11, 3, 3, 21
INVAR-1, Run: 004, F, 1, 11, 0, 7, 12, 2, 1217, 10
INVAR-1, Run: 005, F, 0, 0, 2, 8, 12, 0, 2, 20
INVAR-1, Run: 006, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 007, F, 1, 9, 0, 7, 12, 2, 864, 12
INVAR-1, Run: 008, F, 0, 0, 2, 8, 12, 0, 7, 20
INVAR-1, Run: 009, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 010, F, 1, 13, 0, 7, 12, 2, 1289, 8
INVAR-1, Run: 011, F, 1, 13, 0, 7, 12, 2, 1365, 8
INVAR-1, Run: 012, F, 1, 7, 0, 7, 12, 2, 718, 14
INVAR-1, Run: 013, F, 1, 14, 0, 7, 12, 2, 1393, 7
INVAR-1, Run: 014, F, 1, 21, 0, 7, 12, 2, 2127, 0
INVAR-1, Run: 015, F, 1, 12, 0, 7, 12, 2, 1208, 9
INVAR-1, Run: 016, F, 1, 11, 0, 7, 12, 2, 1070, 10
INVAR-1, Run: 017, F, 1, 17, 0, 6, 11, 5, 1674, 5
INVAR-1, Run: 018, F, 0, 0, 2, 7, 11, 3, 8, 21
INVAR-1, Run: 019, F, 1, 6, 0, 7, 12, 2, 599, 15
INVAR-1, Run: 020, F, 0, 0, 2, 8, 12, 0, 4, 20
INVAR-1, Run: 021, F, 1, 21, 0, 7, 12, 2, 2096, 0
INVAR-1, Run: 022, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 023, F, 1, 14, 0, 7, 12, 2, 1376, 7
INVAR-1, Run: 024, F, 1, 13, 0, 7, 12, 2, 1306, 8
INVAR-1, Run: 025, F, 1, 15, 0, 7, 12, 2, 1550, 6
INVAR-1, Run: 026, F, 1, 19, 0, 7, 12, 2, 1866, 2
INVAR-1, Run: 027, F, 0, 0, 2, 8, 12, 0, 8, 20
INVAR-1, Run: 028, F, 1, 9, 0, 7, 12, 2, 895, 12
INVAR-1, Run: 029, F, 1, 17, 0, 7, 12, 2, 1735, 4
INVAR-1, Run: 030, F, 1, 1, 0, 7, 12, 2, 119, 20
INVAR-1, Run: 031, F, 1, 4, 0, 7, 12, 2, 378, 17
INVAR-1, Run: 032, F, 1, 7, 0, 7, 12, 2, 704, 14
INVAR-1, Run: 033, F, 1, 20, 0, 7, 12, 2, 2037, 1
INVAR-1, Run: 034, F, 1, 12, 0, 7, 12, 2, 1230, 9
INVAR-1, Run: 035, F, 0, 0, 2, 8, 12, 0, 5, 20
INVAR-1, Run: 036, F, 1, 8, 0, 7, 12, 2, 815, 13
INVAR-1, Run: 037, F, 0, 0, 2, 8, 12, 0, 4, 20
INVAR-1, Run: 038, F, 1, 13, 0, 7, 12, 2, 1301, 8
INVAR-1, Run: 039, F, 1, 9, 0, 7, 12, 2, 921, 12
INVAR-1, Run: 040, F, 1, 5, 0, 7, 12, 2, 546, 16
INVAR-1, Run: 041, F, 1, 11, 0, 7, 12, 2, 1097, 10
INVAR-1, Run: 042, F, 1, 15, 0, 7, 12, 2, 1499, 6
INVAR-1, Run: 043, F, 0, 0, 2, 7, 11, 3, 1, 21
INVAR-1, Run: 044, F, 0, 0, 2, 8, 12, 0, 7, 20
INVAR-1, Run: 045, F, 1, 1, 0, 7, 12, 2, 132, 20
INVAR-1, Run: 046, F, 1, 10, 0, 7, 12, 2, 996, 11
INVAR-1, Run: 047, F, 1, 5, 0, 7, 12, 2, 520, 16
INVAR-1, Run: 048, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 049, F, 1, 16, 0, 7, 12, 2, 1604, 5
INVAR-1, Run: 050, F, 1, 19, 0, 7, 12, 2, 1921, 2
INVAR-1, Run: 051, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 052, F, 1, 12, 0, 7, 12, 2, 1192, 9
INVAR-1, Run: 053, F, 0, 0, 2, 8, 12, 0, 10, 20
INVAR-1, Run: 054, F, 0, 0, 2, 7, 11, 3, 9, 21
INVAR-1, Run: 055, F, 1, 7, 0, 7, 12, 2, 734, 14
INVAR-1, Run: 056, F, 1, 13, 0, 7, 12, 2, 1345, 8
INVAR-1, Run: 057, F, 0, 0, 2, 7, 11, 3, 5, 21
INVAR-1, Run: 058, F, 1, 9, 0, 7, 12, 2, 927, 12
INVAR-1, Run: 059, F, 1, 16, 0, 7, 12, 2, 1650, 5
INVAR-1, Run: 060, F, 1, 7, 0, 7, 12, 2, 734, 14
INVAR-1, Run: 061, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 062, F, 0, 0, 2, 7, 11, 3, 5, 21
INVAR-1, Run: 063, F, 1, 14, 0, 6, 11, 5, 1389, 8
INVAR-1, Run: 064, F, 1, 17, 0, 7, 12, 2, 1684, 4
INVAR-1, Run: 065, F, 1, 17, 0, 7, 12, 2, 1753, 4
INVAR-1, Run: 066, F, 1, 3, 0, 7, 12, 2, 339, 18
