Input Number, Run_Number, Result@ 100, A2, F1, F2, A1, F1P, F2P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 045, P, 25, 0, 0, 23, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-1, Run: 046, P, 26, 0, 0, 23, 0, 9, 2, 3, 1, 1, 9, 2, 2
INVAR-1, Run: 047, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 048, P, 22, 0, 0, 23, 0, 12, 1, 4, 1, 0, 12, 1, 1
INVAR-1, Run: 049, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 050, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 051, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 052, P, 26, 0, 0, 22, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-1, Run: 053, P, 26, 0, 0, 22, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-1, Run: 054, P, 28, 0, 0, 21, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-1, Run: 055, P, 30, 0, 0, 20, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-1, Run: 056, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 057, P, 28, 0, 0, 21, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-1, Run: 058, P, 29, 0, 0, 21, 0, 6, 3, 2, 3, 0, 7, 2, 3
INVAR-1, Run: 059, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 060, P, 27, 0, 0, 22, 0, 6, 3, 2, 2, 1, 9, 0, 3
INVAR-1, Run: 061, P, 27, 0, 0, 22, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-1, Run: 062, P, 26, 0, 0, 22, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-1, Run: 063, P, 28, 0, 0, 21, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-1, Run: 064, P, 22, 0, 0, 24, 0, 15, 0, 5, 0, 0, 11, 4, 0
INVAR-1, Run: 065, P, 30, 0, 0, 20, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-1, Run: 066, P, 31, 0, 0, 20, 0, 3, 4, 1, 4, 0, 6, 1, 4
INVAR-1, Run: 067, P, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 068, P, 25, 0, 0, 23, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-1, Run: 069, P, 24, 0, 0, 22, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-1, Run: 070, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 071, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 072, P, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 073, P, 22, 0, 0, 23, 0, 12, 1, 4, 1, 0, 12, 1, 1
INVAR-1, Run: 074, P, 31, 0, 0, 21, 0, 3, 4, 1, 3, 1, 6, 1, 4
INVAR-1, Run: 075, P, 24, 0, 0, 22, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-1, Run: 076, P, 28, 0, 0, 21, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-1, Run: 077, P, 30, 0, 0, 21, 0, 3, 4, 1, 3, 1, 7, 0, 4
INVAR-1, Run: 078, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 079, P, 26, 0, 0, 22, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-1, Run: 080, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 081, P, 24, 0, 0, 22, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-1, Run: 082, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 083, P, 28, 0, 0, 22, 0, 9, 2, 3, 2, 0, 7, 4, 2
INVAR-1, Run: 084, P, 26, 0, 0, 22, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-1, Run: 085, P, 27, 0, 0, 22, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-1, Run: 086, P, 22, 0, 0, 23, 0, 12, 1, 4, 1, 0, 12, 1, 1
INVAR-1, Run: 087, P, 28, 0, 0, 21, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-1, Run: 088, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 089, P, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 090, P, 27, 0, 0, 22, 0, 6, 3, 2, 2, 1, 9, 0, 3
INVAR-1, Run: 091, P, 28, 0, 0, 21, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-1, Run: 092, P, 30, 0, 0, 20, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-1, Run: 093, P, 26, 0, 0, 22, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-1, Run: 094, P, 26, 0, 0, 22, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-1, Run: 095, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 096, P, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 097, P, 30, 0, 0, 20, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-1, Run: 098, P, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 099, P, 30, 0, 0, 21, 0, 6, 3, 2, 3, 0, 6, 3, 3
INVAR-1, Run: 100, P, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-10, Run: 001, P, 7, 0, 0, 4, 0, 12, 1, 4, 1, 0, 7, 6, 1
INVAR-10, Run: 002, P, 7, 0, 0, 3, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-10, Run: 003, P, 5, 0, 0, 4, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-10, Run: 004, P, 4, 0, 0, 4, 0, 12, 1, 4, 1, 0, 10, 3, 1
INVAR-10, Run: 005, P, 6, 0, 0, 3, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-10, Run: 006, P, 6, 0, 0, 4, 0, 12, 1, 4, 1, 0, 8, 5, 1
INVAR-10, Run: 007, P, 7, 0, 0, 4, 0, 12, 1, 4, 1, 0, 7, 6, 1
INVAR-10, Run: 008, P, 8, 0, 0, 4, 0, 9, 2, 3, 1, 1, 7, 4, 2
INVAR-10, Run: 009, P, 6, 0, 0, 4, 0, 12, 1, 4, 1, 0, 8, 5, 1
INVAR-10, Run: 010, P, 8, 0, 0, 4, 0, 12, 1, 4, 1, 0, 6, 7, 1
INVAR-10, Run: 011, P, 6, 0, 0, 3, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-10, Run: 012, P, 5, 0, 0, 4, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-10, Run: 013, P, 9, 0, 0, 3, 0, 9, 2, 3, 2, 0, 6, 5, 2
INVAR-10, Run: 014, P, 3, 0, 0, 4, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-10, Run: 015, P, 6, 0, 0, 4, 0, 12, 1, 4, 1, 0, 8, 5, 1
INVAR-10, Run: 016, P, 5, 0, 0, 5, 0, 15, 0, 5, 0, 0, 8, 7, 0
INVAR-10, Run: 017, P, 11, 0, 0, 2, 0, 3, 4, 1, 3, 1, 6, 1, 4
INVAR-10, Run: 018, P, 5, 0, 0, 5, 0, 15, 0, 5, 0, 0, 8, 7, 0
INVAR-10, Run: 019, P, 7, 0, 0, 3, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-10, Run: 020, P, 7, 0, 0, 3, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-10, Run: 021, P, 8, 0, 0, 2, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-10, Run: 022, P, 7, 0, 0, 3, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-10, Run: 023, P, 6, 0, 0, 4, 0, 12, 1, 4, 1, 0, 8, 5, 1
INVAR-10, Run: 024, P, 10, 0, 0, 3, 0, 9, 2, 3, 2, 0, 5, 6, 2
INVAR-10, Run: 025, P, 7, 0, 0, 4, 0, 12, 1, 4, 1, 0, 7, 6, 1
INVAR-10, Run: 026, P, 8, 0, 0, 3, 0, 9, 2, 3, 2, 0, 7, 4, 2
INVAR-10, Run: 027, P, 11, 0, 0, 1, 0, 3, 4, 1, 4, 0, 6, 1, 4
INVAR-10, Run: 028, P, 8, 0, 0, 2, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-10, Run: 029, P, 4, 0, 0, 5, 0, 15, 0, 5, 0, 0, 9, 6, 0
INVAR-10, Run: 030, P, 4, 0, 0, 4, 0, 12, 1, 4, 1, 0, 10, 3, 1
INVAR-10, Run: 031, P, 7, 0, 0, 3, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-10, Run: 032, P, 4, 0, 0, 5, 0, 15, 0, 5, 0, 0, 9, 6, 0
INVAR-10, Run: 033, P, 9, 0, 0, 2, 0, 6, 3, 2, 3, 0, 7, 2, 3
INVAR-10, Run: 034, P, 8, 0, 0, 3, 0, 9, 2, 3, 2, 0, 7, 4, 2
INVAR-10, Run: 035, P, 7, 0, 0, 3, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-10, Run: 036, P, 3, 0, 0, 5, 0, 15, 0, 5, 0, 0, 10, 5, 0
INVAR-10, Run: 037, P, 8, 0, 0, 3, 0, 9, 2, 3, 2, 0, 7, 4, 2
INVAR-10, Run: 038, P, 10, 0, 0, 3, 0, 9, 2, 3, 2, 0, 5, 6, 2
INVAR-10, Run: 039, P, 5, 0, 0, 4, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-10, Run: 040, P, 6, 0, 0, 3, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-10, Run: 041, P, 4, 0, 0, 4, 0, 12, 1, 4, 1, 0, 10, 3, 1
INVAR-10, Run: 042, P, 6, 0, 0, 3, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-10, Run: 043, P, 5, 0, 0, 4, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-10, Run: 044, P, 5, 0, 0, 5, 0, 15, 0, 5, 0, 0, 8, 7, 0
INVAR-10, Run: 045, P, 6, 0, 0, 4, 0, 12, 1, 4, 1, 0, 8, 5, 1
INVAR-10, Run: 046, P, 12, 0, 0, 2, 0, 6, 3, 2, 3, 0, 4, 5, 3
INVAR-10, Run: 047, P, 2, 0, 0, 5, 0, 15, 0, 5, 0, 0, 11, 4, 0
INVAR-10, Run: 048, P, 9, 0, 0, 3, 0, 9, 2, 3, 2, 0, 6, 5, 2
INVAR-10, Run: 049, P, 6, 0, 0, 3, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-10, Run: 050, P, 4, 0, 0, 5, 0, 15, 0, 5, 0, 0, 9, 6, 0
INVAR-10, Run: 051, P, 5, 0, 0, 4, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-10, Run: 052, P, 8, 0, 0, 4, 0, 12, 1, 4, 1, 0, 6, 7, 1
INVAR-10, Run: 053, P, 3, 0, 0, 5, 0, 15, 0, 5, 0, 0, 10, 5, 0
INVAR-10, Run: 054, P, 8, 0, 0, 3, 0, 9, 2, 3, 2, 0, 7, 4, 2
INVAR-10, Run: 055, P, 3, 0, 0, 5, 0, 15, 0, 5, 0, 0, 10, 5, 0
INVAR-10, Run: 056, P, 8, 0, 0, 4, 0, 9, 2, 3, 1, 1, 7, 4, 2
INVAR-10, Run: 057, P, 4, 0, 0, 5, 0, 15, 0, 5, 0, 0, 9, 6, 0
INVAR-10, Run: 058, P, 8, 0, 0, 3, 0, 9, 2, 3, 2, 0, 7, 4, 2
INVAR-10, Run: 059, P, 7, 0, 0, 3, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-10, Run: 060, P, 9, 0, 0, 3, 0, 6, 3, 2, 2, 1, 7, 2, 3
INVAR-10, Run: 061, P, 9, 0, 0, 3, 0, 9, 2, 3, 2, 0, 6, 5, 2
INVAR-10, Run: 062, P, 7, 0, 0, 4, 0, 9, 2, 3, 1, 1, 8, 3, 2
INVAR-10, Run: 063, P, 8, 0, 0, 3, 0, 9, 2, 3, 2, 0, 7, 4, 2
INVAR-10, Run: 064, P, 8, 0, 0, 3, 0, 6, 3, 2, 2, 1, 8, 1, 3
INVAR-10, Run: 065, P, 5, 0, 0, 5, 0, 15, 0, 5, 0, 0, 8, 7, 0
INVAR-10, Run: 066, P, 2, 0, 0, 5, 0, 15, 0, 5, 0, 0, 11, 4, 0
INVAR-10, Run: 067, P, 5, 0, 0, 4, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-10, Run: 068, P, 3, 0, 0, 5, 0, 15, 0, 5, 0, 0, 10, 5, 0
INVAR-10, Run: 069, P, 9, 0, 0, 3, 0, 9, 2, 3, 2, 0, 6, 5, 2
INVAR-10, Run: 070, P, 4, 0, 0, 4, 0, 12, 1, 4, 1, 0, 10, 3, 1
INVAR-10, Run: 071, P, 2, 0, 0, 5, 0, 15, 0, 5, 0, 0, 11, 4, 0
INVAR-10, Run: 072, P, 8, 0, 0, 3, 0, 9, 2, 3, 2, 0, 7, 4, 2
INVAR-10, Run: 073, P, 5, 0, 0, 4, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-10, Run: 074, P, 5, 0, 0, 4, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-10, Run: 075, P, 5, 0, 0, 3, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-10, Run: 076, P, 4, 0, 0, 4, 0, 12, 1, 4, 1, 0, 10, 3, 1
INVAR-10, Run: 077, P, 5, 0, 0, 4, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-10, Run: 078, P, 4, 0, 0, 4, 0, 12, 1, 4, 1, 0, 10, 3, 1
INVAR-10, Run: 079, P, 7, 0, 0, 4, 0, 12, 1, 4, 1, 0, 7, 6, 1
INVAR-10, Run: 080, P, 5, 0, 0, 5, 0, 15, 0, 5, 0, 0, 8, 7, 0
INVAR-10, Run: 081, P, 7, 0, 0, 4, 0, 12, 1, 4, 1, 0, 7, 6, 1
INVAR-10, Run: 082, P, 6, 0, 0, 3, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-10, Run: 083, P, 4, 0, 0, 3, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-10, Run: 084, P, 3, 0, 0, 4, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-10, Run: 085, P, 7, 0, 0, 3, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-10, Run: 086, P, 3, 0, 0, 4, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-10, Run: 087, P, 9, 0, 0, 4, 0, 9, 2, 3, 1, 1, 6, 5, 2
INVAR-10, Run: 088, P, 8, 0, 0, 3, 0, 9, 2, 3, 2, 0, 7, 4, 2
INVAR-10, Run: 089, P, 7, 0, 0, 4, 0, 12, 1, 4, 1, 0, 7, 6, 1
INVAR-10, Run: 090, P, 8, 0, 0, 2, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-10, Run: 091, P, 8, 0, 0, 4, 0, 12, 1, 4, 1, 0, 6, 7, 1
INVAR-10, Run: 092, P, 7, 0, 0, 3, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-10, Run: 093, P, 9, 0, 0, 3, 0, 9, 2, 3, 2, 0, 6, 5, 2
INVAR-10, Run: 094, P, 3, 0, 0, 4, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-10, Run: 095, P, 10, 0, 0, 2, 0, 6, 3, 2, 3, 0, 6, 3, 3
INVAR-10, Run: 096, P, 5, 0, 0, 3, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-10, Run: 097, P, 2, 0, 0, 5, 0, 15, 0, 5, 0, 0, 11, 4, 0
INVAR-10, Run: 098, P, 10, 0, 0, 4, 0, 6, 3, 2, 1, 2, 6, 3, 3
INVAR-10, Run: 099, P, 9, 0, 0, 3, 0, 6, 3, 2, 2, 1, 7, 2, 3
INVAR-10, Run: 100, P, 4, 0, 0, 4, 0, 12, 1, 4, 1, 0, 10, 3, 1
INVAR-11, Run: 001, P, 72, 0, 0, 92, 0, 9, 2, 3, 1, 1, 11, 0, 2
INVAR-11, Run: 002, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 003, P, 73, 0, 0, 91, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-11, Run: 004, P, 73, 0, 0, 91, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-11, Run: 005, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 006, P, 73, 0, 0, 91, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-11, Run: 007, P, 72, 0, 0, 91, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-11, Run: 008, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 009, P, 78, 0, 0, 89, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-11, Run: 010, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 011, P, 69, 0, 0, 92, 0, 12, 1, 4, 1, 0, 13, 0, 1
INVAR-11, Run: 012, P, 72, 0, 0, 91, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-11, Run: 013, P, 78, 0, 0, 89, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-11, Run: 014, P, 70, 0, 0, 92, 0, 12, 1, 4, 1, 0, 12, 1, 1
INVAR-11, Run: 015, P, 76, 0, 0, 90, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-11, Run: 016, P, 67, 0, 0, 93, 0, 15, 0, 5, 0, 0, 14, 1, 0
INVAR-11, Run: 017, P, 78, 0, 0, 89, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-11, Run: 018, P, 79, 0, 0, 89, 0, 3, 4, 1, 4, 0, 6, 1, 4
INVAR-11, Run: 019, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 020, P, 72, 0, 0, 91, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-11, Run: 021, P, 76, 0, 0, 90, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-11, Run: 022, P, 76, 0, 0, 90, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-11, Run: 023, P, 76, 0, 0, 90, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-11, Run: 024, P, 69, 0, 0, 92, 0, 12, 1, 4, 1, 0, 13, 0, 1
INVAR-11, Run: 025, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 026, P, 72, 0, 0, 91, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-11, Run: 027, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 028, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 029, P, 69, 0, 0, 92, 0, 12, 1, 4, 1, 0, 13, 0, 1
INVAR-11, Run: 030, P, 78, 0, 0, 89, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-11, Run: 031, P, 78, 0, 0, 90, 0, 3, 4, 1, 3, 1, 7, 0, 4
INVAR-11, Run: 032, P, 70, 0, 0, 92, 0, 12, 1, 4, 1, 0, 12, 1, 1
INVAR-11, Run: 033, P, 72, 0, 0, 91, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-11, Run: 034, P, 78, 0, 0, 89, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-11, Run: 035, P, 78, 0, 0, 89, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-11, Run: 036, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 037, P, 74, 0, 0, 91, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-11, Run: 038, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 039, P, 73, 0, 0, 91, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-11, Run: 040, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 041, P, 72, 0, 0, 91, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-11, Run: 042, P, 74, 0, 0, 91, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-11, Run: 043, P, 71, 0, 0, 92, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-11, Run: 044, P, 78, 0, 0, 89, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-11, Run: 045, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 046, P, 78, 0, 0, 89, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-11, Run: 047, P, 75, 0, 0, 90, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-11, Run: 048, P, 74, 0, 0, 91, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-11, Run: 049, P, 79, 0, 0, 89, 0, 3, 4, 1, 4, 0, 6, 1, 4
INVAR-11, Run: 050, P, 74, 0, 0, 91, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-11, Run: 051, P, 77, 0, 0, 90, 0, 6, 3, 2, 3, 0, 7, 2, 3
INVAR-11, Run: 052, P, 73, 0, 0, 91, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-11, Run: 053, P, 70, 0, 0, 92, 0, 12, 1, 4, 1, 0, 12, 1, 1
INVAR-11, Run: 054, P, 71, 0, 0, 92, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-11, Run: 055, P, 72, 0, 0, 91, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-11, Run: 056, P, 78, 0, 0, 89, 0, 3, 4, 1, 4, 0, 7, 0, 4
