Input Number, Run_Number, Result@ 100, A2, F1, F2, A1, F1P, F2P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 30, 0, 0, 21, 0, 3, 4, 1, 3, 1, 7, 0, 4
INVAR-1, Run: 002, F, 19, 0, 0, 24, 0, 15, 0, 5, 0, 0, 14, 1, 0
INVAR-1, Run: 003, F, 31, 0, 0, 20, 0, 3, 4, 1, 4, 0, 6, 1, 4
INVAR-1, Run: 004, F, 31, 0, 0, 20, 0, 3, 4, 1, 4, 0, 6, 1, 4
INVAR-1, Run: 005, F, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 006, F, 22, 0, 0, 23, 0, 12, 1, 4, 1, 0, 12, 1, 1
INVAR-1, Run: 007, F, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 008, F, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 009, F, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 010, F, 27, 0, 0, 21, 0, 6, 3, 2, 3, 0, 9, 0, 3
INVAR-1, Run: 011, F, 25, 0, 0, 23, 0, 12, 1, 4, 1, 0, 9, 4, 1
INVAR-1, Run: 012, F, 28, 0, 0, 21, 0, 6, 3, 2, 3, 0, 8, 1, 3
INVAR-1, Run: 013, F, 30, 0, 0, 20, 0, 3, 4, 1, 4, 0, 7, 0, 4
INVAR-1, Run: 014, F, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 015, F, 23, 0, 0, 23, 0, 12, 1, 4, 1, 0, 11, 2, 1
INVAR-1, Run: 016, F, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
INVAR-1, Run: 017, F, 24, 0, 0, 22, 0, 9, 2, 3, 2, 0, 11, 0, 2
INVAR-1, Run: 018, F, 30, 0, 0, 22, 0, 6, 3, 2, 2, 1, 6, 3, 3
INVAR-1, Run: 019, F, 28, 0, 0, 23, 0, 12, 1, 4, 1, 0, 6, 7, 1
INVAR-1, Run: 020, F, 27, 0, 0, 22, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-1, Run: 021, F, 26, 0, 0, 22, 0, 9, 2, 3, 2, 0, 9, 2, 2
INVAR-1, Run: 022, F, 27, 0, 0, 22, 0, 9, 2, 3, 2, 0, 8, 3, 2
INVAR-1, Run: 023, F, 25, 0, 0, 22, 0, 9, 2, 3, 2, 0, 10, 1, 2
