Input Number, Run_Number, Result@ 100, X, Y, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 1, 0, 0, 2, 7, 12, 0, 13, 6
INVAR-1, Run: 002, F, 1, 0, 0, 1, 7, 12, 1, 15, 5
INVAR-1, Run: 003, F, 0, 2, 0, 2, 7, 11, 1, 7, 12
INVAR-1, Run: 004, F, 1, 0, 0, 2, 7, 12, 0, 17, 2
INVAR-1, Run: 005, F, 1, 0, 0, 1, 7, 12, 1, 19, 1
INVAR-1, Run: 006, F, 1, 0, 0, 1, 7, 12, 1, 18, 2
INVAR-1, Run: 007, F, 1, 0, 0, 2, 7, 12, 0, 16, 3
INVAR-1, Run: 008, F, 1, 0, 0, 5, 6, 11, 0, 16, 1
INVAR-1, Run: 009, F, 1, 0, 0, 1, 7, 12, 1, 17, 3
INVAR-1, Run: 010, P, 0, 2, 0, 0, 7, 11, 3, 1, 20
INVAR-1, Run: 011, F, 1, 0, 0, 2, 7, 12, 0, 16, 3
INVAR-1, Run: 012, F, 1, 0, 0, 2, 7, 12, 0, 16, 3
INVAR-1, Run: 013, F, 1, 0, 0, 2, 7, 12, 0, 17, 2
INVAR-1, Run: 014, F, 1, 0, 0, 2, 6, 11, 3, 18, 2
INVAR-1, Run: 015, P, 1, 0, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 016, F, 1, 0, 0, 2, 6, 11, 3, 20, 0
INVAR-1, Run: 017, P, 1, 0, 0, 0, 7, 12, 2, 16, 5
INVAR-1, Run: 018, F, 1, 0, 0, 2, 6, 11, 3, 11, 9
INVAR-1, Run: 019, F, 1, 0, 0, 3, 6, 11, 2, 17, 2
INVAR-1, Run: 020, F, 1, 0, 0, 1, 7, 12, 1, 13, 7
INVAR-1, Run: 021, F, 1, 0, 0, 1, 7, 12, 1, 17, 3
INVAR-1, Run: 022, F, 1, 0, 0, 1, 7, 12, 1, 13, 7
INVAR-1, Run: 023, P, 1, 0, 0, 0, 7, 12, 2, 15, 6
INVAR-1, Run: 024, F, 1, 0, 0, 2, 6, 11, 3, 18, 2
INVAR-1, Run: 025, F, 1, 0, 0, 1, 5, 10, 7, 20, 2
INVAR-1, Run: 026, P, 1, 0, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 027, F, 0, 2, 0, 1, 7, 11, 2, 5, 15
INVAR-1, Run: 028, F, 1, 0, 0, 1, 7, 12, 1, 17, 3
INVAR-1, Run: 029, P, 1, 0, 0, 0, 7, 12, 2, 20, 1
INVAR-1, Run: 030, F, 0, 2, 0, 1, 7, 11, 2, 2, 18
INVAR-1, Run: 031, F, 1, 0, 0, 2, 6, 11, 3, 17, 3
INVAR-1, Run: 032, F, 1, 0, 0, 1, 7, 12, 1, 12, 8
INVAR-1, Run: 033, F, 1, 0, 0, 2, 6, 11, 3, 12, 8
INVAR-1, Run: 034, F, 1, 0, 0, 2, 7, 12, 0, 16, 3
INVAR-1, Run: 035, F, 1, 0, 0, 3, 6, 11, 2, 17, 2
INVAR-1, Run: 036, F, 1, 0, 0, 2, 7, 12, 0, 15, 4
INVAR-1, Run: 037, F, 1, 0, 0, 1, 7, 12, 1, 17, 3
INVAR-1, Run: 038, P, 1, 0, 0, 0, 7, 12, 2, 20, 1
INVAR-1, Run: 039, F, 1, 0, 0, 2, 7, 12, 0, 17, 2
INVAR-1, Run: 040, F, 1, 0, 0, 3, 6, 11, 2, 14, 5
INVAR-1, Run: 041, F, 1, 0, 0, 1, 7, 12, 1, 11, 9
INVAR-1, Run: 042, F, 1, 0, 0, 2, 7, 12, 0, 17, 2
INVAR-1, Run: 043, P, 1, 0, 0, 0, 7, 12, 2, 13, 8
INVAR-1, Run: 044, F, 0, 2, 0, 1, 7, 11, 2, 5, 15
INVAR-1, Run: 045, F, 1, 0, 0, 2, 7, 12, 0, 16, 3
INVAR-1, Run: 046, F, 1, 0, 0, 2, 7, 12, 0, 14, 5
INVAR-1, Run: 047, F, 1, 0, 0, 4, 6, 11, 1, 12, 6
INVAR-1, Run: 048, F, 0, 2, 0, 3, 7, 11, 0, 1, 17
INVAR-1, Run: 049, F, 0, 2, 0, 2, 7, 11, 1, 4, 15
INVAR-1, Run: 050, P, 1, 0, 0, 0, 7, 12, 2, 21, 0
INVAR-1, Run: 051, F, 1, 0, 0, 1, 7, 12, 1, 18, 2
INVAR-1, Run: 052, F, 0, 2, 0, 1, 7, 11, 2, 3, 17
INVAR-1, Run: 053, P, 1, 0, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 054, F, 0, 2, 0, 3, 7, 11, 0, 4, 14
INVAR-1, Run: 055, F, 1, 0, 0, 2, 6, 11, 3, 12, 8
INVAR-1, Run: 056, F, 1, 0, 0, 2, 7, 12, 0, 14, 5
INVAR-1, Run: 057, F, 1, 0, 0, 1, 7, 12, 1, 15, 5
INVAR-1, Run: 058, F, 1, 0, 0, 2, 7, 12, 0, 14, 5
INVAR-1, Run: 059, F, 1, 0, 0, 2, 7, 12, 0, 12, 7
INVAR-1, Run: 060, F, 1, 0, 0, 2, 7, 12, 0, 14, 5
INVAR-1, Run: 061, P, 1, 0, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 062, F, 1, 0, 0, 2, 7, 12, 0, 7, 12
INVAR-1, Run: 063, P, 1, 0, 0, 0, 7, 12, 2, 20, 1
INVAR-1, Run: 064, F, 0, 2, 0, 3, 7, 11, 0, 5, 13
INVAR-1, Run: 065, F, 1, 0, 0, 1, 6, 11, 4, 19, 2
INVAR-1, Run: 066, F, 1, 0, 0, 4, 6, 11, 1, 14, 4
INVAR-1, Run: 067, F, 1, 0, 0, 2, 7, 12, 0, 15, 4
INVAR-1, Run: 068, P, 0, 2, 0, 0, 8, 12, 0, 6, 14
INVAR-1, Run: 069, F, 1, 0, 0, 2, 6, 11, 3, 16, 4
INVAR-1, Run: 070, F, 1, 0, 0, 1, 7, 12, 1, 17, 3
INVAR-1, Run: 071, F, 0, 2, 0, 2, 7, 11, 1, 5, 14
INVAR-1, Run: 072, F, 1, 0, 0, 1, 7, 12, 1, 13, 7
INVAR-1, Run: 073, F, 0, 2, 0, 1, 7, 11, 2, 3, 17
INVAR-1, Run: 074, F, 1, 0, 0, 5, 6, 11, 0, 16, 1
INVAR-1, Run: 075, F, 1, 0, 0, 2, 6, 11, 3, 15, 5
INVAR-1, Run: 076, F, 0, 2, 0, 1, 7, 11, 2, 6, 14
INVAR-1, Run: 077, F, 1, 0, 0, 4, 5, 10, 4, 16, 3
INVAR-1, Run: 078, F, 1, 0, 0, 1, 7, 12, 1, 11, 9
INVAR-1, Run: 079, F, 1, 0, 0, 4, 6, 11, 1, 12, 6
INVAR-1, Run: 080, F, 0, 2, 0, 3, 6, 10, 3, 5, 14
INVAR-1, Run: 081, P, 0, 2, 0, 0, 8, 12, 0, 3, 17
INVAR-1, Run: 082, F, 1, 0, 0, 2, 7, 12, 0, 14, 5
INVAR-1, Run: 083, P, 1, 0, 0, 0, 7, 12, 2, 15, 6
INVAR-1, Run: 084, F, 1, 0, 0, 2, 7, 12, 0, 16, 3
INVAR-1, Run: 085, F, 1, 0, 0, 2, 7, 12, 0, 16, 3
INVAR-1, Run: 086, F, 1, 0, 0, 5, 6, 11, 0, 14, 3
INVAR-1, Run: 087, F, 1, 0, 0, 2, 7, 12, 0, 17, 2
INVAR-1, Run: 088, F, 0, 2, 0, 2, 7, 11, 1, 2, 17
INVAR-1, Run: 089, P, 0, 2, 0, 0, 6, 10, 6, 2, 20
INVAR-1, Run: 090, F, 1, 0, 0, 2, 6, 11, 3, 15, 5
INVAR-1, Run: 091, F, 0, 2, 0, 2, 7, 11, 1, 1, 18
INVAR-1, Run: 092, F, 1, 0, 0, 1, 6, 11, 4, 13, 8
INVAR-1, Run: 093, F, 1, 0, 0, 2, 6, 11, 3, 12, 8
INVAR-1, Run: 094, F, 1, 0, 0, 1, 7, 12, 1, 12, 8
INVAR-1, Run: 095, F, 0, 2, 0, 1, 7, 11, 2, 1, 19
INVAR-1, Run: 096, F, 1, 0, 0, 1, 7, 12, 1, 15, 5
INVAR-1, Run: 097, P, 1, 0, 0, 0, 7, 12, 2, 15, 6
INVAR-1, Run: 098, F, 1, 0, 0, 2, 6, 11, 3, 17, 3
INVAR-1, Run: 099, P, 1, 0, 0, 0, 7, 12, 2, 16, 5
INVAR-1, Run: 100, F, 1, 0, 0, 1, 7, 12, 1, 16, 4
INVAR-10, Run: 001, F, 1, 0, 0, 1, 13, 16, 1, 18, 12
INVAR-10, Run: 002, F, 1, 0, 0, 3, 12, 15, 2, 24, 5
INVAR-10, Run: 003, F, 1, 0, 0, 2, 13, 16, 0, 26, 3
INVAR-10, Run: 004, F, 1, 0, 0, 1, 13, 16, 1, 23, 7
INVAR-10, Run: 005, F, 1, 0, 0, 1, 13, 16, 1, 24, 6
INVAR-10, Run: 006, P, 1, 0, 0, 0, 13, 16, 2, 27, 4
INVAR-10, Run: 007, F, 1, 0, 0, 1, 13, 16, 1, 17, 13
INVAR-10, Run: 008, F, 1, 0, 0, 2, 13, 16, 0, 24, 5
INVAR-10, Run: 009, P, 1, 0, 0, 0, 13, 16, 2, 19, 12
INVAR-10, Run: 010, F, 0, 2, 0, 2, 13, 15, 1, 4, 25
INVAR-10, Run: 011, F, 1, 0, 0, 3, 12, 15, 2, 16, 13
INVAR-10, Run: 012, P, 0, 2, 0, 0, 14, 16, 0, 3, 27
INVAR-10, Run: 013, F, 1, 0, 0, 4, 12, 15, 1, 21, 7
INVAR-10, Run: 014, F, 0, 2, 0, 1, 13, 15, 2, 4, 26
INVAR-10, Run: 015, F, 1, 0, 0, 1, 13, 16, 1, 26, 4
INVAR-10, Run: 016, F, 1, 0, 0, 2, 13, 16, 0, 28, 1
INVAR-10, Run: 017, F, 1, 0, 0, 3, 12, 15, 2, 26, 3
INVAR-10, Run: 018, F, 1, 0, 0, 4, 12, 15, 1, 22, 6
INVAR-10, Run: 019, P, 0, 2, 0, 0, 13, 15, 3, 2, 29
INVAR-10, Run: 020, F, 1, 0, 0, 4, 12, 15, 1, 21, 7
INVAR-10, Run: 021, F, 1, 0, 0, 2, 13, 16, 0, 25, 4
INVAR-10, Run: 022, F, 1, 0, 0, 1, 13, 16, 1, 10, 20
INVAR-10, Run: 023, P, 0, 2, 0, 0, 14, 16, 0, 8, 22
INVAR-10, Run: 024, F, 1, 0, 0, 2, 13, 16, 0, 20, 9
INVAR-10, Run: 025, F, 1, 0, 0, 4, 11, 14, 4, 20, 9
INVAR-10, Run: 026, F, 0, 2, 0, 3, 12, 14, 3, 4, 25
INVAR-10, Run: 027, F, 0, 2, 0, 1, 13, 15, 2, 3, 27
INVAR-10, Run: 028, P, 1, 0, 0, 0, 13, 16, 2, 20, 11
INVAR-10, Run: 029, F, 1, 0, 0, 1, 13, 16, 1, 23, 7
INVAR-10, Run: 030, F, 1, 0, 0, 4, 12, 15, 1, 24, 4
INVAR-10, Run: 031, F, 0, 2, 0, 2, 13, 15, 1, 8, 21
INVAR-10, Run: 032, F, 1, 0, 0, 1, 13, 16, 1, 25, 5
INVAR-10, Run: 033, F, 1, 0, 0, 1, 13, 16, 1, 19, 11
INVAR-10, Run: 034, F, 1, 0, 0, 1, 13, 16, 1, 19, 11
INVAR-10, Run: 035, P, 1, 0, 0, 0, 13, 16, 2, 28, 3
INVAR-10, Run: 036, F, 1, 0, 0, 3, 12, 15, 2, 21, 8
INVAR-10, Run: 037, P, 0, 2, 0, 0, 14, 16, 0, 3, 27
INVAR-10, Run: 038, F, 1, 0, 0, 1, 13, 16, 1, 19, 11
INVAR-10, Run: 039, F, 1, 0, 0, 1, 13, 16, 1, 21, 9
INVAR-10, Run: 040, P, 0, 2, 0, 0, 13, 15, 3, 3, 28
INVAR-10, Run: 041, F, 1, 0, 0, 1, 13, 16, 1, 23, 7
INVAR-10, Run: 042, F, 1, 0, 0, 2, 13, 16, 0, 16, 13
INVAR-10, Run: 043, P, 0, 2, 0, 0, 13, 15, 3, 1, 30
INVAR-10, Run: 044, F, 1, 0, 0, 4, 12, 15, 1, 22, 6
INVAR-10, Run: 045, F, 0, 2, 0, 1, 13, 15, 2, 8, 22
