Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y
INVAR-1, Run: 001, F, 34, 3342, 0, 0, 0, 0, 5
INVAR-1, Run: 002, F, 33, 3332, 0, 0, 0, 0, 5
INVAR-1, Run: 003, F, 33, 3404, 0, 0, 0, 0, 5
INVAR-1, Run: 004, F, 33, 3322, 0, 0, 0, 0, 5
INVAR-1, Run: 005, F, 33, 3325, 0, 0, 0, 0, 5
INVAR-1, Run: 006, F, 33, 3202, 0, 0, 0, 0, 5
INVAR-1, Run: 007, F, 34, 3432, 0, 0, 0, 0, 5
INVAR-1, Run: 008, F, 33, 3359, 0, 0, 0, 0, 5
INVAR-1, Run: 009, F, 33, 3253, 0, 0, 0, 0, 5
INVAR-1, Run: 010, F, 33, 3264, 0, 0, 0, 0, 5
INVAR-1, Run: 011, F, 33, 3364, 0, 0, 0, 0, 5
INVAR-1, Run: 012, F, 33, 3397, 0, 0, 0, 0, 5
INVAR-1, Run: 013, F, 33, 3330, 0, 0, 0, 0, 5
INVAR-1, Run: 014, F, 33, 3305, 0, 0, 0, 0, 5
INVAR-1, Run: 015, F, 33, 3329, 0, 0, 0, 0, 5
INVAR-1, Run: 016, F, 34, 3417, 0, 0, 0, 0, 5
INVAR-1, Run: 017, F, 34, 3394, 0, 0, 0, 0, 5
INVAR-1, Run: 018, F, 33, 3344, 0, 0, 0, 0, 5
INVAR-1, Run: 019, F, 33, 3330, 0, 0, 0, 0, 5
INVAR-1, Run: 020, F, 34, 3411, 0, 0, 0, 0, 5
INVAR-1, Run: 021, F, 35, 3478, 0, 0, 0, 0, 5
INVAR-1, Run: 022, F, 33, 3260, 0, 0, 0, 0, 5
INVAR-1, Run: 023, F, 33, 3350, 0, 0, 0, 0, 5
INVAR-1, Run: 024, F, 33, 3397, 0, 0, 0, 0, 5
INVAR-1, Run: 025, F, 33, 3342, 0, 0, 0, 0, 5
INVAR-1, Run: 026, F, 33, 3351, 0, 0, 0, 0, 5
INVAR-1, Run: 027, F, 33, 3236, 0, 0, 0, 0, 5
INVAR-1, Run: 028, F, 33, 3257, 0, 0, 0, 0, 5
INVAR-1, Run: 029, F, 33, 3413, 0, 0, 0, 0, 5
INVAR-1, Run: 030, F, 33, 3378, 0, 0, 0, 0, 5
INVAR-1, Run: 031, F, 33, 3272, 0, 0, 0, 0, 5
INVAR-1, Run: 032, F, 33, 3323, 0, 0, 0, 0, 5
INVAR-1, Run: 033, F, 33, 3372, 0, 0, 0, 0, 5
INVAR-1, Run: 034, F, 33, 3378, 0, 0, 0, 0, 5
INVAR-1, Run: 035, F, 33, 3263, 0, 0, 0, 0, 5
INVAR-1, Run: 036, F, 33, 3295, 0, 0, 0, 0, 5
INVAR-1, Run: 037, F, 34, 3445, 0, 0, 0, 0, 5
INVAR-1, Run: 038, F, 33, 3287, 0, 0, 0, 0, 5
INVAR-1, Run: 039, F, 33, 3367, 0, 0, 0, 0, 5
INVAR-1, Run: 040, F, 34, 3414, 0, 0, 0, 0, 5
INVAR-1, Run: 041, F, 33, 3327, 0, 0, 0, 0, 5
INVAR-1, Run: 042, F, 33, 3549, 0, 0, 0, 0, 5
INVAR-1, Run: 043, F, 34, 3477, 0, 0, 0, 0, 5
INVAR-1, Run: 044, F, 33, 3205, 0, 0, 0, 0, 5
INVAR-1, Run: 045, F, 33, 3282, 0, 0, 0, 0, 5
INVAR-1, Run: 046, F, 33, 3357, 0, 0, 0, 0, 5
INVAR-1, Run: 047, F, 33, 3375, 0, 0, 0, 0, 5
INVAR-1, Run: 048, F, 34, 3438, 0, 0, 0, 0, 5
INVAR-1, Run: 049, F, 33, 3308, 0, 0, 0, 0, 5
INVAR-1, Run: 050, F, 33, 3343, 0, 0, 0, 0, 5
INVAR-1, Run: 051, F, 33, 3302, 0, 0, 0, 0, 5
INVAR-1, Run: 052, F, 34, 3436, 0, 0, 0, 0, 5
INVAR-1, Run: 053, F, 33, 3346, 0, 0, 0, 0, 5
INVAR-1, Run: 054, F, 33, 3296, 0, 0, 0, 0, 5
INVAR-1, Run: 055, F, 33, 3373, 0, 0, 0, 0, 5
INVAR-1, Run: 056, F, 33, 3386, 0, 0, 0, 0, 5
INVAR-1, Run: 057, F, 33, 3424, 0, 0, 0, 0, 5
INVAR-1, Run: 058, F, 33, 3323, 0, 0, 0, 0, 5
INVAR-1, Run: 059, F, 33, 3270, 0, 0, 0, 0, 5
INVAR-1, Run: 060, F, 34, 3326, 0, 0, 0, 0, 5
INVAR-1, Run: 061, F, 33, 3381, 0, 0, 0, 0, 5
INVAR-1, Run: 062, F, 33, 3376, 0, 0, 0, 0, 5
INVAR-1, Run: 063, F, 33, 3445, 0, 0, 0, 0, 5
INVAR-1, Run: 064, F, 33, 3283, 0, 0, 0, 0, 5
INVAR-1, Run: 065, F, 33, 3322, 0, 0, 0, 0, 5
INVAR-1, Run: 066, F, 33, 3337, 0, 0, 0, 0, 5
INVAR-1, Run: 067, F, 33, 3300, 0, 0, 0, 0, 5
INVAR-1, Run: 068, F, 33, 3346, 0, 0, 0, 0, 5
INVAR-1, Run: 069, F, 34, 3428, 0, 0, 0, 0, 5
INVAR-1, Run: 070, F, 33, 3273, 0, 0, 0, 0, 5
INVAR-1, Run: 071, F, 33, 3354, 0, 0, 0, 0, 5
INVAR-1, Run: 072, F, 33, 3378, 0, 0, 0, 0, 5
INVAR-1, Run: 073, F, 33, 3313, 0, 0, 0, 0, 5
INVAR-1, Run: 074, F, 33, 3216, 0, 0, 0, 0, 5
INVAR-1, Run: 075, F, 33, 3376, 0, 0, 0, 0, 5
INVAR-1, Run: 076, F, 33, 3299, 0, 0, 0, 0, 5
INVAR-1, Run: 077, F, 33, 3356, 0, 0, 0, 0, 5
INVAR-1, Run: 078, F, 33, 3260, 0, 0, 0, 0, 5
INVAR-1, Run: 079, F, 33, 3442, 0, 0, 0, 0, 5
INVAR-1, Run: 080, F, 34, 3309, 0, 0, 0, 0, 5
INVAR-1, Run: 081, F, 33, 3326, 0, 0, 0, 0, 5
INVAR-1, Run: 082, F, 33, 3406, 0, 0, 0, 0, 5
INVAR-1, Run: 083, F, 33, 3306, 0, 0, 0, 0, 5
INVAR-1, Run: 084, F, 33, 3230, 0, 0, 0, 0, 5
INVAR-1, Run: 085, F, 33, 3291, 0, 0, 0, 0, 5
INVAR-1, Run: 086, F, 33, 3301, 0, 0, 0, 0, 5
INVAR-1, Run: 087, F, 34, 3406, 0, 0, 0, 0, 5
INVAR-1, Run: 088, F, 33, 3246, 0, 0, 0, 0, 5
INVAR-1, Run: 089, F, 33, 3280, 0, 0, 0, 0, 5
INVAR-1, Run: 090, F, 33, 3322, 0, 0, 0, 0, 5
INVAR-1, Run: 091, F, 33, 3265, 0, 0, 0, 0, 5
INVAR-1, Run: 092, F, 33, 3386, 0, 0, 0, 0, 5
INVAR-1, Run: 093, F, 33, 3368, 0, 0, 0, 0, 5
INVAR-1, Run: 094, F, 34, 3350, 0, 0, 0, 0, 5
INVAR-1, Run: 095, F, 34, 3569, 0, 0, 0, 0, 5
INVAR-1, Run: 096, F, 33, 3278, 0, 0, 0, 0, 5
INVAR-1, Run: 097, F, 33, 3161, 0, 0, 0, 0, 5
