Input Number, Run_Number, Result@ 100, Y, V, X, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 060, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 061, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 062, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 063, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 064, P, 0, 0, 16, 10, 8, 16, 2
INVAR-1, Run: 065, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 066, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 067, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 068, P, 0, 0, 22, 12, 2, 12, 2
INVAR-1, Run: 069, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 070, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 071, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 072, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 073, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 074, P, 0, 0, 16, 10, 8, 15, 3
INVAR-1, Run: 075, P, 0, 0, 16, 10, 8, 18, 0
INVAR-1, Run: 076, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 077, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 078, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 079, P, 0, 0, 22, 12, 2, 14, 0
INVAR-1, Run: 080, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 081, P, 0, 0, 22, 12, 2, 14, 0
INVAR-1, Run: 082, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 083, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 084, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 085, P, 0, 0, 19, 11, 5, 15, 1
INVAR-1, Run: 086, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 087, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 088, P, 0, 0, 16, 10, 8, 16, 2
INVAR-1, Run: 089, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 090, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 091, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 092, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 093, P, 0, 0, 19, 11, 5, 13, 3
INVAR-1, Run: 094, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 095, P, 0, 0, 22, 12, 2, 12, 2
INVAR-1, Run: 096, P, 0, 0, 19, 11, 5, 16, 0
INVAR-1, Run: 097, P, 0, 0, 16, 10, 8, 15, 3
INVAR-1, Run: 098, P, 0, 0, 19, 11, 5, 14, 2
INVAR-1, Run: 099, P, 0, 0, 22, 12, 2, 13, 1
INVAR-1, Run: 100, P, 0, 0, 19, 11, 5, 14, 2
INVAR-10, Run: 001, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 002, P, 0, 0, 31, 13, 11, 24, 0
INVAR-10, Run: 003, P, 0, 0, 34, 14, 8, 21, 1
INVAR-10, Run: 004, P, 0, 0, 34, 14, 8, 21, 1
INVAR-10, Run: 005, P, 0, 0, 34, 14, 8, 16, 6
INVAR-10, Run: 006, P, 0, 0, 31, 13, 11, 24, 0
INVAR-10, Run: 007, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 008, P, 0, 0, 37, 15, 5, 18, 2
INVAR-10, Run: 009, P, 0, 0, 31, 13, 11, 23, 1
INVAR-10, Run: 010, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 011, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 012, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 013, P, 0, 0, 37, 15, 5, 17, 3
INVAR-10, Run: 014, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 015, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 016, P, 0, 0, 37, 15, 5, 18, 2
INVAR-10, Run: 017, P, 0, 0, 40, 16, 2, 16, 2
INVAR-10, Run: 018, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 019, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 020, P, 0, 0, 34, 14, 8, 18, 4
INVAR-10, Run: 021, P, 0, 0, 34, 14, 8, 21, 1
INVAR-10, Run: 022, P, 0, 0, 34, 14, 8, 22, 0
INVAR-10, Run: 023, P, 0, 0, 37, 15, 5, 18, 2
INVAR-10, Run: 024, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 025, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 026, P, 0, 0, 34, 14, 8, 21, 1
INVAR-10, Run: 027, P, 0, 0, 40, 16, 2, 17, 1
INVAR-10, Run: 028, P, 0, 0, 34, 14, 8, 22, 0
INVAR-10, Run: 029, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 030, P, 0, 0, 34, 14, 8, 22, 0
INVAR-10, Run: 031, P, 0, 0, 40, 16, 2, 16, 2
INVAR-10, Run: 032, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 033, P, 0, 0, 37, 15, 5, 17, 3
INVAR-10, Run: 034, P, 0, 0, 37, 15, 5, 17, 3
INVAR-10, Run: 035, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 036, P, 0, 0, 37, 15, 5, 18, 2
INVAR-10, Run: 037, P, 0, 0, 34, 14, 8, 17, 5
INVAR-10, Run: 038, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 039, P, 0, 0, 40, 16, 2, 15, 3
INVAR-10, Run: 040, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 041, P, 0, 0, 34, 14, 8, 22, 0
INVAR-10, Run: 042, P, 0, 0, 34, 14, 8, 19, 3
INVAR-10, Run: 043, P, 0, 0, 34, 14, 8, 21, 1
INVAR-10, Run: 044, P, 0, 0, 34, 14, 8, 22, 0
INVAR-10, Run: 045, P, 0, 0, 34, 14, 8, 19, 3
INVAR-10, Run: 046, P, 0, 0, 40, 16, 2, 18, 0
INVAR-10, Run: 047, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 048, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 049, P, 0, 0, 34, 14, 8, 21, 1
INVAR-10, Run: 050, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 051, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 052, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 053, P, 0, 0, 34, 14, 8, 19, 3
INVAR-10, Run: 054, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 055, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 056, P, 0, 0, 34, 14, 8, 22, 0
INVAR-10, Run: 057, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 058, P, 0, 0, 34, 14, 8, 21, 1
INVAR-10, Run: 059, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 060, P, 0, 0, 34, 14, 8, 22, 0
INVAR-10, Run: 061, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 062, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 063, P, 0, 0, 37, 15, 5, 18, 2
INVAR-10, Run: 064, P, 0, 0, 37, 15, 5, 15, 5
INVAR-10, Run: 065, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 066, P, 0, 0, 40, 16, 2, 18, 0
INVAR-10, Run: 067, P, 0, 0, 34, 14, 8, 22, 0
INVAR-10, Run: 068, P, 0, 0, 34, 14, 8, 18, 4
INVAR-10, Run: 069, P, 0, 0, 40, 16, 2, 17, 1
INVAR-10, Run: 070, P, 0, 0, 37, 15, 5, 18, 2
INVAR-10, Run: 071, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 072, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 073, P, 0, 0, 37, 15, 5, 17, 3
INVAR-10, Run: 074, P, 0, 0, 37, 15, 5, 17, 3
INVAR-10, Run: 075, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 076, P, 0, 0, 34, 14, 8, 21, 1
INVAR-10, Run: 077, P, 0, 0, 37, 15, 5, 18, 2
INVAR-10, Run: 078, P, 0, 0, 34, 14, 8, 21, 1
INVAR-10, Run: 079, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 080, P, 0, 0, 37, 15, 5, 18, 2
INVAR-10, Run: 081, P, 0, 0, 31, 13, 11, 21, 3
INVAR-10, Run: 082, P, 0, 0, 34, 14, 8, 22, 0
INVAR-10, Run: 083, P, 0, 0, 37, 15, 5, 18, 2
INVAR-10, Run: 084, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 085, P, 0, 0, 31, 13, 11, 22, 2
INVAR-10, Run: 086, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 087, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 088, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 089, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 090, P, 0, 0, 40, 16, 2, 18, 0
INVAR-10, Run: 091, P, 0, 0, 34, 14, 8, 18, 4
INVAR-10, Run: 092, P, 0, 0, 31, 13, 11, 22, 2
INVAR-10, Run: 093, P, 0, 0, 31, 13, 11, 20, 4
INVAR-10, Run: 094, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 095, P, 0, 0, 34, 14, 8, 21, 1
INVAR-10, Run: 096, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 097, P, 0, 0, 34, 14, 8, 20, 2
INVAR-10, Run: 098, P, 0, 0, 37, 15, 5, 20, 0
INVAR-10, Run: 099, P, 0, 0, 37, 15, 5, 19, 1
INVAR-10, Run: 100, P, 0, 0, 37, 15, 5, 19, 1
INVAR-11, Run: 001, P, 0, 0, 54, 32, 4, 35, 1
INVAR-11, Run: 002, P, 0, 0, 54, 32, 4, 35, 1
INVAR-11, Run: 003, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 004, P, 0, 0, 54, 32, 4, 35, 1
INVAR-11, Run: 005, P, 0, 0, 51, 31, 7, 34, 4
INVAR-11, Run: 006, P, 0, 0, 48, 30, 10, 37, 3
INVAR-11, Run: 007, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 008, P, 0, 0, 51, 31, 7, 38, 0
INVAR-11, Run: 009, P, 0, 0, 48, 30, 10, 35, 5
INVAR-11, Run: 010, P, 0, 0, 54, 32, 4, 34, 2
INVAR-11, Run: 011, P, 0, 0, 45, 29, 13, 41, 1
INVAR-11, Run: 012, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 013, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 014, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 015, P, 0, 0, 54, 32, 4, 34, 2
INVAR-11, Run: 016, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 017, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 018, P, 0, 0, 51, 31, 7, 33, 5
INVAR-11, Run: 019, P, 0, 0, 51, 31, 7, 34, 4
INVAR-11, Run: 020, P, 0, 0, 54, 32, 4, 36, 0
INVAR-11, Run: 021, P, 0, 0, 48, 30, 10, 33, 7
INVAR-11, Run: 022, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 023, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 024, P, 0, 0, 51, 31, 7, 38, 0
INVAR-11, Run: 025, P, 0, 0, 54, 32, 4, 32, 4
INVAR-11, Run: 026, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 027, P, 0, 0, 51, 31, 7, 34, 4
INVAR-11, Run: 028, P, 0, 0, 48, 30, 10, 37, 3
INVAR-11, Run: 029, P, 0, 0, 48, 30, 10, 37, 3
INVAR-11, Run: 030, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 031, P, 0, 0, 54, 32, 4, 33, 3
INVAR-11, Run: 032, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 033, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 034, P, 0, 0, 51, 31, 7, 33, 5
INVAR-11, Run: 035, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 036, P, 0, 0, 54, 32, 4, 35, 1
INVAR-11, Run: 037, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 038, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 039, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 040, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 041, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 042, P, 0, 0, 48, 30, 10, 37, 3
INVAR-11, Run: 043, P, 0, 0, 54, 32, 4, 31, 5
INVAR-11, Run: 044, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 045, P, 0, 0, 48, 30, 10, 36, 4
INVAR-11, Run: 046, P, 0, 0, 54, 32, 4, 33, 3
INVAR-11, Run: 047, P, 0, 0, 48, 30, 10, 36, 4
INVAR-11, Run: 048, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 049, P, 0, 0, 48, 30, 10, 39, 1
INVAR-11, Run: 050, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 051, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 052, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 053, P, 0, 0, 48, 30, 10, 38, 2
INVAR-11, Run: 054, P, 0, 0, 51, 31, 7, 34, 4
INVAR-11, Run: 055, P, 0, 0, 48, 30, 10, 36, 4
INVAR-11, Run: 056, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 057, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 058, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 059, P, 0, 0, 48, 30, 10, 39, 1
INVAR-11, Run: 060, P, 0, 0, 48, 30, 10, 39, 1
INVAR-11, Run: 061, P, 0, 0, 51, 31, 7, 33, 5
INVAR-11, Run: 062, P, 0, 0, 54, 32, 4, 33, 3
INVAR-11, Run: 063, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 064, P, 0, 0, 54, 32, 4, 36, 0
INVAR-11, Run: 065, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 066, P, 0, 0, 51, 31, 7, 38, 0
INVAR-11, Run: 067, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 068, P, 0, 0, 48, 30, 10, 36, 4
INVAR-11, Run: 069, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 070, P, 0, 0, 48, 30, 10, 37, 3
INVAR-11, Run: 071, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 072, P, 0, 0, 48, 30, 10, 39, 1
INVAR-11, Run: 073, P, 0, 0, 54, 32, 4, 34, 2
INVAR-11, Run: 074, P, 0, 0, 51, 31, 7, 34, 4
INVAR-11, Run: 075, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 076, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 077, P, 0, 0, 51, 31, 7, 34, 4
INVAR-11, Run: 078, P, 0, 0, 48, 30, 10, 37, 3
INVAR-11, Run: 079, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 080, P, 0, 0, 51, 31, 7, 35, 3
INVAR-11, Run: 081, P, 0, 0, 48, 30, 10, 36, 4
INVAR-11, Run: 082, P, 0, 0, 48, 30, 10, 36, 4
INVAR-11, Run: 083, P, 0, 0, 54, 32, 4, 31, 5
INVAR-11, Run: 084, P, 0, 0, 54, 32, 4, 36, 0
INVAR-11, Run: 085, P, 0, 0, 51, 31, 7, 34, 4
INVAR-11, Run: 086, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 087, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 088, P, 0, 0, 51, 31, 7, 37, 1
INVAR-11, Run: 089, P, 0, 0, 54, 32, 4, 33, 3
INVAR-11, Run: 090, P, 0, 0, 48, 30, 10, 35, 5
INVAR-11, Run: 091, P, 0, 0, 54, 32, 4, 35, 1
INVAR-11, Run: 092, P, 0, 0, 51, 31, 7, 38, 0
INVAR-11, Run: 093, P, 0, 0, 54, 32, 4, 35, 1
INVAR-11, Run: 094, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 095, P, 0, 0, 54, 32, 4, 32, 4
INVAR-11, Run: 096, P, 0, 0, 51, 31, 7, 34, 4
INVAR-11, Run: 097, P, 0, 0, 51, 31, 7, 36, 2
INVAR-11, Run: 098, P, 0, 0, 54, 32, 4, 33, 3
INVAR-11, Run: 099, P, 0, 0, 48, 30, 10, 39, 1
INVAR-11, Run: 100, P, 0, 0, 51, 31, 7, 36, 2
INVAR-12, Run: 001, P, 0, 0, 116, 62, 14, 72, 4
INVAR-12, Run: 002, P, 0, 0, 116, 62, 14, 73, 3
INVAR-12, Run: 003, P, 0, 0, 122, 64, 8, 67, 5
INVAR-12, Run: 004, P, 0, 0, 122, 64, 8, 68, 4
INVAR-12, Run: 005, P, 0, 0, 122, 64, 8, 69, 3
INVAR-12, Run: 006, P, 0, 0, 119, 63, 11, 70, 4
INVAR-12, Run: 007, P, 0, 0, 119, 63, 11, 70, 4
INVAR-12, Run: 008, P, 0, 0, 119, 63, 11, 71, 3
INVAR-12, Run: 009, P, 0, 0, 122, 64, 8, 69, 3
INVAR-12, Run: 010, P, 0, 0, 125, 65, 5, 67, 3
INVAR-12, Run: 011, P, 0, 0, 113, 61, 17, 72, 6
INVAR-12, Run: 012, P, 0, 0, 122, 64, 8, 70, 2
INVAR-12, Run: 013, P, 0, 0, 122, 64, 8, 70, 2
INVAR-12, Run: 014, P, 0, 0, 116, 62, 14, 71, 5
INVAR-12, Run: 015, P, 0, 0, 119, 63, 11, 68, 6
INVAR-12, Run: 016, P, 0, 0, 122, 64, 8, 71, 1
INVAR-12, Run: 017, P, 0, 0, 122, 64, 8, 70, 2
INVAR-12, Run: 018, P, 0, 0, 119, 63, 11, 70, 4
INVAR-12, Run: 019, P, 0, 0, 119, 63, 11, 70, 4
INVAR-12, Run: 020, P, 0, 0, 119, 63, 11, 73, 1
INVAR-12, Run: 021, P, 0, 0, 122, 64, 8, 71, 1
INVAR-12, Run: 022, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 023, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 024, P, 0, 0, 122, 64, 8, 70, 2
INVAR-12, Run: 025, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 026, P, 0, 0, 119, 63, 11, 71, 3
INVAR-12, Run: 027, P, 0, 0, 116, 62, 14, 72, 4
INVAR-12, Run: 028, P, 0, 0, 119, 63, 11, 70, 4
INVAR-12, Run: 029, P, 0, 0, 119, 63, 11, 73, 1
INVAR-12, Run: 030, P, 0, 0, 122, 64, 8, 67, 5
INVAR-12, Run: 031, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 032, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 033, P, 0, 0, 122, 64, 8, 70, 2
INVAR-12, Run: 034, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 035, P, 0, 0, 119, 63, 11, 70, 4
INVAR-12, Run: 036, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 037, P, 0, 0, 122, 64, 8, 69, 3
INVAR-12, Run: 038, P, 0, 0, 119, 63, 11, 73, 1
INVAR-12, Run: 039, P, 0, 0, 125, 65, 5, 69, 1
INVAR-12, Run: 040, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 041, P, 0, 0, 122, 64, 8, 70, 2
INVAR-12, Run: 042, P, 0, 0, 119, 63, 11, 68, 6
INVAR-12, Run: 043, P, 0, 0, 125, 65, 5, 67, 3
INVAR-12, Run: 044, P, 0, 0, 122, 64, 8, 70, 2
INVAR-12, Run: 045, P, 0, 0, 122, 64, 8, 69, 3
INVAR-12, Run: 046, P, 0, 0, 119, 63, 11, 70, 4
INVAR-12, Run: 047, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 048, P, 0, 0, 119, 63, 11, 71, 3
INVAR-12, Run: 049, P, 0, 0, 125, 65, 5, 61, 9
INVAR-12, Run: 050, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 051, P, 0, 0, 119, 63, 11, 71, 3
INVAR-12, Run: 052, P, 0, 0, 125, 65, 5, 68, 2
INVAR-12, Run: 053, P, 0, 0, 116, 62, 14, 72, 4
INVAR-12, Run: 054, P, 0, 0, 119, 63, 11, 71, 3
INVAR-12, Run: 055, P, 0, 0, 116, 62, 14, 74, 2
INVAR-12, Run: 056, P, 0, 0, 119, 63, 11, 67, 7
INVAR-12, Run: 057, P, 0, 0, 122, 64, 8, 68, 4
INVAR-12, Run: 058, P, 0, 0, 122, 64, 8, 71, 1
INVAR-12, Run: 059, P, 0, 0, 116, 62, 14, 71, 5
INVAR-12, Run: 060, P, 0, 0, 122, 64, 8, 71, 1
INVAR-12, Run: 061, P, 0, 0, 116, 62, 14, 73, 3
INVAR-12, Run: 062, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 063, P, 0, 0, 116, 62, 14, 69, 7
INVAR-12, Run: 064, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 065, P, 0, 0, 116, 62, 14, 73, 3
INVAR-12, Run: 066, P, 0, 0, 119, 63, 11, 69, 5
INVAR-12, Run: 067, P, 0, 0, 116, 62, 14, 73, 3
INVAR-12, Run: 068, P, 0, 0, 122, 64, 8, 69, 3
INVAR-12, Run: 069, P, 0, 0, 119, 63, 11, 73, 1
INVAR-12, Run: 070, P, 0, 0, 122, 64, 8, 68, 4
INVAR-12, Run: 071, P, 0, 0, 116, 62, 14, 73, 3
INVAR-12, Run: 072, P, 0, 0, 125, 65, 5, 67, 3
INVAR-12, Run: 073, P, 0, 0, 116, 62, 14, 73, 3
INVAR-12, Run: 074, P, 0, 0, 119, 63, 11, 72, 2
INVAR-12, Run: 075, P, 0, 0, 116, 62, 14, 74, 2
INVAR-12, Run: 076, P, 0, 0, 122, 64, 8, 71, 1
INVAR-12, Run: 077, P, 0, 0, 116, 62, 14, 70, 6
INVAR-12, Run: 078, P, 0, 0, 116, 62, 14, 72, 4
INVAR-12, Run: 079, P, 0, 0, 119, 63, 11, 70, 4
INVAR-12, Run: 080, P, 0, 0, 119, 63, 11, 71, 3
INVAR-12, Run: 081, P, 0, 0, 119, 63, 11, 70, 4
INVAR-12, Run: 082, P, 0, 0, 125, 65, 5, 66, 4
INVAR-12, Run: 083, P, 0, 0, 122, 64, 8, 70, 2
INVAR-12, Run: 084, P, 0, 0, 119, 63, 11, 71, 3
INVAR-12, Run: 085, P, 0, 0, 125, 65, 5, 67, 3
INVAR-12, Run: 086, P, 0, 0, 122, 64, 8, 69, 3
