Input Number, Run_Number, Result@ 100, X, Y, Z, XP, YP, NEW_REACTION, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 036, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 037, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 038, F, 0, 0, 66, 0, 42, 14, 10, 52, 10
INVAR-1, Run: 039, F, 0, 0, 58, 0, 34, 10, 14, 48, 14
INVAR-1, Run: 040, F, 0, 0, 70, 0, 46, 16, 8, 54, 8
INVAR-1, Run: 041, F, 0, 0, 70, 0, 46, 16, 8, 54, 8
INVAR-1, Run: 042, F, 0, 0, 74, 0, 50, 18, 6, 56, 6
INVAR-1, Run: 043, F, 0, 0, 58, 0, 34, 10, 14, 48, 14
INVAR-1, Run: 044, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 045, F, 0, 0, 68, 0, 44, 15, 9, 53, 9
INVAR-1, Run: 046, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 047, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 048, F, 0, 0, 66, 0, 42, 14, 10, 52, 10
INVAR-1, Run: 049, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 050, F, 0, 0, 52, 0, 28, 7, 17, 45, 17
INVAR-1, Run: 051, F, 0, 0, 70, 0, 46, 16, 8, 54, 8
INVAR-1, Run: 052, F, 0, 0, 68, 0, 44, 15, 9, 53, 9
INVAR-1, Run: 053, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 054, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 055, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 056, F, 0, 0, 54, 0, 30, 8, 16, 46, 16
INVAR-1, Run: 057, F, 0, 0, 70, 0, 46, 16, 8, 54, 8
INVAR-1, Run: 058, F, 0, 0, 72, 0, 48, 17, 7, 55, 7
INVAR-1, Run: 059, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 060, F, 0, 0, 66, 0, 42, 14, 10, 52, 10
INVAR-1, Run: 061, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 062, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 063, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 064, F, 0, 0, 66, 0, 42, 14, 10, 52, 10
INVAR-1, Run: 065, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 066, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 067, F, 0, 0, 56, 0, 32, 9, 15, 47, 15
INVAR-1, Run: 068, F, 0, 0, 56, 0, 32, 9, 15, 47, 15
INVAR-1, Run: 069, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 070, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 071, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 072, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 073, F, 0, 0, 70, 0, 46, 16, 8, 54, 8
INVAR-1, Run: 074, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 075, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 076, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 077, F, 0, 0, 66, 0, 42, 14, 10, 52, 10
INVAR-1, Run: 078, F, 0, 0, 56, 0, 32, 9, 15, 47, 15
INVAR-1, Run: 079, F, 0, 0, 68, 0, 44, 15, 9, 53, 9
INVAR-1, Run: 080, F, 0, 0, 52, 0, 28, 7, 17, 45, 17
INVAR-1, Run: 081, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 082, F, 0, 0, 56, 0, 32, 9, 15, 47, 15
INVAR-1, Run: 083, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 084, F, 0, 0, 56, 0, 32, 9, 15, 47, 15
INVAR-1, Run: 085, F, 0, 0, 60, 0, 36, 11, 13, 49, 13
INVAR-1, Run: 086, F, 0, 0, 68, 0, 44, 15, 9, 53, 9
INVAR-1, Run: 087, F, 0, 0, 68, 0, 44, 15, 9, 53, 9
INVAR-1, Run: 088, F, 0, 0, 54, 0, 30, 8, 16, 46, 16
INVAR-1, Run: 089, F, 0, 0, 56, 0, 32, 9, 15, 47, 15
INVAR-1, Run: 090, F, 0, 0, 66, 0, 42, 14, 10, 52, 10
INVAR-1, Run: 091, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 092, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 093, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 094, F, 0, 0, 68, 0, 44, 15, 9, 53, 9
INVAR-1, Run: 095, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 096, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-1, Run: 097, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 098, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 099, F, 0, 0, 64, 0, 40, 13, 11, 51, 11
INVAR-1, Run: 100, F, 0, 0, 62, 0, 38, 12, 12, 50, 12
INVAR-10, Run: 001, F, 0, 0, 108, 0, 66, 29, 13, 79, 13
INVAR-10, Run: 002, F, 0, 0, 78, 0, 36, 14, 28, 64, 28
INVAR-10, Run: 003, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 004, F, 0, 0, 80, 0, 38, 15, 27, 65, 27
INVAR-10, Run: 005, F, 0, 0, 102, 0, 60, 26, 16, 76, 16
INVAR-10, Run: 006, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 007, F, 0, 0, 90, 0, 48, 20, 22, 70, 22
INVAR-10, Run: 008, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 009, F, 0, 0, 100, 0, 58, 25, 17, 75, 17
INVAR-10, Run: 010, F, 0, 0, 104, 0, 62, 27, 15, 77, 15
INVAR-10, Run: 011, F, 0, 0, 84, 0, 42, 17, 25, 67, 25
INVAR-10, Run: 012, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 013, F, 0, 0, 104, 0, 62, 27, 15, 77, 15
INVAR-10, Run: 014, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 015, F, 0, 0, 100, 0, 58, 25, 17, 75, 17
INVAR-10, Run: 016, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 017, F, 0, 0, 86, 0, 44, 18, 24, 68, 24
INVAR-10, Run: 018, F, 0, 0, 86, 0, 44, 18, 24, 68, 24
INVAR-10, Run: 019, F, 0, 0, 84, 0, 42, 17, 25, 67, 25
INVAR-10, Run: 020, F, 0, 0, 92, 0, 50, 21, 21, 71, 21
INVAR-10, Run: 021, F, 0, 0, 86, 0, 44, 18, 24, 68, 24
INVAR-10, Run: 022, F, 0, 0, 84, 0, 42, 17, 25, 67, 25
INVAR-10, Run: 023, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 024, F, 0, 0, 86, 0, 44, 18, 24, 68, 24
INVAR-10, Run: 025, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 026, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 027, F, 0, 0, 86, 0, 44, 18, 24, 68, 24
INVAR-10, Run: 028, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 029, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 030, F, 0, 0, 102, 0, 60, 26, 16, 76, 16
INVAR-10, Run: 031, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 032, F, 0, 0, 86, 0, 44, 18, 24, 68, 24
INVAR-10, Run: 033, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 034, F, 0, 0, 84, 0, 42, 17, 25, 67, 25
INVAR-10, Run: 035, F, 0, 0, 98, 0, 56, 24, 18, 74, 18
INVAR-10, Run: 036, F, 0, 0, 92, 0, 50, 21, 21, 71, 21
INVAR-10, Run: 037, F, 0, 0, 102, 0, 60, 26, 16, 76, 16
INVAR-10, Run: 038, F, 0, 0, 90, 0, 48, 20, 22, 70, 22
INVAR-10, Run: 039, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 040, F, 0, 0, 80, 0, 38, 15, 27, 65, 27
INVAR-10, Run: 041, F, 0, 0, 92, 0, 50, 21, 21, 71, 21
INVAR-10, Run: 042, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 043, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 044, F, 0, 0, 80, 0, 38, 15, 27, 65, 27
INVAR-10, Run: 045, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 046, F, 0, 0, 102, 0, 60, 26, 16, 76, 16
INVAR-10, Run: 047, F, 0, 0, 98, 0, 56, 24, 18, 74, 18
INVAR-10, Run: 048, F, 0, 0, 90, 0, 48, 20, 22, 70, 22
INVAR-10, Run: 049, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 050, F, 0, 0, 112, 0, 70, 31, 11, 81, 11
INVAR-10, Run: 051, F, 0, 0, 90, 0, 48, 20, 22, 70, 22
INVAR-10, Run: 052, F, 0, 0, 98, 0, 56, 24, 18, 74, 18
INVAR-10, Run: 053, F, 0, 0, 92, 0, 50, 21, 21, 71, 21
INVAR-10, Run: 054, F, 0, 0, 92, 0, 50, 21, 21, 71, 21
INVAR-10, Run: 055, F, 0, 0, 100, 0, 58, 25, 17, 75, 17
INVAR-10, Run: 056, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 057, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 058, F, 0, 0, 98, 0, 56, 24, 18, 74, 18
INVAR-10, Run: 059, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 060, F, 0, 0, 92, 0, 50, 21, 21, 71, 21
INVAR-10, Run: 061, F, 0, 0, 98, 0, 56, 24, 18, 74, 18
INVAR-10, Run: 062, F, 0, 0, 98, 0, 56, 24, 18, 74, 18
INVAR-10, Run: 063, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 064, F, 0, 0, 90, 0, 48, 20, 22, 70, 22
INVAR-10, Run: 065, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 066, F, 0, 0, 100, 0, 58, 25, 17, 75, 17
INVAR-10, Run: 067, F, 0, 0, 90, 0, 48, 20, 22, 70, 22
INVAR-10, Run: 068, F, 0, 0, 86, 0, 44, 18, 24, 68, 24
INVAR-10, Run: 069, F, 0, 0, 86, 0, 44, 18, 24, 68, 24
INVAR-10, Run: 070, F, 0, 0, 82, 0, 40, 16, 26, 66, 26
INVAR-10, Run: 071, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 072, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 073, F, 0, 0, 84, 0, 42, 17, 25, 67, 25
INVAR-10, Run: 074, F, 0, 0, 102, 0, 60, 26, 16, 76, 16
INVAR-10, Run: 075, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 076, F, 0, 0, 98, 0, 56, 24, 18, 74, 18
INVAR-10, Run: 077, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 078, F, 0, 0, 98, 0, 56, 24, 18, 74, 18
INVAR-10, Run: 079, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 080, F, 0, 0, 86, 0, 44, 18, 24, 68, 24
INVAR-10, Run: 081, F, 0, 0, 92, 0, 50, 21, 21, 71, 21
INVAR-10, Run: 082, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 083, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 084, F, 0, 0, 84, 0, 42, 17, 25, 67, 25
INVAR-10, Run: 085, F, 0, 0, 84, 0, 42, 17, 25, 67, 25
INVAR-10, Run: 086, F, 0, 0, 84, 0, 42, 17, 25, 67, 25
INVAR-10, Run: 087, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 088, F, 0, 0, 82, 0, 40, 16, 26, 66, 26
INVAR-10, Run: 089, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 090, F, 0, 0, 86, 0, 44, 18, 24, 68, 24
INVAR-10, Run: 091, F, 0, 0, 106, 0, 64, 28, 14, 78, 14
INVAR-10, Run: 092, F, 0, 0, 90, 0, 48, 20, 22, 70, 22
INVAR-10, Run: 093, F, 0, 0, 90, 0, 48, 20, 22, 70, 22
INVAR-10, Run: 094, F, 0, 0, 90, 0, 48, 20, 22, 70, 22
INVAR-10, Run: 095, F, 0, 0, 96, 0, 54, 23, 19, 73, 19
INVAR-10, Run: 096, F, 0, 0, 100, 0, 58, 25, 17, 75, 17
INVAR-10, Run: 097, F, 0, 0, 88, 0, 46, 19, 23, 69, 23
INVAR-10, Run: 098, F, 0, 0, 94, 0, 52, 22, 20, 72, 20
INVAR-10, Run: 099, F, 0, 0, 92, 0, 50, 21, 21, 71, 21
INVAR-10, Run: 100, F, 0, 0, 104, 0, 62, 27, 15, 77, 15
INVAR-11, Run: 001, F, 0, 0, 152, 0, 94, 26, 32, 126, 32
INVAR-11, Run: 002, F, 0, 0, 172, 0, 114, 36, 22, 136, 22
INVAR-11, Run: 003, F, 0, 0, 142, 0, 84, 21, 37, 121, 37
INVAR-11, Run: 004, F, 0, 0, 146, 0, 88, 23, 35, 123, 35
INVAR-11, Run: 005, F, 0, 0, 166, 0, 108, 33, 25, 133, 25
INVAR-11, Run: 006, F, 0, 0, 144, 0, 86, 22, 36, 122, 36
INVAR-11, Run: 007, F, 0, 0, 142, 0, 84, 21, 37, 121, 37
INVAR-11, Run: 008, F, 0, 0, 138, 0, 80, 19, 39, 119, 39
INVAR-11, Run: 009, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 010, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 011, F, 0, 0, 158, 0, 100, 29, 29, 129, 29
INVAR-11, Run: 012, F, 0, 0, 170, 0, 112, 35, 23, 135, 23
INVAR-11, Run: 013, F, 0, 0, 148, 0, 90, 24, 34, 124, 34
INVAR-11, Run: 014, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 015, F, 0, 0, 154, 0, 96, 27, 31, 127, 31
INVAR-11, Run: 016, F, 0, 0, 164, 0, 106, 32, 26, 132, 26
INVAR-11, Run: 017, F, 0, 0, 154, 0, 96, 27, 31, 127, 31
INVAR-11, Run: 018, F, 0, 0, 158, 0, 100, 29, 29, 129, 29
INVAR-11, Run: 019, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 020, F, 0, 0, 168, 0, 110, 34, 24, 134, 24
INVAR-11, Run: 021, F, 0, 0, 164, 0, 106, 32, 26, 132, 26
INVAR-11, Run: 022, F, 0, 0, 168, 0, 110, 34, 24, 134, 24
INVAR-11, Run: 023, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 024, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 025, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 026, F, 0, 0, 168, 0, 110, 34, 24, 134, 24
INVAR-11, Run: 027, F, 0, 0, 152, 0, 94, 26, 32, 126, 32
INVAR-11, Run: 028, F, 0, 0, 150, 0, 92, 25, 33, 125, 33
INVAR-11, Run: 029, F, 0, 0, 166, 0, 108, 33, 25, 133, 25
INVAR-11, Run: 030, F, 0, 0, 158, 0, 100, 29, 29, 129, 29
INVAR-11, Run: 031, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 032, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 033, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 034, F, 0, 0, 158, 0, 100, 29, 29, 129, 29
INVAR-11, Run: 035, F, 0, 0, 150, 0, 92, 25, 33, 125, 33
INVAR-11, Run: 036, F, 0, 0, 158, 0, 100, 29, 29, 129, 29
INVAR-11, Run: 037, F, 0, 0, 164, 0, 106, 32, 26, 132, 26
INVAR-11, Run: 038, F, 0, 0, 154, 0, 96, 27, 31, 127, 31
INVAR-11, Run: 039, F, 0, 0, 146, 0, 88, 23, 35, 123, 35
INVAR-11, Run: 040, F, 0, 0, 150, 0, 92, 25, 33, 125, 33
INVAR-11, Run: 041, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 042, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 043, F, 0, 0, 132, 0, 74, 16, 42, 116, 42
INVAR-11, Run: 044, F, 0, 0, 178, 0, 120, 39, 19, 139, 19
INVAR-11, Run: 045, F, 0, 0, 164, 0, 106, 32, 26, 132, 26
INVAR-11, Run: 046, F, 0, 0, 158, 0, 100, 29, 29, 129, 29
INVAR-11, Run: 047, F, 0, 0, 156, 0, 98, 28, 30, 128, 30
INVAR-11, Run: 048, F, 0, 0, 166, 0, 108, 33, 25, 133, 25
INVAR-11, Run: 049, F, 0, 0, 154, 0, 96, 27, 31, 127, 31
INVAR-11, Run: 050, F, 0, 0, 142, 0, 84, 21, 37, 121, 37
INVAR-11, Run: 051, F, 0, 0, 144, 0, 86, 22, 36, 122, 36
INVAR-11, Run: 052, F, 0, 0, 172, 0, 114, 36, 22, 136, 22
INVAR-11, Run: 053, F, 0, 0, 168, 0, 110, 34, 24, 134, 24
INVAR-11, Run: 054, F, 0, 0, 156, 0, 98, 28, 30, 128, 30
INVAR-11, Run: 055, F, 0, 0, 176, 0, 118, 38, 20, 138, 20
INVAR-11, Run: 056, F, 0, 0, 154, 0, 96, 27, 31, 127, 31
INVAR-11, Run: 057, F, 0, 0, 158, 0, 100, 29, 29, 129, 29
INVAR-11, Run: 058, F, 0, 0, 172, 0, 114, 36, 22, 136, 22
INVAR-11, Run: 059, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 060, F, 0, 0, 156, 0, 98, 28, 30, 128, 30
INVAR-11, Run: 061, F, 0, 0, 156, 0, 98, 28, 30, 128, 30
INVAR-11, Run: 062, F, 0, 0, 146, 0, 88, 23, 35, 123, 35
INVAR-11, Run: 063, F, 0, 0, 156, 0, 98, 28, 30, 128, 30
INVAR-11, Run: 064, F, 0, 0, 154, 0, 96, 27, 31, 127, 31
INVAR-11, Run: 065, F, 0, 0, 158, 0, 100, 29, 29, 129, 29
INVAR-11, Run: 066, F, 0, 0, 170, 0, 112, 35, 23, 135, 23
INVAR-11, Run: 067, F, 0, 0, 156, 0, 98, 28, 30, 128, 30
INVAR-11, Run: 068, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 069, F, 0, 0, 154, 0, 96, 27, 31, 127, 31
INVAR-11, Run: 070, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 071, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 072, F, 0, 0, 152, 0, 94, 26, 32, 126, 32
INVAR-11, Run: 073, F, 0, 0, 146, 0, 88, 23, 35, 123, 35
INVAR-11, Run: 074, F, 0, 0, 174, 0, 116, 37, 21, 137, 21
INVAR-11, Run: 075, F, 0, 0, 164, 0, 106, 32, 26, 132, 26
INVAR-11, Run: 076, F, 0, 0, 174, 0, 116, 37, 21, 137, 21
INVAR-11, Run: 077, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 078, F, 0, 0, 152, 0, 94, 26, 32, 126, 32
INVAR-11, Run: 079, F, 0, 0, 152, 0, 94, 26, 32, 126, 32
INVAR-11, Run: 080, F, 0, 0, 158, 0, 100, 29, 29, 129, 29
INVAR-11, Run: 081, F, 0, 0, 148, 0, 90, 24, 34, 124, 34
INVAR-11, Run: 082, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 083, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 084, F, 0, 0, 162, 0, 104, 31, 27, 131, 27
INVAR-11, Run: 085, F, 0, 0, 150, 0, 92, 25, 33, 125, 33
INVAR-11, Run: 086, F, 0, 0, 146, 0, 88, 23, 35, 123, 35
INVAR-11, Run: 087, F, 0, 0, 150, 0, 92, 25, 33, 125, 33
INVAR-11, Run: 088, F, 0, 0, 164, 0, 106, 32, 26, 132, 26
INVAR-11, Run: 089, F, 0, 0, 166, 0, 108, 33, 25, 133, 25
INVAR-11, Run: 090, F, 0, 0, 140, 0, 82, 20, 38, 120, 38
INVAR-11, Run: 091, F, 0, 0, 156, 0, 98, 28, 30, 128, 30
INVAR-11, Run: 092, F, 0, 0, 156, 0, 98, 28, 30, 128, 30
INVAR-11, Run: 093, F, 0, 0, 164, 0, 106, 32, 26, 132, 26
INVAR-11, Run: 094, F, 0, 0, 152, 0, 94, 26, 32, 126, 32
INVAR-11, Run: 095, F, 0, 0, 152, 0, 94, 26, 32, 126, 32
INVAR-11, Run: 096, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 097, F, 0, 0, 152, 0, 94, 26, 32, 126, 32
INVAR-11, Run: 098, F, 0, 0, 164, 0, 106, 32, 26, 132, 26
INVAR-11, Run: 099, F, 0, 0, 160, 0, 102, 30, 28, 130, 28
INVAR-11, Run: 100, F, 0, 0, 168, 0, 110, 34, 24, 134, 24
INVAR-12, Run: 001, F, 0, 0, 314, 0, 184, 57, 73, 257, 73
INVAR-12, Run: 002, F, 0, 0, 342, 0, 212, 71, 59, 271, 59
INVAR-12, Run: 003, F, 0, 0, 332, 0, 202, 66, 64, 266, 64
INVAR-12, Run: 004, F, 0, 0, 334, 0, 204, 67, 63, 267, 63
INVAR-12, Run: 005, F, 0, 0, 328, 0, 198, 64, 66, 264, 66
INVAR-12, Run: 006, F, 0, 0, 320, 0, 190, 60, 70, 260, 70
INVAR-12, Run: 007, F, 0, 0, 332, 0, 202, 66, 64, 266, 64
INVAR-12, Run: 008, F, 0, 0, 338, 0, 208, 69, 61, 269, 61
INVAR-12, Run: 009, F, 0, 0, 342, 0, 212, 71, 59, 271, 59
INVAR-12, Run: 010, F, 0, 0, 346, 0, 216, 73, 57, 273, 57
INVAR-12, Run: 011, F, 0, 0, 338, 0, 208, 69, 61, 269, 61
INVAR-12, Run: 012, F, 0, 0, 332, 0, 202, 66, 64, 266, 64
INVAR-12, Run: 013, F, 0, 0, 344, 0, 214, 72, 58, 272, 58
INVAR-12, Run: 014, F, 0, 0, 336, 0, 206, 68, 62, 268, 62
INVAR-12, Run: 015, F, 0, 0, 342, 0, 212, 71, 59, 271, 59
INVAR-12, Run: 016, F, 0, 0, 314, 0, 184, 57, 73, 257, 73
INVAR-12, Run: 017, F, 0, 0, 320, 0, 190, 60, 70, 260, 70
INVAR-12, Run: 018, F, 0, 0, 348, 0, 218, 74, 56, 274, 56
INVAR-12, Run: 019, F, 0, 0, 336, 0, 206, 68, 62, 268, 62
INVAR-12, Run: 020, F, 0, 0, 334, 0, 204, 67, 63, 267, 63
INVAR-12, Run: 021, F, 0, 0, 332, 0, 202, 66, 64, 266, 64
INVAR-12, Run: 022, F, 0, 0, 328, 0, 198, 64, 66, 264, 66
INVAR-12, Run: 023, F, 0, 0, 332, 0, 202, 66, 64, 266, 64
INVAR-12, Run: 024, F, 0, 0, 324, 0, 194, 62, 68, 262, 68
INVAR-12, Run: 025, F, 0, 0, 328, 0, 198, 64, 66, 264, 66
INVAR-12, Run: 026, F, 0, 0, 340, 0, 210, 70, 60, 270, 60
INVAR-12, Run: 027, F, 0, 0, 328, 0, 198, 64, 66, 264, 66
INVAR-12, Run: 028, F, 0, 0, 310, 0, 180, 55, 75, 255, 75
INVAR-12, Run: 029, F, 0, 0, 338, 0, 208, 69, 61, 269, 61
INVAR-12, Run: 030, F, 0, 0, 326, 0, 196, 63, 67, 263, 67
