Input Number, Run_Number, Result@ 100, X, V, Y, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 1, 10, 0, 7, 12, 2, 1029, 11
INVAR-1, Run: 002, F, 1, 6, 0, 7, 12, 2, 660, 15
INVAR-1, Run: 003, F, 1, 15, 0, 7, 12, 2, 1536, 6
INVAR-1, Run: 004, F, 1, 14, 0, 7, 12, 2, 1321, 7
INVAR-1, Run: 005, F, 1, 12, 0, 6, 11, 5, 1151, 10
INVAR-1, Run: 006, F, 1, 4, 0, 7, 12, 2, 441, 17
INVAR-1, Run: 007, F, 1, 12, 0, 6, 11, 5, 1169, 10
INVAR-1, Run: 008, F, 0, 0, 2, 8, 12, 0, 8, 20
INVAR-1, Run: 009, F, 0, 0, 2, 8, 12, 0, 9, 20
INVAR-1, Run: 010, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 011, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 012, F, 0, 0, 2, 8, 12, 0, 5, 20
INVAR-1, Run: 013, F, 1, 6, 0, 7, 12, 2, 606, 15
INVAR-1, Run: 014, F, 1, 1, 0, 7, 12, 2, 123, 20
INVAR-1, Run: 015, F, 1, 19, 0, 7, 12, 2, 1926, 2
INVAR-1, Run: 016, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 017, F, 1, 20, 0, 7, 12, 2, 1967, 1
INVAR-1, Run: 018, F, 1, 12, 0, 7, 12, 2, 1201, 9
INVAR-1, Run: 019, F, 0, 0, 2, 7, 11, 3, 6, 21
INVAR-1, Run: 020, F, 1, 15, 0, 7, 12, 2, 1528, 6
INVAR-1, Run: 021, F, 1, 7, 0, 7, 12, 2, 735, 14
INVAR-1, Run: 022, F, 1, 18, 0, 7, 12, 2, 1800, 3
INVAR-1, Run: 023, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 024, F, 1, 15, 0, 7, 12, 2, 1474, 6
INVAR-1, Run: 025, F, 1, 9, 0, 7, 12, 2, 912, 12
INVAR-1, Run: 026, F, 1, 9, 0, 7, 12, 2, 953, 12
INVAR-1, Run: 027, F, 1, 14, 0, 7, 12, 2, 1378, 7
INVAR-1, Run: 028, F, 0, 0, 2, 8, 12, 0, 5, 20
INVAR-1, Run: 029, F, 1, 15, 0, 7, 12, 2, 1515, 6
INVAR-1, Run: 030, F, 1, 8, 0, 7, 12, 2, 770, 13
INVAR-1, Run: 031, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 032, F, 0, 0, 2, 8, 12, 0, 7, 20
INVAR-1, Run: 033, F, 0, 0, 2, 7, 11, 3, 3, 21
INVAR-1, Run: 034, F, 0, 0, 2, 8, 12, 0, 5, 20
INVAR-1, Run: 035, F, 1, 12, 0, 7, 12, 2, 1261, 9
INVAR-1, Run: 036, F, 0, 0, 2, 8, 12, 0, 5, 20
INVAR-1, Run: 037, F, 0, 0, 2, 7, 11, 3, 3, 21
INVAR-1, Run: 038, F, 1, 7, 0, 7, 12, 2, 696, 14
INVAR-1, Run: 039, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 040, F, 0, 0, 2, 8, 12, 0, 11, 20
INVAR-1, Run: 041, F, 0, 0, 2, 7, 11, 3, 4, 21
INVAR-1, Run: 042, F, 1, 8, 0, 7, 12, 2, 803, 13
INVAR-1, Run: 043, F, 0, 0, 2, 8, 12, 0, 6, 20
INVAR-1, Run: 044, F, 1, 13, 0, 7, 12, 2, 1330, 8
INVAR-1, Run: 045, F, 0, 0, 2, 7, 11, 3, 4, 21
INVAR-1, Run: 046, F, 1, 9, 0, 7, 12, 2, 897, 12
INVAR-1, Run: 047, F, 1, 13, 0, 7, 12, 2, 1288, 8
INVAR-1, Run: 048, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 049, F, 1, 16, 0, 7, 12, 2, 1671, 5
INVAR-1, Run: 050, F, 1, 6, 0, 7, 12, 2, 633, 15
INVAR-1, Run: 051, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 052, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 053, F, 1, 7, 0, 7, 12, 2, 721, 14
INVAR-1, Run: 054, F, 1, 7, 0, 7, 12, 2, 759, 14
INVAR-1, Run: 055, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 056, F, 1, 19, 0, 7, 12, 2, 1933, 2
INVAR-1, Run: 057, F, 1, 10, 0, 7, 12, 2, 1060, 11
INVAR-1, Run: 058, F, 0, 0, 2, 8, 12, 0, 2, 20
INVAR-1, Run: 059, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 060, F, 0, 0, 2, 8, 12, 0, 6, 20
INVAR-1, Run: 061, F, 1, 17, 0, 7, 12, 2, 1719, 4
INVAR-1, Run: 062, F, 1, 15, 0, 7, 12, 2, 1448, 6
INVAR-1, Run: 063, F, 1, 15, 0, 7, 12, 2, 1504, 6
INVAR-1, Run: 064, F, 0, 0, 2, 8, 12, 0, 5, 20
INVAR-1, Run: 065, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 066, F, 1, 21, 0, 7, 12, 2, 2078, 0
INVAR-1, Run: 067, F, 1, 11, 0, 7, 12, 2, 1061, 10
INVAR-1, Run: 068, F, 1, 13, 0, 7, 12, 2, 1351, 8
INVAR-1, Run: 069, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 070, F, 1, 2, 0, 7, 12, 2, 223, 19
INVAR-1, Run: 071, F, 1, 12, 0, 7, 12, 2, 1227, 9
INVAR-1, Run: 072, F, 1, 17, 0, 7, 12, 2, 1786, 4
INVAR-1, Run: 073, F, 1, 15, 0, 7, 12, 2, 1552, 6
INVAR-1, Run: 074, F, 0, 0, 2, 8, 12, 0, 4, 20
INVAR-1, Run: 075, F, 0, 0, 2, 8, 12, 0, 17, 20
INVAR-1, Run: 076, F, 1, 6, 0, 7, 12, 2, 663, 15
INVAR-1, Run: 077, F, 0, 0, 2, 7, 11, 3, 4, 21
INVAR-1, Run: 078, F, 1, 13, 0, 7, 12, 2, 1277, 8
INVAR-1, Run: 079, F, 0, 0, 2, 7, 11, 3, 3, 21
INVAR-1, Run: 080, F, 1, 12, 0, 7, 12, 2, 1249, 9
INVAR-1, Run: 081, F, 1, 13, 0, 7, 12, 2, 1316, 8
INVAR-1, Run: 082, F, 1, 16, 0, 7, 12, 2, 1593, 5
INVAR-1, Run: 083, F, 0, 0, 2, 8, 12, 0, 3, 20
INVAR-1, Run: 084, F, 1, 3, 0, 7, 12, 2, 334, 18
INVAR-1, Run: 085, F, 0, 0, 2, 7, 11, 3, 5, 21
INVAR-1, Run: 086, F, 1, 10, 0, 6, 11, 5, 1030, 12
INVAR-1, Run: 087, F, 1, 18, 0, 6, 11, 5, 1771, 4
INVAR-1, Run: 088, F, 1, 16, 0, 7, 12, 2, 1675, 5
INVAR-1, Run: 089, F, 1, 11, 0, 7, 12, 2, 1064, 10
INVAR-1, Run: 090, F, 0, 0, 2, 8, 12, 0, 7, 20
INVAR-1, Run: 091, F, 1, 19, 0, 7, 12, 2, 1905, 2
INVAR-1, Run: 092, F, 0, 0, 2, 8, 12, 0, 4, 20
INVAR-1, Run: 093, F, 1, 11, 0, 7, 12, 2, 1059, 10
INVAR-1, Run: 094, F, 1, 18, 0, 7, 12, 2, 1864, 3
INVAR-1, Run: 095, F, 1, 8, 0, 7, 12, 2, 805, 13
INVAR-1, Run: 096, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 097, F, 1, 13, 0, 7, 12, 2, 1344, 8
INVAR-1, Run: 098, F, 1, 12, 0, 7, 12, 2, 1244, 9
INVAR-1, Run: 099, F, 0, 0, 2, 8, 12, 0, 9, 20
INVAR-1, Run: 100, F, 0, 0, 2, 8, 12, 0, 5, 20
INVAR-10, Run: 001, F, 1, 19, 0, 13, 16, 2, 1916, 12
INVAR-10, Run: 002, F, 0, 0, 2, 14, 16, 0, 3, 30
INVAR-10, Run: 003, F, 1, 28, 0, 12, 15, 5, 2854, 4
INVAR-10, Run: 004, F, 0, 0, 2, 14, 16, 0, 9, 30
INVAR-10, Run: 005, F, 1, 14, 0, 13, 16, 2, 1434, 17
INVAR-10, Run: 006, F, 0, 0, 2, 14, 16, 0, 3, 30
INVAR-10, Run: 007, F, 1, 12, 0, 13, 16, 2, 1236, 19
INVAR-10, Run: 008, F, 0, 0, 2, 14, 16, 0, 7, 30
INVAR-10, Run: 009, F, 0, 0, 2, 14, 16, 0, 14, 30
INVAR-10, Run: 010, F, 0, 0, 2, 13, 15, 3, 4, 31
INVAR-10, Run: 011, F, 1, 12, 0, 13, 16, 2, 1181, 19
INVAR-10, Run: 012, F, 0, 0, 2, 13, 15, 3, 4, 31
INVAR-10, Run: 013, F, 1, 26, 0, 13, 16, 2, 2625, 5
INVAR-10, Run: 014, F, 1, 24, 0, 13, 16, 2, 2338, 7
INVAR-10, Run: 015, F, 1, 10, 0, 13, 16, 2, 1075, 21
INVAR-10, Run: 016, F, 1, 4, 0, 13, 16, 2, 447, 27
INVAR-10, Run: 017, F, 1, 7, 0, 12, 15, 5, 737, 25
INVAR-10, Run: 018, F, 1, 19, 0, 13, 16, 2, 1923, 12
INVAR-10, Run: 019, F, 1, 22, 0, 13, 16, 2, 2256, 9
INVAR-10, Run: 020, F, 1, 25, 0, 13, 16, 2, 2484, 6
INVAR-10, Run: 021, F, 0, 0, 2, 13, 15, 3, 11, 31
INVAR-10, Run: 022, F, 0, 0, 2, 14, 16, 0, 1, 30
INVAR-10, Run: 023, F, 1, 23, 0, 12, 15, 5, 2220, 9
INVAR-10, Run: 024, F, 0, 0, 2, 13, 15, 3, 15, 31
INVAR-10, Run: 025, F, 1, 19, 0, 13, 16, 2, 1954, 12
INVAR-10, Run: 026, F, 1, 27, 0, 13, 16, 2, 2684, 4
INVAR-10, Run: 027, F, 1, 12, 0, 13, 16, 2, 1261, 19
INVAR-10, Run: 028, F, 1, 16, 0, 13, 16, 2, 1613, 15
INVAR-10, Run: 029, F, 1, 31, 0, 13, 16, 2, 3197, 0
INVAR-10, Run: 030, F, 1, 16, 0, 13, 16, 2, 1626, 15
INVAR-10, Run: 031, F, 1, 20, 0, 13, 16, 2, 1978, 11
INVAR-10, Run: 032, F, 1, 27, 0, 13, 16, 2, 2713, 4
INVAR-10, Run: 033, F, 0, 0, 2, 14, 16, 0, 24, 30
INVAR-10, Run: 034, F, 0, 0, 2, 13, 15, 3, 9, 31
INVAR-10, Run: 035, F, 1, 15, 0, 13, 16, 2, 1495, 16
INVAR-10, Run: 036, F, 1, 16, 0, 13, 16, 2, 1646, 15
INVAR-10, Run: 037, F, 1, 5, 0, 13, 16, 2, 549, 26
INVAR-10, Run: 038, F, 1, 11, 0, 13, 16, 2, 1094, 20
INVAR-10, Run: 039, F, 1, 24, 0, 13, 16, 2, 2402, 7
INVAR-10, Run: 040, F, 1, 15, 0, 13, 16, 2, 1506, 16
INVAR-10, Run: 041, F, 1, 21, 0, 13, 16, 2, 2188, 10
INVAR-10, Run: 042, F, 1, 13, 0, 13, 16, 2, 1315, 18
INVAR-10, Run: 043, F, 0, 0, 2, 13, 15, 3, 8, 31
INVAR-10, Run: 044, F, 0, 0, 2, 14, 16, 0, 22, 30
INVAR-10, Run: 045, F, 0, 0, 2, 13, 15, 3, 3, 31
INVAR-10, Run: 046, F, 1, 9, 0, 13, 16, 2, 897, 22
INVAR-10, Run: 047, F, 1, 20, 0, 12, 15, 5, 2044, 12
INVAR-10, Run: 048, F, 1, 30, 0, 13, 16, 2, 2958, 1
INVAR-10, Run: 049, F, 0, 0, 2, 14, 16, 0, 19, 30
INVAR-10, Run: 050, F, 1, 21, 0, 13, 16, 2, 2062, 10
