Input Number, Run_Number, Result@ 100, Y, X, XP, Z, YP, NEW_REACTION, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 066, P, 0, 0, 0, 25, 1, 13, 24, 25, 24
INVAR-1, Run: 067, P, 0, 0, 3, 24, 0, 17, 24, 21, 21
INVAR-1, Run: 068, P, 0, 0, 1, 24, 0, 15, 24, 23, 23
INVAR-1, Run: 069, P, 0, 0, 0, 24, 0, 14, 24, 24, 24
INVAR-1, Run: 070, P, 0, 0, 7, 24, 0, 21, 24, 17, 17
INVAR-1, Run: 071, P, 0, 0, 2, 24, 0, 16, 24, 22, 22
INVAR-1, Run: 072, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 073, P, 0, 0, 2, 24, 0, 16, 24, 22, 22
INVAR-1, Run: 074, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 075, P, 0, 0, 8, 24, 0, 22, 24, 16, 16
INVAR-1, Run: 076, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 077, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 078, P, 0, 0, 3, 24, 0, 17, 24, 21, 21
INVAR-1, Run: 079, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 080, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 081, P, 0, 0, 1, 24, 0, 15, 24, 23, 23
INVAR-1, Run: 082, P, 0, 0, 0, 25, 1, 13, 24, 25, 24
INVAR-1, Run: 083, P, 0, 0, 8, 24, 0, 22, 24, 16, 16
INVAR-1, Run: 084, P, 0, 0, 0, 24, 0, 14, 24, 24, 24
INVAR-1, Run: 085, P, 0, 0, 6, 24, 0, 20, 24, 18, 18
INVAR-1, Run: 086, P, 0, 0, 9, 24, 0, 23, 24, 15, 15
INVAR-1, Run: 087, P, 0, 0, 2, 24, 0, 16, 24, 22, 22
INVAR-1, Run: 088, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 089, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 090, P, 0, 0, 5, 24, 0, 19, 24, 19, 19
INVAR-1, Run: 091, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 092, P, 0, 0, 0, 25, 1, 13, 24, 25, 24
INVAR-1, Run: 093, P, 0, 0, 3, 24, 0, 17, 24, 21, 21
INVAR-1, Run: 094, P, 0, 0, 11, 24, 0, 25, 24, 13, 13
INVAR-1, Run: 095, P, 0, 0, 3, 24, 0, 17, 24, 21, 21
INVAR-1, Run: 096, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 097, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 098, P, 0, 0, 4, 24, 0, 18, 24, 20, 20
INVAR-1, Run: 099, P, 0, 0, 8, 24, 0, 22, 24, 16, 16
INVAR-1, Run: 100, P, 0, 0, 0, 24, 0, 14, 24, 24, 24
INVAR-10, Run: 001, P, 0, 0, 10, 42, 0, 18, 42, 32, 32
INVAR-10, Run: 002, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 003, P, 0, 0, 14, 42, 0, 22, 42, 28, 28
INVAR-10, Run: 004, P, 0, 0, 15, 42, 0, 23, 42, 27, 27
INVAR-10, Run: 005, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-10, Run: 006, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 007, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-10, Run: 008, P, 0, 0, 14, 42, 0, 22, 42, 28, 28
INVAR-10, Run: 009, P, 0, 0, 19, 42, 0, 27, 42, 23, 23
INVAR-10, Run: 010, P, 0, 0, 22, 42, 0, 30, 42, 20, 20
INVAR-10, Run: 011, P, 0, 0, 19, 42, 0, 27, 42, 23, 23
INVAR-10, Run: 012, P, 0, 0, 21, 42, 0, 29, 42, 21, 21
INVAR-10, Run: 013, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 014, P, 0, 0, 19, 42, 0, 27, 42, 23, 23
INVAR-10, Run: 015, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-10, Run: 016, P, 0, 0, 21, 42, 0, 29, 42, 21, 21
INVAR-10, Run: 017, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 018, P, 0, 0, 19, 42, 0, 27, 42, 23, 23
INVAR-10, Run: 019, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 020, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 021, P, 0, 0, 9, 42, 0, 17, 42, 33, 33
INVAR-10, Run: 022, P, 0, 0, 19, 42, 0, 27, 42, 23, 23
INVAR-10, Run: 023, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 024, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 025, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 026, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 027, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 028, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 029, P, 0, 0, 15, 42, 0, 23, 42, 27, 27
INVAR-10, Run: 030, P, 0, 0, 9, 42, 0, 17, 42, 33, 33
INVAR-10, Run: 031, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-10, Run: 032, P, 0, 0, 20, 42, 0, 28, 42, 22, 22
INVAR-10, Run: 033, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 034, P, 0, 0, 11, 42, 0, 19, 42, 31, 31
INVAR-10, Run: 035, P, 0, 0, 13, 42, 0, 21, 42, 29, 29
INVAR-10, Run: 036, P, 0, 0, 10, 42, 0, 18, 42, 32, 32
INVAR-10, Run: 037, P, 0, 0, 14, 42, 0, 22, 42, 28, 28
INVAR-10, Run: 038, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 039, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 040, P, 0, 0, 24, 42, 0, 32, 42, 18, 18
INVAR-10, Run: 041, P, 0, 0, 15, 42, 0, 23, 42, 27, 27
INVAR-10, Run: 042, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 043, P, 0, 0, 21, 42, 0, 29, 42, 21, 21
INVAR-10, Run: 044, P, 0, 0, 14, 42, 0, 22, 42, 28, 28
INVAR-10, Run: 045, P, 0, 0, 20, 42, 0, 28, 42, 22, 22
INVAR-10, Run: 046, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 047, P, 0, 0, 11, 42, 0, 19, 42, 31, 31
INVAR-10, Run: 048, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 049, P, 0, 0, 14, 42, 0, 22, 42, 28, 28
INVAR-10, Run: 050, P, 0, 0, 21, 42, 0, 29, 42, 21, 21
INVAR-10, Run: 051, P, 0, 0, 21, 42, 0, 29, 42, 21, 21
INVAR-10, Run: 052, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-10, Run: 053, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-10, Run: 054, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-10, Run: 055, P, 0, 0, 15, 42, 0, 23, 42, 27, 27
INVAR-10, Run: 056, P, 0, 0, 13, 42, 0, 21, 42, 29, 29
INVAR-10, Run: 057, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 058, P, 0, 0, 13, 42, 0, 21, 42, 29, 29
INVAR-10, Run: 059, P, 0, 0, 13, 42, 0, 21, 42, 29, 29
INVAR-10, Run: 060, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 061, P, 0, 0, 19, 42, 0, 27, 42, 23, 23
INVAR-10, Run: 062, P, 0, 0, 19, 42, 0, 27, 42, 23, 23
INVAR-10, Run: 063, P, 0, 0, 19, 42, 0, 27, 42, 23, 23
INVAR-10, Run: 064, P, 0, 0, 14, 42, 0, 22, 42, 28, 28
INVAR-10, Run: 065, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 066, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 067, P, 0, 0, 22, 42, 0, 30, 42, 20, 20
INVAR-10, Run: 068, P, 0, 0, 10, 42, 0, 18, 42, 32, 32
INVAR-10, Run: 069, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 070, P, 0, 0, 20, 42, 0, 28, 42, 22, 22
INVAR-10, Run: 071, P, 0, 0, 12, 42, 0, 20, 42, 30, 30
INVAR-10, Run: 072, P, 0, 0, 20, 42, 0, 28, 42, 22, 22
INVAR-10, Run: 073, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-10, Run: 074, P, 0, 0, 15, 42, 0, 23, 42, 27, 27
INVAR-10, Run: 075, P, 0, 0, 14, 42, 0, 22, 42, 28, 28
INVAR-10, Run: 076, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 077, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 078, P, 0, 0, 9, 42, 0, 17, 42, 33, 33
INVAR-10, Run: 079, P, 0, 0, 12, 42, 0, 20, 42, 30, 30
INVAR-10, Run: 080, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 081, P, 0, 0, 10, 42, 0, 18, 42, 32, 32
INVAR-10, Run: 082, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-10, Run: 083, P, 0, 0, 14, 42, 0, 22, 42, 28, 28
INVAR-10, Run: 084, P, 0, 0, 19, 42, 0, 27, 42, 23, 23
INVAR-10, Run: 085, P, 0, 0, 20, 42, 0, 28, 42, 22, 22
INVAR-10, Run: 086, P, 0, 0, 18, 42, 0, 26, 42, 24, 24
INVAR-10, Run: 087, P, 0, 0, 24, 42, 0, 32, 42, 18, 18
INVAR-10, Run: 088, P, 0, 0, 21, 42, 0, 29, 42, 21, 21
INVAR-10, Run: 089, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 090, P, 0, 0, 15, 42, 0, 23, 42, 27, 27
INVAR-10, Run: 091, P, 0, 0, 13, 42, 0, 21, 42, 29, 29
INVAR-10, Run: 092, P, 0, 0, 15, 42, 0, 23, 42, 27, 27
INVAR-10, Run: 093, P, 0, 0, 15, 42, 0, 23, 42, 27, 27
INVAR-10, Run: 094, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-10, Run: 095, P, 0, 0, 21, 42, 0, 29, 42, 21, 21
INVAR-10, Run: 096, P, 0, 0, 20, 42, 0, 28, 42, 22, 22
INVAR-10, Run: 097, P, 0, 0, 15, 42, 0, 23, 42, 27, 27
INVAR-10, Run: 098, P, 0, 0, 15, 42, 0, 23, 42, 27, 27
INVAR-10, Run: 099, P, 0, 0, 16, 42, 0, 24, 42, 26, 26
INVAR-10, Run: 100, P, 0, 0, 17, 42, 0, 25, 42, 25, 25
INVAR-11, Run: 001, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 002, P, 0, 0, 6, 58, 0, 48, 58, 52, 52
INVAR-11, Run: 003, P, 0, 0, 12, 58, 0, 54, 58, 46, 46
INVAR-11, Run: 004, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 005, P, 0, 0, 14, 58, 0, 56, 58, 44, 44
INVAR-11, Run: 006, P, 0, 0, 7, 58, 0, 49, 58, 51, 51
INVAR-11, Run: 007, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 008, P, 0, 0, 10, 58, 0, 52, 58, 48, 48
INVAR-11, Run: 009, P, 0, 0, 8, 58, 0, 50, 58, 50, 50
INVAR-11, Run: 010, P, 0, 0, 7, 58, 0, 49, 58, 51, 51
INVAR-11, Run: 011, P, 0, 0, 0, 59, 1, 41, 58, 59, 58
INVAR-11, Run: 012, P, 0, 0, 7, 58, 0, 49, 58, 51, 51
INVAR-11, Run: 013, P, 0, 0, 4, 58, 0, 46, 58, 54, 54
INVAR-11, Run: 014, P, 0, 0, 8, 58, 0, 50, 58, 50, 50
INVAR-11, Run: 015, P, 0, 0, 6, 58, 0, 48, 58, 52, 52
INVAR-11, Run: 016, P, 0, 0, 18, 58, 0, 60, 58, 40, 40
INVAR-11, Run: 017, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 018, P, 0, 0, 6, 58, 0, 48, 58, 52, 52
INVAR-11, Run: 019, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 020, P, 0, 0, 8, 58, 0, 50, 58, 50, 50
INVAR-11, Run: 021, P, 0, 0, 5, 58, 0, 47, 58, 53, 53
INVAR-11, Run: 022, P, 0, 0, 11, 58, 0, 53, 58, 47, 47
INVAR-11, Run: 023, P, 0, 0, 10, 58, 0, 52, 58, 48, 48
INVAR-11, Run: 024, P, 0, 0, 2, 58, 0, 44, 58, 56, 56
INVAR-11, Run: 025, P, 0, 0, 12, 58, 0, 54, 58, 46, 46
INVAR-11, Run: 026, P, 0, 0, 1, 58, 0, 43, 58, 57, 57
INVAR-11, Run: 027, P, 0, 0, 10, 58, 0, 52, 58, 48, 48
INVAR-11, Run: 028, P, 0, 0, 10, 58, 0, 52, 58, 48, 48
INVAR-11, Run: 029, P, 0, 0, 4, 58, 0, 46, 58, 54, 54
INVAR-11, Run: 030, P, 0, 0, 6, 58, 0, 48, 58, 52, 52
INVAR-11, Run: 031, P, 0, 0, 5, 58, 0, 47, 58, 53, 53
INVAR-11, Run: 032, P, 0, 0, 16, 58, 0, 58, 58, 42, 42
INVAR-11, Run: 033, P, 0, 0, 14, 58, 0, 56, 58, 44, 44
INVAR-11, Run: 034, P, 0, 0, 13, 58, 0, 55, 58, 45, 45
INVAR-11, Run: 035, P, 0, 0, 8, 58, 0, 50, 58, 50, 50
INVAR-11, Run: 036, P, 0, 0, 0, 62, 4, 38, 58, 62, 58
INVAR-11, Run: 037, P, 0, 0, 8, 58, 0, 50, 58, 50, 50
INVAR-11, Run: 038, P, 0, 0, 1, 58, 0, 43, 58, 57, 57
INVAR-11, Run: 039, P, 0, 0, 6, 58, 0, 48, 58, 52, 52
INVAR-11, Run: 040, P, 0, 0, 11, 58, 0, 53, 58, 47, 47
INVAR-11, Run: 041, P, 0, 0, 12, 58, 0, 54, 58, 46, 46
INVAR-11, Run: 042, P, 0, 0, 14, 58, 0, 56, 58, 44, 44
INVAR-11, Run: 043, P, 0, 0, 2, 58, 0, 44, 58, 56, 56
INVAR-11, Run: 044, P, 0, 0, 4, 58, 0, 46, 58, 54, 54
INVAR-11, Run: 045, P, 0, 0, 13, 58, 0, 55, 58, 45, 45
INVAR-11, Run: 046, P, 0, 0, 6, 58, 0, 48, 58, 52, 52
INVAR-11, Run: 047, P, 0, 0, 19, 58, 0, 61, 58, 39, 39
INVAR-11, Run: 048, P, 0, 0, 14, 58, 0, 56, 58, 44, 44
INVAR-11, Run: 049, P, 0, 0, 10, 58, 0, 52, 58, 48, 48
INVAR-11, Run: 050, P, 0, 0, 0, 59, 1, 41, 58, 59, 58
INVAR-11, Run: 051, P, 0, 0, 2, 58, 0, 44, 58, 56, 56
INVAR-11, Run: 052, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 053, P, 0, 0, 13, 58, 0, 55, 58, 45, 45
INVAR-11, Run: 054, P, 0, 0, 7, 58, 0, 49, 58, 51, 51
INVAR-11, Run: 055, P, 0, 0, 15, 58, 0, 57, 58, 43, 43
INVAR-11, Run: 056, P, 0, 0, 6, 58, 0, 48, 58, 52, 52
INVAR-11, Run: 057, P, 0, 0, 5, 58, 0, 47, 58, 53, 53
INVAR-11, Run: 058, P, 0, 0, 17, 58, 0, 59, 58, 41, 41
INVAR-11, Run: 059, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 060, P, 0, 0, 7, 58, 0, 49, 58, 51, 51
INVAR-11, Run: 061, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 062, P, 0, 0, 12, 58, 0, 54, 58, 46, 46
INVAR-11, Run: 063, P, 0, 0, 12, 58, 0, 54, 58, 46, 46
INVAR-11, Run: 064, P, 0, 0, 11, 58, 0, 53, 58, 47, 47
INVAR-11, Run: 065, P, 0, 0, 4, 58, 0, 46, 58, 54, 54
INVAR-11, Run: 066, P, 0, 0, 11, 58, 0, 53, 58, 47, 47
INVAR-11, Run: 067, P, 0, 0, 0, 61, 3, 39, 58, 61, 58
INVAR-11, Run: 068, P, 0, 0, 8, 58, 0, 50, 58, 50, 50
INVAR-11, Run: 069, P, 0, 0, 6, 58, 0, 48, 58, 52, 52
INVAR-11, Run: 070, P, 0, 0, 11, 58, 0, 53, 58, 47, 47
INVAR-11, Run: 071, P, 0, 0, 0, 61, 3, 39, 58, 61, 58
INVAR-11, Run: 072, P, 0, 0, 8, 58, 0, 50, 58, 50, 50
INVAR-11, Run: 073, P, 0, 0, 5, 58, 0, 47, 58, 53, 53
INVAR-11, Run: 074, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 075, P, 0, 0, 13, 58, 0, 55, 58, 45, 45
INVAR-11, Run: 076, P, 0, 0, 7, 58, 0, 49, 58, 51, 51
INVAR-11, Run: 077, P, 0, 0, 0, 58, 0, 42, 58, 58, 58
INVAR-11, Run: 078, P, 0, 0, 5, 58, 0, 47, 58, 53, 53
INVAR-11, Run: 079, P, 0, 0, 16, 58, 0, 58, 58, 42, 42
INVAR-11, Run: 080, P, 0, 0, 10, 58, 0, 52, 58, 48, 48
INVAR-11, Run: 081, P, 0, 0, 8, 58, 0, 50, 58, 50, 50
INVAR-11, Run: 082, P, 0, 0, 4, 58, 0, 46, 58, 54, 54
INVAR-11, Run: 083, P, 0, 0, 10, 58, 0, 52, 58, 48, 48
INVAR-11, Run: 084, P, 0, 0, 4, 58, 0, 46, 58, 54, 54
INVAR-11, Run: 085, P, 0, 0, 0, 58, 0, 42, 58, 58, 58
INVAR-11, Run: 086, P, 0, 0, 3, 58, 0, 45, 58, 55, 55
INVAR-11, Run: 087, P, 0, 0, 19, 58, 0, 61, 58, 39, 39
INVAR-11, Run: 088, P, 0, 0, 4, 58, 0, 46, 58, 54, 54
INVAR-11, Run: 089, P, 0, 0, 4, 58, 0, 46, 58, 54, 54
INVAR-11, Run: 090, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 091, P, 0, 0, 5, 58, 0, 47, 58, 53, 53
INVAR-11, Run: 092, P, 0, 0, 7, 58, 0, 49, 58, 51, 51
INVAR-11, Run: 093, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 094, P, 0, 0, 4, 58, 0, 46, 58, 54, 54
INVAR-11, Run: 095, P, 0, 0, 10, 58, 0, 52, 58, 48, 48
INVAR-11, Run: 096, P, 0, 0, 9, 58, 0, 51, 58, 49, 49
INVAR-11, Run: 097, P, 0, 0, 10, 58, 0, 52, 58, 48, 48
INVAR-11, Run: 098, P, 0, 0, 12, 58, 0, 54, 58, 46, 46
INVAR-11, Run: 099, P, 0, 0, 3, 58, 0, 45, 58, 55, 55
INVAR-11, Run: 100, P, 0, 0, 13, 58, 0, 55, 58, 45, 45
INVAR-12, Run: 001, P, 0, 0, 36, 130, 0, 106, 130, 94, 94
INVAR-12, Run: 002, P, 0, 0, 24, 130, 0, 94, 130, 106, 106
INVAR-12, Run: 003, P, 0, 0, 32, 130, 0, 102, 130, 98, 98
INVAR-12, Run: 004, P, 0, 0, 45, 130, 0, 115, 130, 85, 85
INVAR-12, Run: 005, P, 0, 0, 22, 130, 0, 92, 130, 108, 108
INVAR-12, Run: 006, P, 0, 0, 19, 130, 0, 89, 130, 111, 111
INVAR-12, Run: 007, P, 0, 0, 26, 130, 0, 96, 130, 104, 104
INVAR-12, Run: 008, P, 0, 0, 41, 130, 0, 111, 130, 89, 89
INVAR-12, Run: 009, P, 0, 0, 52, 130, 0, 122, 130, 78, 78
INVAR-12, Run: 010, P, 0, 0, 35, 130, 0, 105, 130, 95, 95
INVAR-12, Run: 011, P, 0, 0, 42, 130, 0, 112, 130, 88, 88
INVAR-12, Run: 012, P, 0, 0, 19, 130, 0, 89, 130, 111, 111
INVAR-12, Run: 013, P, 0, 0, 39, 130, 0, 109, 130, 91, 91
INVAR-12, Run: 014, P, 0, 0, 34, 130, 0, 104, 130, 96, 96
INVAR-12, Run: 015, P, 0, 0, 30, 130, 0, 100, 130, 100, 100
INVAR-12, Run: 016, P, 0, 0, 31, 130, 0, 101, 130, 99, 99
INVAR-12, Run: 017, P, 0, 0, 27, 130, 0, 97, 130, 103, 103
INVAR-12, Run: 018, P, 0, 0, 37, 130, 0, 107, 130, 93, 93
INVAR-12, Run: 019, P, 0, 0, 41, 130, 0, 111, 130, 89, 89
INVAR-12, Run: 020, P, 0, 0, 35, 130, 0, 105, 130, 95, 95
INVAR-12, Run: 021, P, 0, 0, 27, 130, 0, 97, 130, 103, 103
INVAR-12, Run: 022, P, 0, 0, 31, 130, 0, 101, 130, 99, 99
INVAR-12, Run: 023, P, 0, 0, 38, 130, 0, 108, 130, 92, 92
INVAR-12, Run: 024, P, 0, 0, 34, 130, 0, 104, 130, 96, 96
INVAR-12, Run: 025, P, 0, 0, 27, 130, 0, 97, 130, 103, 103
INVAR-12, Run: 026, P, 0, 0, 22, 130, 0, 92, 130, 108, 108
INVAR-12, Run: 027, P, 0, 0, 38, 130, 0, 108, 130, 92, 92
INVAR-12, Run: 028, P, 0, 0, 32, 130, 0, 102, 130, 98, 98
INVAR-12, Run: 029, P, 0, 0, 36, 130, 0, 106, 130, 94, 94
INVAR-12, Run: 030, P, 0, 0, 27, 130, 0, 97, 130, 103, 103
