Input Number, Run_Number, Result@ 100, A2, F2P, F2, A1, F1, F1P, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-10, Run: 046, P, 0, 0, 0, 0, 0, 0, 5, 7, 5, 0, 11, 1, 5
INVAR-10, Run: 047, P, 0, 0, 0, 2, 0, 0, 5, 7, 3, 2, 11, 1, 5
INVAR-10, Run: 048, P, 1, 0, 0, 2, 0, 0, 5, 6, 3, 2, 11, 0, 5
INVAR-10, Run: 049, P, 0, 0, 0, 1, 0, 0, 5, 7, 4, 1, 11, 1, 5
INVAR-10, Run: 050, P, 0, 0, 0, 2, 0, 0, 5, 8, 3, 2, 10, 3, 5
INVAR-10, Run: 051, P, 0, 0, 1, 1, 0, 1, 4, 9, 4, 1, 9, 4, 4
INVAR-10, Run: 052, P, 0, 0, 1, 1, 0, 1, 4, 7, 4, 1, 11, 0, 4
INVAR-10, Run: 053, P, 0, 0, 3, 3, 0, 3, 2, 9, 2, 3, 9, 2, 2
INVAR-10, Run: 054, P, 0, 0, 0, 2, 0, 0, 5, 8, 3, 2, 10, 3, 5
INVAR-10, Run: 055, P, 0, 0, 0, 1, 0, 0, 5, 9, 4, 1, 9, 5, 5
INVAR-10, Run: 056, P, 0, 0, 2, 2, 0, 2, 3, 8, 3, 2, 10, 1, 3
INVAR-10, Run: 057, P, 0, 0, 1, 2, 0, 1, 4, 8, 3, 2, 10, 2, 4
INVAR-10, Run: 058, P, 0, 0, 1, 0, 0, 1, 4, 8, 5, 0, 10, 2, 4
INVAR-10, Run: 059, P, 1, 0, 0, 1, 0, 0, 5, 7, 4, 1, 10, 2, 5
INVAR-10, Run: 060, P, 0, 0, 0, 1, 0, 0, 5, 7, 4, 1, 11, 1, 5
INVAR-10, Run: 061, P, 0, 0, 1, 1, 0, 1, 4, 9, 4, 1, 9, 4, 4
INVAR-10, Run: 062, P, 0, 0, 0, 0, 0, 0, 5, 8, 5, 0, 10, 3, 5
INVAR-10, Run: 063, P, 1, 0, 0, 0, 0, 0, 5, 6, 5, 0, 11, 0, 5
INVAR-10, Run: 064, P, 0, 0, 2, 1, 0, 2, 3, 8, 4, 1, 10, 1, 3
INVAR-10, Run: 065, P, 0, 0, 1, 3, 0, 1, 4, 9, 2, 3, 9, 4, 4
INVAR-10, Run: 066, P, 0, 0, 2, 2, 0, 2, 3, 9, 3, 2, 9, 3, 3
INVAR-10, Run: 067, P, 0, 0, 0, 1, 0, 0, 5, 7, 4, 1, 11, 1, 5
INVAR-10, Run: 068, P, 0, 0, 0, 3, 0, 0, 5, 7, 2, 3, 11, 1, 5
INVAR-10, Run: 069, P, 0, 0, 2, 0, 0, 2, 3, 8, 5, 0, 10, 1, 3
INVAR-10, Run: 070, P, 1, 0, 0, 1, 0, 0, 5, 9, 4, 1, 8, 6, 5
INVAR-10, Run: 071, P, 0, 0, 3, 2, 0, 3, 2, 9, 3, 2, 9, 2, 2
INVAR-10, Run: 072, P, 0, 0, 1, 1, 0, 1, 4, 8, 4, 1, 10, 2, 4
INVAR-10, Run: 073, P, 5, 0, 0, 1, 0, 0, 5, 4, 4, 1, 9, 0, 5
INVAR-10, Run: 074, P, 0, 0, 3, 1, 0, 3, 2, 8, 4, 1, 10, 0, 2
INVAR-10, Run: 075, P, 1, 0, 0, 1, 0, 0, 5, 8, 4, 1, 9, 4, 5
INVAR-10, Run: 076, P, 1, 0, 0, 2, 0, 0, 5, 7, 3, 2, 10, 2, 5
INVAR-10, Run: 077, P, 0, 0, 1, 2, 0, 1, 4, 8, 3, 2, 10, 2, 4
INVAR-10, Run: 078, P, 0, 0, 2, 2, 0, 2, 3, 9, 3, 2, 9, 3, 3
INVAR-10, Run: 079, P, 0, 0, 2, 2, 0, 2, 3, 9, 3, 2, 9, 3, 3
INVAR-10, Run: 080, P, 0, 0, 1, 0, 0, 1, 4, 8, 5, 0, 10, 2, 4
INVAR-10, Run: 081, P, 0, 0, 2, 2, 0, 2, 3, 8, 3, 2, 10, 1, 3
INVAR-10, Run: 082, P, 0, 0, 0, 3, 0, 0, 5, 7, 2, 3, 11, 1, 5
INVAR-10, Run: 083, P, 0, 0, 0, 2, 0, 0, 5, 7, 3, 2, 11, 1, 5
INVAR-10, Run: 084, P, 0, 0, 1, 2, 0, 1, 4, 9, 3, 2, 9, 4, 4
INVAR-10, Run: 085, P, 0, 0, 0, 2, 0, 0, 5, 8, 3, 2, 10, 3, 5
INVAR-10, Run: 086, P, 0, 0, 1, 1, 0, 1, 4, 8, 4, 1, 10, 2, 4
INVAR-10, Run: 087, P, 0, 0, 0, 2, 0, 0, 5, 8, 3, 2, 10, 3, 5
INVAR-10, Run: 088, P, 0, 0, 0, 2, 0, 0, 5, 8, 3, 2, 10, 3, 5
INVAR-10, Run: 089, P, 0, 0, 1, 1, 0, 1, 4, 7, 4, 1, 11, 0, 4
INVAR-10, Run: 090, P, 0, 0, 3, 2, 0, 3, 2, 9, 3, 2, 9, 2, 2
INVAR-10, Run: 091, P, 0, 0, 3, 2, 0, 3, 2, 9, 3, 2, 9, 2, 2
INVAR-10, Run: 092, P, 0, 0, 0, 1, 0, 0, 5, 7, 4, 1, 11, 1, 5
INVAR-10, Run: 093, P, 0, 0, 1, 1, 0, 1, 4, 7, 4, 1, 11, 0, 4
INVAR-10, Run: 094, P, 0, 0, 1, 0, 0, 1, 4, 8, 5, 0, 10, 2, 4
INVAR-10, Run: 095, P, 0, 0, 0, 2, 0, 0, 5, 7, 3, 2, 11, 1, 5
INVAR-10, Run: 096, P, 0, 0, 0, 1, 0, 0, 5, 9, 4, 1, 9, 5, 5
INVAR-10, Run: 097, P, 0, 0, 1, 1, 0, 1, 4, 8, 4, 1, 10, 2, 4
INVAR-10, Run: 098, P, 0, 0, 2, 2, 0, 2, 3, 8, 3, 2, 10, 1, 3
INVAR-10, Run: 099, P, 0, 0, 0, 0, 0, 0, 5, 7, 5, 0, 11, 1, 5
INVAR-10, Run: 100, P, 0, 0, 1, 0, 0, 1, 4, 7, 5, 0, 11, 0, 4
INVAR-11, Run: 001, P, 1, 0, 0, 88, 0, 0, 5, 41, 5, 0, 44, 2, 5
INVAR-11, Run: 002, P, 11, 0, 0, 88, 0, 0, 5, 35, 5, 0, 40, 0, 5
INVAR-11, Run: 003, P, 1, 0, 0, 88, 0, 0, 5, 41, 5, 0, 44, 2, 5
INVAR-11, Run: 004, P, 2, 0, 0, 88, 0, 0, 5, 41, 5, 0, 43, 3, 5
INVAR-11, Run: 005, P, 23, 0, 0, 88, 0, 0, 5, 30, 5, 0, 33, 2, 5
INVAR-11, Run: 006, P, 1, 0, 0, 88, 0, 0, 5, 42, 5, 0, 43, 4, 5
INVAR-11, Run: 007, P, 0, 0, 0, 88, 0, 0, 5, 41, 5, 0, 45, 1, 5
INVAR-11, Run: 008, P, 0, 0, 0, 88, 0, 0, 5, 43, 5, 0, 43, 5, 5
INVAR-11, Run: 009, P, 9, 0, 0, 88, 0, 0, 5, 36, 5, 0, 41, 0, 5
INVAR-11, Run: 010, P, 5, 0, 0, 88, 0, 0, 5, 38, 5, 0, 43, 0, 5
INVAR-11, Run: 011, P, 0, 0, 2, 88, 0, 2, 3, 43, 5, 0, 43, 3, 3
INVAR-11, Run: 012, P, 5, 0, 0, 88, 0, 0, 5, 39, 5, 0, 42, 2, 5
INVAR-11, Run: 013, P, 0, 0, 0, 89, 0, 0, 5, 41, 4, 1, 45, 1, 5
INVAR-11, Run: 014, P, 0, 0, 0, 88, 0, 0, 5, 41, 5, 0, 45, 1, 5
INVAR-11, Run: 015, P, 0, 0, 1, 88, 0, 1, 4, 41, 5, 0, 45, 0, 4
INVAR-11, Run: 016, P, 3, 0, 0, 88, 0, 0, 5, 39, 5, 0, 44, 0, 5
INVAR-11, Run: 017, P, 1, 0, 0, 88, 0, 0, 5, 41, 5, 0, 44, 2, 5
INVAR-11, Run: 018, P, 0, 0, 1, 88, 0, 1, 4, 43, 5, 0, 43, 4, 4
INVAR-11, Run: 019, P, 3, 0, 0, 89, 0, 0, 5, 39, 4, 1, 44, 0, 5
INVAR-11, Run: 020, P, 5, 0, 0, 88, 0, 0, 5, 39, 5, 0, 42, 2, 5
INVAR-11, Run: 021, P, 0, 0, 1, 88, 0, 1, 4, 42, 5, 0, 44, 2, 4
INVAR-11, Run: 022, P, 0, 0, 1, 89, 0, 1, 4, 41, 4, 1, 45, 0, 4
INVAR-11, Run: 023, P, 0, 0, 0, 88, 0, 0, 5, 41, 5, 0, 45, 1, 5
INVAR-11, Run: 024, P, 0, 0, 0, 88, 0, 0, 5, 41, 5, 0, 45, 1, 5
INVAR-11, Run: 025, P, 7, 0, 0, 89, 0, 0, 5, 38, 4, 1, 41, 2, 5
INVAR-11, Run: 026, P, 0, 0, 1, 89, 0, 1, 4, 43, 4, 1, 43, 4, 4
INVAR-11, Run: 027, P, 5, 0, 0, 88, 0, 0, 5, 38, 5, 0, 43, 0, 5
INVAR-11, Run: 028, P, 0, 0, 1, 88, 0, 1, 4, 41, 5, 0, 45, 0, 4
INVAR-11, Run: 029, P, 1, 0, 0, 88, 0, 0, 5, 40, 5, 0, 45, 0, 5
INVAR-11, Run: 030, P, 0, 0, 1, 88, 0, 1, 4, 42, 5, 0, 44, 2, 4
INVAR-11, Run: 031, P, 11, 0, 0, 88, 0, 0, 5, 35, 5, 0, 40, 0, 5
INVAR-11, Run: 032, P, 1, 0, 0, 88, 0, 0, 5, 41, 5, 0, 44, 2, 5
INVAR-11, Run: 033, P, 7, 0, 0, 88, 0, 0, 5, 37, 5, 0, 42, 0, 5
INVAR-11, Run: 034, P, 0, 0, 0, 88, 0, 0, 5, 41, 5, 0, 45, 1, 5
INVAR-11, Run: 035, P, 17, 0, 0, 88, 0, 0, 5, 32, 5, 0, 37, 0, 5
INVAR-11, Run: 036, P, 5, 0, 0, 88, 0, 0, 5, 39, 5, 0, 42, 2, 5
INVAR-11, Run: 037, P, 0, 0, 1, 88, 0, 1, 4, 43, 5, 0, 43, 4, 4
INVAR-11, Run: 038, P, 0, 0, 0, 88, 0, 0, 5, 41, 5, 0, 45, 1, 5
INVAR-11, Run: 039, P, 14, 0, 0, 88, 0, 0, 5, 34, 5, 0, 38, 1, 5
INVAR-11, Run: 040, P, 0, 0, 3, 88, 0, 3, 2, 43, 5, 0, 43, 2, 2
INVAR-11, Run: 041, P, 2, 0, 0, 88, 0, 0, 5, 40, 5, 0, 44, 1, 5
INVAR-11, Run: 042, P, 6, 0, 0, 88, 0, 0, 5, 38, 5, 0, 42, 1, 5
INVAR-11, Run: 043, P, 0, 0, 1, 88, 0, 1, 4, 41, 5, 0, 45, 0, 4
INVAR-11, Run: 044, P, 1, 0, 0, 88, 0, 0, 5, 40, 5, 0, 45, 0, 5
INVAR-11, Run: 045, P, 0, 0, 0, 88, 0, 0, 5, 41, 5, 0, 45, 1, 5
INVAR-11, Run: 046, P, 0, 0, 0, 88, 0, 0, 5, 41, 5, 0, 45, 1, 5
INVAR-11, Run: 047, P, 1, 0, 0, 88, 0, 0, 5, 40, 5, 0, 45, 0, 5
INVAR-11, Run: 048, P, 1, 0, 0, 88, 0, 0, 5, 41, 5, 0, 44, 2, 5
INVAR-11, Run: 049, P, 13, 0, 0, 88, 0, 0, 5, 34, 5, 0, 39, 0, 5
INVAR-11, Run: 050, P, 4, 0, 0, 89, 0, 0, 5, 40, 4, 1, 42, 3, 5
INVAR-11, Run: 051, P, 0, 0, 1, 88, 0, 1, 4, 41, 5, 0, 45, 0, 4
INVAR-11, Run: 052, P, 19, 0, 0, 88, 0, 0, 5, 31, 5, 0, 36, 0, 5
INVAR-11, Run: 053, P, 1, 0, 0, 88, 0, 0, 5, 41, 5, 0, 44, 2, 5
INVAR-11, Run: 054, P, 11, 0, 0, 88, 0, 0, 5, 35, 5, 0, 40, 0, 5
INVAR-11, Run: 055, P, 0, 0, 1, 88, 0, 1, 4, 42, 5, 0, 44, 2, 4
INVAR-11, Run: 056, P, 0, 0, 0, 88, 0, 0, 5, 42, 5, 0, 44, 3, 5
