Input Number, Run_Number, Result@ 100, X, V, Y, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 1, 0, 0, 7, 12, 2, 14, 5
INVAR-1, Run: 002, P, 0, 0, 2, 8, 12, 0, 6, 14
INVAR-1, Run: 003, F, 1, 0, 0, 7, 12, 2, 14, 5
INVAR-1, Run: 004, F, 1, 0, 0, 7, 12, 2, 15, 4
INVAR-1, Run: 005, P, 0, 0, 2, 8, 12, 0, 7, 13
INVAR-1, Run: 006, F, 1, 0, 0, 7, 12, 2, 16, 3
INVAR-1, Run: 007, F, 1, 0, 0, 7, 12, 2, 10, 9
INVAR-1, Run: 008, F, 1, 0, 0, 7, 12, 2, 13, 6
INVAR-1, Run: 009, F, 1, 0, 0, 7, 12, 2, 15, 4
INVAR-1, Run: 010, F, 1, 0, 0, 7, 12, 2, 12, 7
INVAR-1, Run: 011, F, 1, 0, 0, 7, 12, 2, 12, 7
INVAR-1, Run: 012, F, 1, 0, 0, 7, 12, 2, 15, 4
INVAR-1, Run: 013, P, 0, 0, 2, 8, 12, 0, 5, 15
INVAR-1, Run: 014, F, 1, 0, 0, 7, 12, 2, 13, 6
INVAR-1, Run: 015, F, 1, 0, 0, 7, 12, 2, 17, 2
INVAR-1, Run: 016, F, 1, 0, 0, 6, 11, 5, 15, 2
INVAR-1, Run: 017, F, 1, 0, 0, 7, 12, 2, 17, 2
INVAR-1, Run: 018, F, 1, 0, 0, 7, 12, 2, 16, 3
INVAR-1, Run: 019, F, 1, 0, 0, 7, 12, 2, 15, 4
INVAR-1, Run: 020, F, 1, 0, 0, 7, 12, 2, 15, 4
INVAR-1, Run: 021, P, 0, 0, 2, 8, 12, 0, 2, 18
INVAR-1, Run: 022, F, 1, 0, 0, 7, 12, 2, 10, 9
INVAR-1, Run: 023, F, 1, 0, 0, 7, 12, 2, 12, 7
INVAR-1, Run: 024, F, 0, 0, 2, 7, 11, 3, 4, 14
INVAR-1, Run: 025, F, 1, 0, 0, 7, 12, 2, 16, 3
INVAR-1, Run: 026, F, 1, 0, 0, 7, 12, 2, 13, 6
INVAR-1, Run: 027, P, 0, 0, 2, 8, 12, 0, 3, 17
INVAR-1, Run: 028, F, 0, 0, 2, 7, 11, 3, 1, 17
INVAR-1, Run: 029, F, 1, 0, 0, 7, 12, 2, 19, 0
INVAR-1, Run: 030, F, 1, 0, 0, 6, 11, 5, 15, 2
INVAR-1, Run: 031, F, 1, 0, 0, 7, 12, 2, 12, 7
INVAR-1, Run: 032, F, 1, 0, 0, 7, 12, 2, 14, 5
INVAR-1, Run: 033, P, 0, 0, 2, 8, 12, 0, 4, 16
