Input Number, Run_Number, Result@ 100, A1, F1, F1P, A2, F2, F2P
INVAR-1, Run: 001, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 002, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 003, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 004, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 005, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 006, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 007, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 008, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 009, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 010, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 011, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 012, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 013, P, 19, 0, 0, 35, 0, 0
INVAR-1, Run: 014, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 015, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 016, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 017, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 018, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 019, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 020, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 021, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 022, P, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 023, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 024, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 025, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 026, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 027, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 028, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 029, P, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 030, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 031, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 032, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 033, P, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 034, P, 21, 0, 0, 34, 0, 0
INVAR-1, Run: 035, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 036, P, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 037, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 038, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 039, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 040, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 041, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 042, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 043, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 044, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 045, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 046, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 047, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 048, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 049, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 050, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 051, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 052, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 053, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 054, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 055, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 056, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 057, P, 20, 0, 0, 35, 0, 0
INVAR-1, Run: 058, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 059, P, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 060, P, 20, 0, 0, 34, 0, 0
INVAR-1, Run: 061, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 062, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 063, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 064, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 065, P, 20, 0, 0, 33, 0, 0
INVAR-1, Run: 066, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 067, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 068, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 069, P, 19, 0, 0, 33, 0, 0
INVAR-1, Run: 070, P, 19, 0, 0, 34, 0, 0
INVAR-1, Run: 071, P, 19, 0, 0, 34, 0, 0
