Input Number, Run_Number, Result@ 100, X1, X2, Y, Reaction1, Reaction2
INVAR-1, Run: 048, F, 20, 0, 12, 18, 6
INVAR-1, Run: 049, F, 19, 0, 14, 19, 5
INVAR-1, Run: 050, F, 20, 0, 12, 18, 6
INVAR-1, Run: 051, F, 21, 0, 10, 17, 7
INVAR-1, Run: 052, F, 19, 0, 14, 19, 5
INVAR-1, Run: 053, F, 17, 0, 18, 21, 3
INVAR-1, Run: 054, F, 20, 0, 12, 18, 6
INVAR-1, Run: 055, F, 20, 0, 12, 18, 6
INVAR-1, Run: 056, F, 20, 0, 12, 18, 6
INVAR-1, Run: 057, F, 19, 0, 14, 19, 5
INVAR-1, Run: 058, F, 19, 0, 14, 19, 5
INVAR-1, Run: 059, F, 18, 0, 16, 20, 4
INVAR-1, Run: 060, F, 21, 0, 10, 17, 7
INVAR-1, Run: 061, F, 19, 0, 14, 19, 5
INVAR-1, Run: 062, F, 20, 0, 12, 18, 6
INVAR-1, Run: 063, F, 17, 0, 18, 21, 3
INVAR-1, Run: 064, F, 20, 0, 12, 18, 6
INVAR-1, Run: 065, F, 19, 0, 14, 19, 5
INVAR-1, Run: 066, F, 21, 0, 10, 17, 7
INVAR-1, Run: 067, F, 18, 0, 16, 20, 4
INVAR-1, Run: 068, F, 20, 0, 12, 18, 6
INVAR-1, Run: 069, F, 19, 0, 14, 19, 5
INVAR-1, Run: 070, F, 21, 0, 10, 17, 7
INVAR-1, Run: 071, F, 19, 0, 14, 19, 5
INVAR-1, Run: 072, F, 20, 0, 12, 18, 6
INVAR-1, Run: 073, F, 18, 0, 16, 20, 4
INVAR-1, Run: 074, F, 20, 0, 12, 18, 6
INVAR-1, Run: 075, F, 20, 0, 12, 18, 6
INVAR-1, Run: 076, F, 17, 0, 18, 21, 3
INVAR-1, Run: 077, F, 18, 0, 16, 20, 4
INVAR-1, Run: 078, F, 18, 0, 16, 20, 4
INVAR-1, Run: 079, F, 20, 0, 12, 18, 6
INVAR-1, Run: 080, F, 23, 0, 6, 15, 9
INVAR-1, Run: 081, F, 18, 0, 16, 20, 4
INVAR-1, Run: 082, F, 17, 0, 18, 21, 3
INVAR-1, Run: 083, F, 19, 0, 14, 19, 5
INVAR-1, Run: 084, F, 20, 0, 12, 18, 6
INVAR-1, Run: 085, F, 18, 0, 16, 20, 4
INVAR-1, Run: 086, F, 18, 0, 16, 20, 4
INVAR-1, Run: 087, F, 20, 0, 12, 18, 6
INVAR-1, Run: 088, F, 22, 0, 8, 16, 8
INVAR-1, Run: 089, F, 18, 0, 16, 20, 4
INVAR-1, Run: 090, F, 21, 0, 10, 17, 7
INVAR-1, Run: 091, F, 19, 0, 14, 19, 5
INVAR-1, Run: 092, F, 19, 0, 14, 19, 5
INVAR-1, Run: 093, F, 22, 0, 8, 16, 8
INVAR-1, Run: 094, F, 21, 0, 10, 17, 7
INVAR-1, Run: 095, F, 17, 0, 18, 21, 3
INVAR-1, Run: 096, F, 22, 0, 8, 16, 8
INVAR-1, Run: 097, F, 21, 0, 10, 17, 7
INVAR-1, Run: 098, F, 21, 0, 10, 17, 7
INVAR-1, Run: 099, F, 19, 0, 14, 19, 5
INVAR-1, Run: 100, F, 18, 0, 16, 20, 4
INVAR-10, Run: 001, F, 21, 0, 16, 29, 13
INVAR-10, Run: 002, F, 18, 0, 22, 32, 10
INVAR-10, Run: 003, F, 19, 0, 20, 31, 11
INVAR-10, Run: 004, F, 18, 0, 22, 32, 10
INVAR-10, Run: 005, F, 19, 0, 20, 31, 11
INVAR-10, Run: 006, F, 22, 0, 14, 28, 14
INVAR-10, Run: 007, F, 20, 0, 18, 30, 12
INVAR-10, Run: 008, F, 19, 0, 20, 31, 11
INVAR-10, Run: 009, F, 20, 0, 18, 30, 12
INVAR-10, Run: 010, F, 22, 0, 14, 28, 14
INVAR-10, Run: 011, F, 19, 0, 20, 31, 11
INVAR-10, Run: 012, F, 18, 0, 22, 32, 10
INVAR-10, Run: 013, F, 21, 0, 16, 29, 13
INVAR-10, Run: 014, F, 21, 0, 16, 29, 13
INVAR-10, Run: 015, F, 20, 0, 18, 30, 12
INVAR-10, Run: 016, F, 22, 0, 14, 28, 14
INVAR-10, Run: 017, F, 19, 0, 20, 31, 11
INVAR-10, Run: 018, F, 20, 0, 18, 30, 12
INVAR-10, Run: 019, F, 21, 0, 16, 29, 13
INVAR-10, Run: 020, F, 21, 0, 16, 29, 13
INVAR-10, Run: 021, F, 17, 0, 24, 33, 9
INVAR-10, Run: 022, F, 19, 0, 20, 31, 11
INVAR-10, Run: 023, F, 21, 0, 16, 29, 13
INVAR-10, Run: 024, F, 20, 0, 18, 30, 12
INVAR-10, Run: 025, F, 20, 0, 18, 30, 12
INVAR-10, Run: 026, F, 18, 0, 22, 32, 10
INVAR-10, Run: 027, F, 19, 0, 20, 31, 11
INVAR-10, Run: 028, F, 21, 0, 16, 29, 13
INVAR-10, Run: 029, F, 21, 0, 16, 29, 13
INVAR-10, Run: 030, F, 21, 0, 16, 29, 13
INVAR-10, Run: 031, F, 20, 0, 18, 30, 12
INVAR-10, Run: 032, F, 18, 0, 22, 32, 10
INVAR-10, Run: 033, F, 20, 0, 18, 30, 12
INVAR-10, Run: 034, F, 19, 0, 20, 31, 11
INVAR-10, Run: 035, F, 19, 0, 20, 31, 11
INVAR-10, Run: 036, F, 17, 0, 24, 33, 9
INVAR-10, Run: 037, F, 21, 0, 16, 29, 13
INVAR-10, Run: 038, F, 21, 0, 16, 29, 13
INVAR-10, Run: 039, F, 18, 0, 22, 32, 10
INVAR-10, Run: 040, F, 19, 0, 20, 31, 11
INVAR-10, Run: 041, F, 21, 0, 16, 29, 13
INVAR-10, Run: 042, F, 22, 0, 14, 28, 14
INVAR-10, Run: 043, F, 22, 0, 14, 28, 14
INVAR-10, Run: 044, F, 18, 0, 22, 32, 10
INVAR-10, Run: 045, F, 21, 0, 16, 29, 13
INVAR-10, Run: 046, F, 20, 0, 18, 30, 12
INVAR-10, Run: 047, F, 22, 0, 14, 28, 14
INVAR-10, Run: 048, F, 20, 0, 18, 30, 12
INVAR-10, Run: 049, F, 17, 0, 24, 33, 9
INVAR-10, Run: 050, F, 19, 0, 20, 31, 11
INVAR-10, Run: 051, F, 18, 0, 22, 32, 10
INVAR-10, Run: 052, F, 19, 0, 20, 31, 11
INVAR-10, Run: 053, F, 21, 0, 16, 29, 13
INVAR-10, Run: 054, F, 20, 0, 18, 30, 12
INVAR-10, Run: 055, F, 19, 0, 20, 31, 11
INVAR-10, Run: 056, F, 16, 0, 26, 34, 8
INVAR-10, Run: 057, F, 19, 0, 20, 31, 11
INVAR-10, Run: 058, F, 20, 0, 18, 30, 12
INVAR-10, Run: 059, F, 19, 0, 20, 31, 11
INVAR-10, Run: 060, F, 22, 0, 14, 28, 14
INVAR-10, Run: 061, F, 17, 0, 24, 33, 9
INVAR-10, Run: 062, F, 17, 0, 24, 33, 9
INVAR-10, Run: 063, F, 21, 0, 16, 29, 13
INVAR-10, Run: 064, F, 18, 0, 22, 32, 10
INVAR-10, Run: 065, F, 19, 0, 20, 31, 11
INVAR-10, Run: 066, F, 20, 0, 18, 30, 12
INVAR-10, Run: 067, F, 20, 0, 18, 30, 12
INVAR-10, Run: 068, F, 19, 0, 20, 31, 11
INVAR-10, Run: 069, F, 20, 0, 18, 30, 12
INVAR-10, Run: 070, F, 19, 0, 20, 31, 11
INVAR-10, Run: 071, F, 20, 0, 18, 30, 12
INVAR-10, Run: 072, F, 21, 0, 16, 29, 13
INVAR-10, Run: 073, F, 19, 0, 20, 31, 11
INVAR-10, Run: 074, F, 19, 0, 20, 31, 11
INVAR-10, Run: 075, F, 18, 0, 22, 32, 10
INVAR-10, Run: 076, F, 19, 0, 20, 31, 11
INVAR-10, Run: 077, F, 18, 0, 22, 32, 10
INVAR-10, Run: 078, F, 18, 0, 22, 32, 10
INVAR-10, Run: 079, F, 19, 0, 20, 31, 11
INVAR-10, Run: 080, F, 23, 0, 12, 27, 15
INVAR-10, Run: 081, F, 21, 0, 16, 29, 13
INVAR-10, Run: 082, F, 18, 0, 22, 32, 10
INVAR-10, Run: 083, F, 23, 0, 12, 27, 15
INVAR-10, Run: 084, F, 18, 0, 22, 32, 10
INVAR-10, Run: 085, F, 19, 0, 20, 31, 11
INVAR-10, Run: 086, F, 20, 0, 18, 30, 12
INVAR-10, Run: 087, F, 18, 0, 22, 32, 10
INVAR-10, Run: 088, F, 20, 0, 18, 30, 12
INVAR-10, Run: 089, F, 22, 0, 14, 28, 14
INVAR-10, Run: 090, F, 19, 0, 20, 31, 11
INVAR-10, Run: 091, F, 23, 0, 12, 27, 15
INVAR-10, Run: 092, F, 20, 0, 18, 30, 12
INVAR-10, Run: 093, F, 19, 0, 20, 31, 11
INVAR-10, Run: 094, F, 18, 0, 22, 32, 10
INVAR-10, Run: 095, F, 20, 0, 18, 30, 12
INVAR-10, Run: 096, F, 18, 0, 22, 32, 10
INVAR-10, Run: 097, F, 20, 0, 18, 30, 12
INVAR-10, Run: 098, F, 16, 0, 26, 34, 8
INVAR-10, Run: 099, F, 18, 0, 22, 32, 10
INVAR-10, Run: 100, F, 19, 0, 20, 31, 11
INVAR-11, Run: 001, F, 54, 0, 34, 46, 12
INVAR-11, Run: 002, F, 56, 0, 30, 44, 14
INVAR-11, Run: 003, F, 52, 0, 38, 48, 10
INVAR-11, Run: 004, F, 56, 0, 30, 44, 14
INVAR-11, Run: 005, F, 54, 0, 34, 46, 12
INVAR-11, Run: 006, F, 55, 0, 32, 45, 13
INVAR-11, Run: 007, F, 52, 0, 38, 48, 10
INVAR-11, Run: 008, F, 58, 0, 26, 42, 16
INVAR-11, Run: 009, F, 54, 0, 34, 46, 12
INVAR-11, Run: 010, F, 55, 0, 32, 45, 13
INVAR-11, Run: 011, F, 54, 0, 34, 46, 12
INVAR-11, Run: 012, F, 54, 0, 34, 46, 12
INVAR-11, Run: 013, F, 54, 0, 34, 46, 12
INVAR-11, Run: 014, F, 54, 0, 34, 46, 12
INVAR-11, Run: 015, F, 54, 0, 34, 46, 12
INVAR-11, Run: 016, F, 52, 0, 38, 48, 10
INVAR-11, Run: 017, F, 53, 0, 36, 47, 11
INVAR-11, Run: 018, F, 53, 0, 36, 47, 11
INVAR-11, Run: 019, F, 53, 0, 36, 47, 11
INVAR-11, Run: 020, F, 57, 0, 28, 43, 15
INVAR-11, Run: 021, F, 55, 0, 32, 45, 13
INVAR-11, Run: 022, F, 54, 0, 34, 46, 12
INVAR-11, Run: 023, F, 55, 0, 32, 45, 13
INVAR-11, Run: 024, F, 55, 0, 32, 45, 13
INVAR-11, Run: 025, F, 53, 0, 36, 47, 11
INVAR-11, Run: 026, F, 56, 0, 30, 44, 14
INVAR-11, Run: 027, F, 52, 0, 38, 48, 10
INVAR-11, Run: 028, F, 55, 0, 32, 45, 13
INVAR-11, Run: 029, F, 54, 0, 34, 46, 12
INVAR-11, Run: 030, F, 52, 0, 38, 48, 10
INVAR-11, Run: 031, F, 53, 0, 36, 47, 11
INVAR-11, Run: 032, F, 51, 0, 40, 49, 9
INVAR-11, Run: 033, F, 53, 0, 36, 47, 11
INVAR-11, Run: 034, F, 50, 0, 42, 50, 8
INVAR-11, Run: 035, F, 56, 0, 30, 44, 14
INVAR-11, Run: 036, F, 56, 0, 30, 44, 14
INVAR-11, Run: 037, F, 55, 0, 32, 45, 13
INVAR-11, Run: 038, F, 57, 0, 28, 43, 15
INVAR-11, Run: 039, F, 55, 0, 32, 45, 13
INVAR-11, Run: 040, F, 57, 0, 28, 43, 15
INVAR-11, Run: 041, F, 53, 0, 36, 47, 11
INVAR-11, Run: 042, F, 56, 0, 30, 44, 14
INVAR-11, Run: 043, F, 54, 0, 34, 46, 12
INVAR-11, Run: 044, F, 51, 0, 40, 49, 9
INVAR-11, Run: 045, F, 54, 0, 34, 46, 12
INVAR-11, Run: 046, F, 53, 0, 36, 47, 11
INVAR-11, Run: 047, F, 58, 0, 26, 42, 16
INVAR-11, Run: 048, F, 56, 0, 30, 44, 14
INVAR-11, Run: 049, F, 58, 0, 26, 42, 16
INVAR-11, Run: 050, F, 54, 0, 34, 46, 12
INVAR-11, Run: 051, F, 55, 0, 32, 45, 13
INVAR-11, Run: 052, F, 55, 0, 32, 45, 13
INVAR-11, Run: 053, F, 55, 0, 32, 45, 13
INVAR-11, Run: 054, F, 55, 0, 32, 45, 13
INVAR-11, Run: 055, F, 57, 0, 28, 43, 15
INVAR-11, Run: 056, F, 54, 0, 34, 46, 12
INVAR-11, Run: 057, F, 56, 0, 30, 44, 14
INVAR-11, Run: 058, F, 52, 0, 38, 48, 10
INVAR-11, Run: 059, F, 56, 0, 30, 44, 14
INVAR-11, Run: 060, F, 56, 0, 30, 44, 14
INVAR-11, Run: 061, F, 50, 0, 42, 50, 8
INVAR-11, Run: 062, F, 52, 0, 38, 48, 10
INVAR-11, Run: 063, F, 53, 0, 36, 47, 11
INVAR-11, Run: 064, F, 50, 0, 42, 50, 8
INVAR-11, Run: 065, F, 54, 0, 34, 46, 12
INVAR-11, Run: 066, F, 57, 0, 28, 43, 15
INVAR-11, Run: 067, F, 57, 0, 28, 43, 15
INVAR-11, Run: 068, F, 58, 0, 26, 42, 16
INVAR-11, Run: 069, F, 52, 0, 38, 48, 10
INVAR-11, Run: 070, F, 54, 0, 34, 46, 12
INVAR-11, Run: 071, F, 54, 0, 34, 46, 12
INVAR-11, Run: 072, F, 55, 0, 32, 45, 13
INVAR-11, Run: 073, F, 57, 0, 28, 43, 15
INVAR-11, Run: 074, F, 55, 0, 32, 45, 13
INVAR-11, Run: 075, F, 55, 0, 32, 45, 13
INVAR-11, Run: 076, F, 56, 0, 30, 44, 14
INVAR-11, Run: 077, F, 55, 0, 32, 45, 13
INVAR-11, Run: 078, F, 55, 0, 32, 45, 13
INVAR-11, Run: 079, F, 56, 0, 30, 44, 14
INVAR-11, Run: 080, F, 55, 0, 32, 45, 13
INVAR-11, Run: 081, F, 56, 0, 30, 44, 14
INVAR-11, Run: 082, F, 56, 0, 30, 44, 14
INVAR-11, Run: 083, F, 55, 0, 32, 45, 13
INVAR-11, Run: 084, F, 54, 0, 34, 46, 12
INVAR-11, Run: 085, F, 56, 0, 30, 44, 14
INVAR-11, Run: 086, F, 54, 0, 34, 46, 12
INVAR-11, Run: 087, F, 56, 0, 30, 44, 14
INVAR-11, Run: 088, F, 55, 0, 32, 45, 13
INVAR-11, Run: 089, F, 51, 0, 40, 49, 9
INVAR-11, Run: 090, F, 54, 0, 34, 46, 12
INVAR-11, Run: 091, F, 53, 0, 36, 47, 11
INVAR-11, Run: 092, F, 53, 0, 36, 47, 11
INVAR-11, Run: 093, F, 55, 0, 32, 45, 13
INVAR-11, Run: 094, F, 53, 0, 36, 47, 11
INVAR-11, Run: 095, F, 54, 0, 34, 46, 12
INVAR-11, Run: 096, F, 57, 0, 28, 43, 15
INVAR-11, Run: 097, F, 54, 0, 34, 46, 12
INVAR-11, Run: 098, F, 54, 0, 34, 46, 12
INVAR-11, Run: 099, F, 54, 0, 34, 46, 12
INVAR-11, Run: 100, F, 56, 0, 30, 44, 14
INVAR-12, Run: 001, F, 93, 0, 84, 107, 23
INVAR-12, Run: 002, F, 104, 0, 62, 96, 34
INVAR-12, Run: 003, F, 98, 0, 74, 102, 28
INVAR-12, Run: 004, F, 102, 0, 66, 98, 32
INVAR-12, Run: 005, F, 105, 0, 60, 95, 35
INVAR-12, Run: 006, F, 101, 0, 68, 99, 31
INVAR-12, Run: 007, F, 102, 0, 66, 98, 32
INVAR-12, Run: 008, F, 95, 0, 80, 105, 25
INVAR-12, Run: 009, F, 104, 0, 62, 96, 34
INVAR-12, Run: 010, F, 100, 0, 70, 100, 30
INVAR-12, Run: 011, F, 99, 0, 72, 101, 29
INVAR-12, Run: 012, F, 104, 0, 62, 96, 34
INVAR-12, Run: 013, F, 102, 0, 66, 98, 32
INVAR-12, Run: 014, F, 101, 0, 68, 99, 31
INVAR-12, Run: 015, F, 98, 0, 74, 102, 28
INVAR-12, Run: 016, F, 104, 0, 62, 96, 34
INVAR-12, Run: 017, F, 106, 0, 58, 94, 36
INVAR-12, Run: 018, F, 99, 0, 72, 101, 29
INVAR-12, Run: 019, F, 99, 0, 72, 101, 29
INVAR-12, Run: 020, F, 95, 0, 80, 105, 25
INVAR-12, Run: 021, F, 97, 0, 76, 103, 27
INVAR-12, Run: 022, F, 96, 0, 78, 104, 26
INVAR-12, Run: 023, F, 101, 0, 68, 99, 31
INVAR-12, Run: 024, F, 103, 0, 64, 97, 33
INVAR-12, Run: 025, F, 99, 0, 72, 101, 29
INVAR-12, Run: 026, F, 95, 0, 80, 105, 25
INVAR-12, Run: 027, F, 100, 0, 70, 100, 30
INVAR-12, Run: 028, F, 99, 0, 72, 101, 29
INVAR-12, Run: 029, F, 96, 0, 78, 104, 26
INVAR-12, Run: 030, F, 99, 0, 72, 101, 29
INVAR-12, Run: 031, F, 99, 0, 72, 101, 29
INVAR-12, Run: 032, F, 97, 0, 76, 103, 27
INVAR-12, Run: 033, F, 103, 0, 64, 97, 33
INVAR-12, Run: 034, F, 103, 0, 64, 97, 33
INVAR-12, Run: 035, F, 99, 0, 72, 101, 29
INVAR-12, Run: 036, F, 104, 0, 62, 96, 34
INVAR-12, Run: 037, F, 94, 0, 82, 106, 24
INVAR-12, Run: 038, F, 97, 0, 76, 103, 27
INVAR-12, Run: 039, F, 104, 0, 62, 96, 34
INVAR-12, Run: 040, F, 90, 0, 90, 110, 20
INVAR-12, Run: 041, F, 95, 0, 80, 105, 25
INVAR-12, Run: 042, F, 95, 0, 80, 105, 25
INVAR-12, Run: 043, F, 100, 0, 70, 100, 30
INVAR-12, Run: 044, F, 100, 0, 70, 100, 30
INVAR-12, Run: 045, F, 103, 0, 64, 97, 33
INVAR-12, Run: 046, F, 102, 0, 66, 98, 32
INVAR-12, Run: 047, F, 107, 0, 56, 93, 37
INVAR-12, Run: 048, F, 100, 0, 70, 100, 30
INVAR-12, Run: 049, F, 96, 0, 78, 104, 26
INVAR-12, Run: 050, F, 103, 0, 64, 97, 33
INVAR-12, Run: 051, F, 102, 0, 66, 98, 32
INVAR-12, Run: 052, F, 103, 0, 64, 97, 33
INVAR-12, Run: 053, F, 100, 0, 70, 100, 30
INVAR-12, Run: 054, F, 99, 0, 72, 101, 29
INVAR-12, Run: 055, F, 99, 0, 72, 101, 29
INVAR-12, Run: 056, F, 101, 0, 68, 99, 31
INVAR-12, Run: 057, F, 108, 0, 54, 92, 38
INVAR-12, Run: 058, F, 100, 0, 70, 100, 30
INVAR-12, Run: 059, F, 101, 0, 68, 99, 31
INVAR-12, Run: 060, F, 104, 0, 62, 96, 34
INVAR-12, Run: 061, F, 106, 0, 58, 94, 36
INVAR-12, Run: 062, F, 102, 0, 66, 98, 32
INVAR-12, Run: 063, F, 102, 0, 66, 98, 32
INVAR-12, Run: 064, F, 100, 0, 70, 100, 30
INVAR-12, Run: 065, F, 99, 0, 72, 101, 29
INVAR-12, Run: 066, F, 102, 0, 66, 98, 32
INVAR-12, Run: 067, F, 98, 0, 74, 102, 28
INVAR-12, Run: 068, F, 100, 0, 70, 100, 30
INVAR-12, Run: 069, F, 101, 0, 68, 99, 31
INVAR-12, Run: 070, F, 102, 0, 66, 98, 32
INVAR-12, Run: 071, F, 102, 0, 66, 98, 32
INVAR-12, Run: 072, F, 99, 0, 72, 101, 29
INVAR-12, Run: 073, F, 101, 0, 68, 99, 31
INVAR-12, Run: 074, F, 96, 0, 78, 104, 26
INVAR-12, Run: 075, F, 102, 0, 66, 98, 32
INVAR-12, Run: 076, F, 104, 0, 62, 96, 34
INVAR-12, Run: 077, F, 102, 0, 66, 98, 32
INVAR-12, Run: 078, F, 102, 0, 66, 98, 32
INVAR-12, Run: 079, F, 105, 0, 60, 95, 35
INVAR-12, Run: 080, F, 101, 0, 68, 99, 31
INVAR-12, Run: 081, F, 105, 0, 60, 95, 35
INVAR-12, Run: 082, F, 99, 0, 72, 101, 29
INVAR-12, Run: 083, F, 100, 0, 70, 100, 30
INVAR-12, Run: 084, F, 101, 0, 68, 99, 31
INVAR-12, Run: 085, F, 101, 0, 68, 99, 31
INVAR-12, Run: 086, F, 101, 0, 68, 99, 31
INVAR-12, Run: 087, F, 102, 0, 66, 98, 32
INVAR-12, Run: 088, F, 102, 0, 66, 98, 32
INVAR-12, Run: 089, F, 98, 0, 74, 102, 28
INVAR-12, Run: 090, F, 96, 0, 78, 104, 26
INVAR-12, Run: 091, F, 100, 0, 70, 100, 30
INVAR-12, Run: 092, F, 102, 0, 66, 98, 32
INVAR-12, Run: 093, F, 97, 0, 76, 103, 27
INVAR-12, Run: 094, F, 98, 0, 74, 102, 28
INVAR-12, Run: 095, F, 99, 0, 72, 101, 29
INVAR-12, Run: 096, F, 101, 0, 68, 99, 31
INVAR-12, Run: 097, F, 106, 0, 58, 94, 36
INVAR-12, Run: 098, F, 95, 0, 80, 105, 25
INVAR-12, Run: 099, F, 99, 0, 72, 101, 29
INVAR-12, Run: 100, F, 100, 0, 70, 100, 30
INVAR-13, Run: 001, F, 14, 0, 3, 4, 1
INVAR-13, Run: 002, F, 13, 0, 5, 5, 0
INVAR-13, Run: 003, F, 14, 0, 3, 4, 1
INVAR-13, Run: 004, F, 13, 0, 5, 5, 0
INVAR-13, Run: 005, F, 13, 0, 5, 5, 0
INVAR-13, Run: 006, F, 13, 0, 5, 5, 0
INVAR-13, Run: 007, F, 13, 0, 5, 5, 0
INVAR-13, Run: 008, F, 14, 0, 3, 4, 1
INVAR-13, Run: 009, F, 14, 0, 3, 4, 1
INVAR-13, Run: 010, F, 13, 0, 5, 5, 0
INVAR-13, Run: 011, F, 14, 0, 3, 4, 1
INVAR-13, Run: 012, F, 15, 0, 1, 3, 2
INVAR-13, Run: 013, F, 14, 0, 3, 4, 1
INVAR-13, Run: 014, F, 14, 0, 3, 4, 1
INVAR-13, Run: 015, F, 13, 0, 5, 5, 0
INVAR-13, Run: 016, F, 13, 0, 5, 5, 0
INVAR-13, Run: 017, F, 13, 0, 5, 5, 0
INVAR-13, Run: 018, F, 14, 0, 3, 4, 1
INVAR-13, Run: 019, F, 13, 0, 5, 5, 0
INVAR-13, Run: 020, F, 13, 0, 5, 5, 0
INVAR-13, Run: 021, F, 13, 0, 5, 5, 0
INVAR-13, Run: 022, F, 13, 0, 5, 5, 0
INVAR-13, Run: 023, F, 13, 0, 5, 5, 0
INVAR-13, Run: 024, F, 13, 0, 5, 5, 0
INVAR-13, Run: 025, F, 13, 0, 5, 5, 0
INVAR-13, Run: 026, F, 14, 0, 3, 4, 1
INVAR-13, Run: 027, F, 13, 0, 5, 5, 0
INVAR-13, Run: 028, F, 14, 0, 3, 4, 1
INVAR-13, Run: 029, F, 14, 0, 3, 4, 1
INVAR-13, Run: 030, F, 14, 0, 3, 4, 1
INVAR-13, Run: 031, F, 13, 0, 5, 5, 0
INVAR-13, Run: 032, F, 14, 0, 3, 4, 1
INVAR-13, Run: 033, F, 14, 0, 3, 4, 1
INVAR-13, Run: 034, F, 14, 0, 3, 4, 1
INVAR-13, Run: 035, F, 14, 0, 3, 4, 1
INVAR-13, Run: 036, F, 13, 0, 5, 5, 0
INVAR-13, Run: 037, F, 15, 0, 1, 3, 2
INVAR-13, Run: 038, F, 13, 0, 5, 5, 0
INVAR-13, Run: 039, F, 14, 0, 3, 4, 1
INVAR-13, Run: 040, F, 13, 0, 5, 5, 0
INVAR-13, Run: 041, F, 13, 0, 5, 5, 0
INVAR-13, Run: 042, F, 15, 0, 1, 3, 2
INVAR-13, Run: 043, F, 13, 0, 5, 5, 0
INVAR-13, Run: 044, F, 14, 0, 3, 4, 1
INVAR-13, Run: 045, F, 14, 0, 3, 4, 1
INVAR-13, Run: 046, F, 14, 0, 3, 4, 1
INVAR-13, Run: 047, F, 13, 0, 5, 5, 0
INVAR-13, Run: 048, F, 14, 0, 3, 4, 1
INVAR-13, Run: 049, F, 14, 0, 3, 4, 1
INVAR-13, Run: 050, F, 14, 0, 3, 4, 1
INVAR-13, Run: 051, F, 15, 0, 1, 3, 2
INVAR-13, Run: 052, F, 13, 0, 5, 5, 0
INVAR-13, Run: 053, F, 13, 0, 5, 5, 0
INVAR-13, Run: 054, F, 13, 0, 5, 5, 0
INVAR-13, Run: 055, F, 14, 0, 3, 4, 1
INVAR-13, Run: 056, F, 13, 0, 5, 5, 0
INVAR-13, Run: 057, F, 13, 0, 5, 5, 0
INVAR-13, Run: 058, F, 13, 0, 5, 5, 0
INVAR-13, Run: 059, F, 14, 0, 3, 4, 1
INVAR-13, Run: 060, F, 13, 0, 5, 5, 0
INVAR-13, Run: 061, F, 13, 0, 5, 5, 0
INVAR-13, Run: 062, F, 14, 0, 3, 4, 1
INVAR-13, Run: 063, F, 14, 0, 3, 4, 1
INVAR-13, Run: 064, F, 13, 0, 5, 5, 0
