Input Number, Run_Number, Result@ 100, V, Y, X, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 0, 0, 1, 6, 7, 10, 2, 16, 3
INVAR-1, Run: 002, F, 0, 0, 2, 4, 7, 11, 1, 14, 5
INVAR-1, Run: 003, F, 0, 0, 1, 3, 7, 11, 2, 18, 2
INVAR-1, Run: 004, F, 0, 0, 2, 4, 7, 11, 1, 15, 4
INVAR-1, Run: 005, F, 0, 0, 2, 4, 7, 11, 1, 15, 4
INVAR-1, Run: 006, F, 0, 0, 1, 3, 7, 11, 2, 13, 7
INVAR-1, Run: 007, F, 0, 0, 1, 3, 7, 11, 2, 18, 2
INVAR-1, Run: 008, F, 9, 0, 0, 2, 7, 11, 3, 6, 6
INVAR-1, Run: 009, F, 10, 0, 0, 2, 7, 11, 3, 5, 6
INVAR-1, Run: 010, F, 0, 0, 2, 4, 6, 10, 4, 17, 3
INVAR-1, Run: 011, F, 14, 0, 0, 5, 8, 11, 0, 3, 2
INVAR-1, Run: 012, P, 0, 0, 1, 0, 7, 12, 2, 19, 2
INVAR-1, Run: 013, F, 0, 0, 2, 1, 7, 12, 1, 18, 2
INVAR-1, Run: 014, F, 0, 0, 2, 7, 7, 10, 1, 16, 2
INVAR-1, Run: 015, F, 0, 0, 2, 4, 7, 11, 1, 15, 4
INVAR-1, Run: 016, F, 0, 0, 2, 7, 7, 10, 1, 15, 3
INVAR-1, Run: 017, F, 14, 0, 0, 8, 8, 10, 0, 1, 3
INVAR-1, Run: 018, F, 0, 0, 2, 4, 7, 11, 1, 10, 9
INVAR-1, Run: 019, F, 0, 0, 1, 3, 7, 11, 2, 16, 4
INVAR-1, Run: 020, F, 0, 0, 2, 4, 7, 11, 1, 17, 2
INVAR-1, Run: 021, F, 0, 0, 2, 4, 7, 11, 1, 16, 3
INVAR-1, Run: 022, F, 0, 0, 2, 1, 7, 12, 1, 17, 3
INVAR-1, Run: 023, F, 7, 0, 0, 5, 8, 11, 0, 9, 3
INVAR-1, Run: 024, F, 8, 0, 0, 5, 8, 11, 0, 8, 3
INVAR-1, Run: 025, F, 0, 0, 2, 1, 7, 12, 1, 18, 2
INVAR-1, Run: 026, F, 0, 0, 2, 7, 7, 10, 1, 17, 1
INVAR-1, Run: 027, F, 0, 0, 1, 3, 7, 11, 2, 16, 4
INVAR-1, Run: 028, F, 4, 0, 0, 2, 8, 12, 0, 14, 2
INVAR-1, Run: 029, F, 3, 0, 0, 5, 7, 10, 3, 16, 1
INVAR-1, Run: 030, F, 0, 0, 1, 3, 7, 11, 2, 20, 0
INVAR-1, Run: 031, F, 0, 0, 1, 3, 7, 11, 2, 17, 3
INVAR-1, Run: 032, F, 0, 0, 1, 3, 7, 11, 2, 17, 3
INVAR-1, Run: 033, F, 0, 0, 2, 4, 7, 11, 1, 18, 1
INVAR-1, Run: 034, F, 0, 0, 1, 6, 7, 10, 2, 15, 4
INVAR-1, Run: 035, F, 0, 0, 2, 4, 7, 11, 1, 19, 0
INVAR-1, Run: 036, F, 15, 0, 0, 2, 8, 12, 0, 3, 2
INVAR-1, Run: 037, F, 10, 0, 0, 5, 8, 11, 0, 7, 2
INVAR-1, Run: 038, F, 15, 0, 0, 5, 8, 11, 0, 4, 0
INVAR-1, Run: 039, F, 9, 0, 0, 2, 8, 12, 0, 10, 1
INVAR-1, Run: 040, F, 9, 0, 0, 5, 8, 11, 0, 9, 1
INVAR-1, Run: 041, F, 11, 0, 0, 5, 8, 11, 0, 3, 5
INVAR-1, Run: 042, F, 0, 0, 2, 4, 7, 11, 1, 14, 5
INVAR-1, Run: 043, F, 0, 0, 1, 3, 7, 11, 2, 18, 2
INVAR-1, Run: 044, F, 0, 0, 2, 4, 7, 11, 1, 19, 0
INVAR-1, Run: 045, F, 0, 0, 2, 4, 7, 11, 1, 16, 3
INVAR-1, Run: 046, F, 0, 0, 1, 3, 7, 11, 2, 18, 2
INVAR-1, Run: 047, F, 8, 0, 0, 5, 8, 11, 0, 8, 3
INVAR-1, Run: 048, F, 0, 0, 1, 6, 7, 10, 2, 11, 8
INVAR-1, Run: 049, F, 0, 0, 1, 3, 7, 11, 2, 17, 3
INVAR-1, Run: 050, F, 0, 0, 2, 4, 7, 11, 1, 17, 2
INVAR-1, Run: 051, F, 0, 0, 1, 3, 7, 11, 2, 16, 4
INVAR-1, Run: 052, F, 0, 0, 1, 3, 7, 11, 2, 20, 0
INVAR-1, Run: 053, F, 0, 0, 2, 4, 7, 11, 1, 15, 4
INVAR-1, Run: 054, F, 0, 0, 2, 4, 7, 11, 1, 19, 0
INVAR-1, Run: 055, F, 0, 0, 2, 4, 7, 11, 1, 14, 5
INVAR-1, Run: 056, F, 7, 0, 0, 2, 8, 12, 0, 9, 4
INVAR-1, Run: 057, F, 0, 0, 1, 3, 7, 11, 2, 17, 3
INVAR-1, Run: 058, F, 13, 0, 0, 2, 8, 12, 0, 5, 2
INVAR-1, Run: 059, F, 0, 0, 1, 3, 7, 11, 2, 19, 1
INVAR-1, Run: 060, F, 0, 0, 1, 3, 7, 11, 2, 15, 5
INVAR-1, Run: 061, F, 0, 0, 1, 3, 7, 11, 2, 19, 1
INVAR-1, Run: 062, F, 1, 0, 0, 5, 8, 11, 0, 13, 5
INVAR-1, Run: 063, F, 0, 0, 2, 4, 7, 11, 1, 19, 0
INVAR-1, Run: 064, F, 15, 0, 0, 2, 7, 11, 3, 3, 3
INVAR-1, Run: 065, F, 15, 0, 0, 2, 8, 12, 0, 3, 2
INVAR-1, Run: 066, F, 0, 0, 1, 3, 7, 11, 2, 11, 9
INVAR-1, Run: 067, F, 0, 0, 2, 4, 7, 11, 1, 17, 2
