Input Number, Run_Number, Result@ 100, V, X, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 0, 1, 0, 6, 11, 12, 2, 11, 8
INVAR-1, Run: 002, F, 0, 0, 2, 3, 10, 12, 0, 12, 7
INVAR-1, Run: 003, F, 0, 2, 0, 8, 12, 12, 2, 8, 10
INVAR-1, Run: 004, F, 0, 1, 0, 9, 13, 12, 2, 18, 0
INVAR-1, Run: 005, F, 0, 2, 0, 8, 12, 12, 2, 11, 7
INVAR-1, Run: 006, F, 0, 2, 0, 8, 11, 11, 5, 7, 12
INVAR-1, Run: 007, F, 0, 1, 0, 9, 13, 12, 2, 11, 7
INVAR-1, Run: 008, F, 0, 2, 0, 5, 10, 12, 2, 13, 6
INVAR-1, Run: 009, F, 0, 2, 0, 8, 12, 12, 2, 11, 7
INVAR-1, Run: 010, F, 0, 2, 0, 11, 14, 12, 2, 13, 4
INVAR-1, Run: 011, F, 0, 2, 0, 8, 12, 12, 2, 10, 8
INVAR-1, Run: 012, F, 0, 2, 0, 11, 14, 12, 2, 13, 4
INVAR-1, Run: 013, F, 0, 2, 0, 11, 14, 12, 2, 16, 1
INVAR-1, Run: 014, F, 0, 2, 0, 11, 14, 12, 2, 12, 5
INVAR-1, Run: 015, F, 0, 2, 0, 8, 12, 12, 2, 9, 9
INVAR-1, Run: 016, F, 0, 2, 0, 5, 9, 11, 5, 15, 5
INVAR-1, Run: 017, F, 0, 2, 0, 11, 14, 12, 2, 12, 5
INVAR-1, Run: 018, F, 0, 2, 0, 5, 10, 12, 2, 18, 1
INVAR-1, Run: 019, F, 0, 1, 0, 3, 9, 12, 2, 16, 4
INVAR-1, Run: 020, F, 0, 1, 0, 9, 13, 12, 2, 14, 4
INVAR-1, Run: 021, F, 0, 2, 0, 11, 14, 12, 2, 9, 8
INVAR-1, Run: 022, F, 0, 0, 2, 6, 12, 12, 0, 9, 9
INVAR-1, Run: 023, F, 0, 2, 0, 8, 12, 12, 2, 15, 3
INVAR-1, Run: 024, F, 0, 2, 0, 8, 12, 12, 2, 17, 1
INVAR-1, Run: 025, F, 0, 2, 0, 11, 13, 11, 5, 14, 4
INVAR-1, Run: 026, F, 0, 2, 0, 5, 10, 12, 2, 12, 7
INVAR-1, Run: 027, F, 0, 0, 1, 8, 13, 12, 1, 9, 9
INVAR-1, Run: 028, F, 0, 2, 0, 8, 12, 12, 2, 10, 8
INVAR-1, Run: 029, F, 0, 2, 0, 8, 11, 11, 5, 10, 9
INVAR-1, Run: 030, F, 0, 2, 0, 8, 12, 12, 2, 9, 9
INVAR-1, Run: 031, F, 0, 2, 0, 5, 10, 12, 2, 12, 7
INVAR-1, Run: 032, F, 0, 2, 0, 8, 12, 12, 2, 17, 1
INVAR-1, Run: 033, F, 0, 1, 0, 6, 11, 12, 2, 11, 8
INVAR-1, Run: 034, F, 0, 2, 0, 8, 12, 12, 2, 8, 10
INVAR-1, Run: 035, F, 0, 2, 0, 5, 10, 12, 2, 15, 4
INVAR-1, Run: 036, F, 0, 2, 0, 11, 14, 12, 2, 13, 4
INVAR-1, Run: 037, F, 0, 1, 0, 6, 10, 11, 5, 11, 9
INVAR-1, Run: 038, F, 0, 2, 0, 5, 10, 12, 2, 10, 9
INVAR-1, Run: 039, F, 0, 1, 0, 6, 11, 12, 2, 11, 8
INVAR-1, Run: 040, F, 0, 2, 0, 5, 9, 11, 5, 13, 7
INVAR-1, Run: 041, F, 0, 2, 0, 8, 11, 11, 5, 15, 4
INVAR-1, Run: 042, F, 0, 2, 0, 11, 14, 12, 2, 14, 3
INVAR-1, Run: 043, F, 0, 1, 0, 12, 15, 12, 2, 15, 2
INVAR-1, Run: 044, F, 0, 1, 0, 6, 11, 12, 2, 14, 5
INVAR-1, Run: 045, F, 0, 2, 0, 8, 12, 12, 2, 9, 9
INVAR-1, Run: 046, F, 0, 0, 1, 2, 9, 12, 1, 9, 11
INVAR-1, Run: 047, F, 0, 2, 0, 8, 12, 12, 2, 13, 5
INVAR-1, Run: 048, F, 0, 2, 0, 8, 12, 12, 2, 12, 6
INVAR-1, Run: 049, F, 0, 2, 0, 5, 9, 11, 5, 6, 14
INVAR-1, Run: 050, F, 0, 2, 0, 14, 16, 12, 2, 12, 4
INVAR-1, Run: 051, F, 0, 2, 0, 11, 14, 12, 2, 13, 4
INVAR-1, Run: 052, F, 0, 1, 0, 12, 15, 12, 2, 13, 4
INVAR-1, Run: 053, F, 0, 2, 0, 11, 14, 12, 2, 9, 8
INVAR-1, Run: 054, F, 0, 2, 0, 5, 10, 12, 2, 12, 7
INVAR-1, Run: 055, F, 0, 2, 0, 8, 12, 12, 2, 5, 13
INVAR-1, Run: 056, F, 0, 1, 0, 3, 9, 12, 2, 8, 12
INVAR-1, Run: 057, F, 0, 2, 0, 11, 14, 12, 2, 8, 9
INVAR-1, Run: 058, F, 0, 2, 0, 5, 10, 12, 2, 10, 9
INVAR-1, Run: 059, F, 0, 2, 0, 8, 12, 12, 2, 10, 8
INVAR-1, Run: 060, F, 0, 1, 0, 3, 9, 12, 2, 10, 10
INVAR-1, Run: 061, F, 0, 0, 2, 3, 10, 12, 0, 8, 11
INVAR-1, Run: 062, F, 0, 1, 0, 6, 11, 12, 2, 14, 5
INVAR-1, Run: 063, F, 0, 2, 0, 8, 11, 11, 5, 9, 10
