Input Number, Run_Number, Result@ 100, X, Y, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 1, 0, 0, 1, 7, 12, 1, 18, 2
INVAR-1, Run: 002, F, 1, 0, 0, 1, 7, 12, 1, 11, 9
INVAR-1, Run: 003, F, 1, 0, 0, 1, 7, 12, 1, 14, 6
INVAR-1, Run: 004, P, 1, 0, 0, 0, 7, 12, 2, 15, 6
INVAR-1, Run: 005, F, 1, 0, 0, 1, 7, 12, 1, 16, 4
INVAR-1, Run: 006, F, 0, 2, 0, 4, 6, 10, 2, 1, 17
INVAR-1, Run: 007, F, 0, 2, 0, 1, 7, 11, 2, 3, 17
INVAR-1, Run: 008, F, 1, 0, 0, 2, 7, 12, 0, 10, 9
INVAR-1, Run: 009, F, 1, 0, 0, 2, 6, 11, 3, 18, 2
INVAR-1, Run: 010, P, 0, 2, 0, 0, 8, 12, 0, 7, 13
INVAR-1, Run: 011, F, 1, 0, 0, 2, 6, 11, 3, 18, 2
INVAR-1, Run: 012, F, 1, 0, 0, 1, 7, 12, 1, 14, 6
INVAR-1, Run: 013, F, 1, 0, 0, 2, 7, 12, 0, 17, 2
INVAR-1, Run: 014, F, 0, 2, 0, 2, 7, 11, 1, 2, 17
INVAR-1, Run: 015, F, 1, 0, 0, 1, 7, 12, 1, 18, 2
INVAR-1, Run: 016, F, 0, 2, 0, 2, 7, 11, 1, 1, 18
INVAR-1, Run: 017, F, 0, 2, 0, 1, 7, 11, 2, 1, 19
INVAR-1, Run: 018, F, 1, 0, 0, 4, 6, 11, 1, 17, 1
INVAR-1, Run: 019, F, 0, 2, 0, 1, 7, 11, 2, 2, 18
INVAR-1, Run: 020, P, 1, 0, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 021, F, 1, 0, 0, 1, 7, 12, 1, 13, 7
INVAR-1, Run: 022, F, 1, 0, 0, 2, 6, 11, 3, 14, 6
INVAR-1, Run: 023, F, 1, 0, 0, 1, 7, 12, 1, 11, 9
INVAR-1, Run: 024, F, 1, 0, 0, 3, 6, 11, 2, 14, 5
INVAR-1, Run: 025, F, 1, 0, 0, 1, 7, 12, 1, 16, 4
INVAR-1, Run: 026, P, 1, 0, 0, 0, 7, 12, 2, 14, 7
