Input Number, Run_Number, Result@ 100, V, Y, X, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 0, 0, 2, 1, 7, 12, 1, 19, 1
INVAR-1, Run: 002, F, 0, 0, 2, 1, 7, 12, 1, 17, 3
INVAR-1, Run: 003, F, 4, 0, 0, 5, 8, 11, 0, 4, 11
INVAR-1, Run: 004, F, 0, 0, 2, 4, 7, 11, 1, 13, 6
INVAR-1, Run: 005, F, 0, 0, 1, 6, 7, 10, 2, 17, 2
INVAR-1, Run: 006, F, 0, 0, 2, 1, 7, 12, 1, 18, 2
INVAR-1, Run: 007, F, 0, 0, 2, 4, 7, 11, 1, 13, 6
INVAR-1, Run: 008, F, 0, 0, 2, 4, 7, 11, 1, 14, 5
INVAR-1, Run: 009, F, 0, 0, 1, 3, 7, 11, 2, 16, 4
INVAR-1, Run: 010, F, 0, 0, 1, 3, 7, 11, 2, 18, 2
INVAR-1, Run: 011, F, 0, 0, 2, 4, 7, 11, 1, 18, 1
INVAR-1, Run: 012, F, 15, 0, 0, 2, 8, 12, 0, 3, 2
INVAR-1, Run: 013, F, 0, 0, 2, 4, 7, 11, 1, 17, 2
INVAR-1, Run: 014, F, 0, 0, 2, 4, 7, 11, 1, 18, 1
INVAR-1, Run: 015, F, 0, 0, 2, 4, 7, 11, 1, 14, 5
INVAR-1, Run: 016, F, 11, 0, 0, 5, 8, 11, 0, 2, 6
INVAR-1, Run: 017, F, 0, 0, 2, 4, 7, 11, 1, 17, 2
INVAR-1, Run: 018, F, 0, 0, 2, 4, 7, 11, 1, 15, 4
INVAR-1, Run: 019, F, 13, 0, 0, 5, 8, 11, 0, 4, 2
INVAR-1, Run: 020, F, 0, 0, 1, 3, 7, 11, 2, 17, 3
INVAR-1, Run: 021, F, 0, 0, 1, 3, 7, 11, 2, 17, 3
INVAR-1, Run: 022, P, 0, 0, 1, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 023, F, 11, 0, 0, 5, 8, 11, 0, 3, 5
INVAR-1, Run: 024, F, 0, 0, 1, 3, 7, 11, 2, 16, 4
INVAR-1, Run: 025, P, 0, 0, 1, 0, 7, 12, 2, 19, 2
INVAR-1, Run: 026, F, 0, 0, 1, 3, 7, 11, 2, 14, 6
INVAR-1, Run: 027, F, 0, 0, 2, 1, 6, 11, 4, 20, 1
INVAR-1, Run: 028, F, 0, 0, 2, 4, 7, 11, 1, 13, 6
INVAR-1, Run: 029, F, 10, 0, 0, 2, 8, 12, 0, 9, 1
INVAR-1, Run: 030, F, 13, 0, 0, 2, 8, 12, 0, 2, 5
INVAR-1, Run: 031, F, 12, 0, 0, 5, 8, 11, 0, 3, 4
INVAR-1, Run: 032, F, 17, 0, 0, 5, 8, 11, 0, 2, 0
INVAR-1, Run: 033, F, 0, 0, 1, 6, 7, 10, 2, 13, 6
INVAR-1, Run: 034, F, 0, 0, 1, 3, 7, 11, 2, 16, 4
INVAR-1, Run: 035, F, 16, 0, 0, 2, 7, 11, 3, 1, 4
INVAR-1, Run: 036, F, 3, 0, 0, 5, 6, 9, 6, 8, 10
INVAR-1, Run: 037, F, 9, 0, 0, 2, 8, 12, 0, 3, 8
INVAR-1, Run: 038, F, 18, 0, 0, 2, 8, 12, 0, 1, 1
INVAR-1, Run: 039, F, 0, 0, 1, 6, 7, 10, 2, 15, 4
INVAR-1, Run: 040, F, 4, 0, 0, 2, 8, 12, 0, 16, 0
INVAR-1, Run: 041, F, 12, 0, 0, 5, 8, 11, 0, 5, 2
INVAR-1, Run: 042, F, 0, 0, 2, 4, 7, 11, 1, 14, 5
INVAR-1, Run: 043, F, 0, 0, 1, 6, 7, 10, 2, 15, 4
INVAR-1, Run: 044, F, 11, 0, 0, 5, 7, 10, 3, 2, 7
INVAR-1, Run: 045, F, 9, 0, 0, 2, 8, 12, 0, 9, 2
INVAR-1, Run: 046, F, 0, 0, 1, 3, 7, 11, 2, 14, 6
INVAR-1, Run: 047, F, 0, 0, 1, 3, 7, 11, 2, 18, 2
INVAR-1, Run: 048, F, 3, 0, 0, 2, 8, 12, 0, 16, 1
INVAR-1, Run: 049, F, 0, 0, 1, 3, 7, 11, 2, 18, 2
INVAR-1, Run: 050, F, 0, 0, 1, 3, 7, 11, 2, 19, 1
INVAR-1, Run: 051, F, 17, 0, 0, 5, 8, 11, 0, 1, 1
INVAR-1, Run: 052, F, 0, 0, 2, 4, 7, 11, 1, 18, 1
INVAR-1, Run: 053, F, 0, 0, 1, 3, 6, 10, 5, 14, 7
INVAR-1, Run: 054, F, 0, 0, 1, 3, 7, 11, 2, 16, 4
INVAR-1, Run: 055, F, 0, 0, 2, 1, 7, 12, 1, 19, 1
INVAR-1, Run: 056, F, 0, 0, 2, 4, 7, 11, 1, 16, 3
INVAR-1, Run: 057, F, 15, 0, 0, 5, 8, 11, 0, 0, 4
INVAR-1, Run: 058, F, 7, 0, 0, 5, 7, 10, 3, 6, 7
INVAR-1, Run: 059, F, 0, 0, 2, 4, 7, 11, 1, 16, 3
INVAR-1, Run: 060, F, 16, 0, 0, 2, 8, 12, 0, 4, 0
INVAR-1, Run: 061, F, 0, 0, 1, 3, 7, 11, 2, 17, 3
INVAR-1, Run: 062, F, 11, 0, 0, 5, 8, 11, 0, 3, 5
INVAR-1, Run: 063, F, 0, 0, 2, 1, 7, 12, 1, 18, 2
INVAR-1, Run: 064, F, 5, 0, 0, 2, 8, 12, 0, 11, 4
INVAR-1, Run: 065, F, 0, 0, 2, 4, 7, 11, 1, 17, 2
INVAR-1, Run: 066, F, 10, 0, 0, 5, 7, 10, 3, 5, 5
INVAR-1, Run: 067, F, 13, 0, 0, 2, 8, 12, 0, 4, 3
INVAR-1, Run: 068, F, 0, 0, 2, 4, 7, 11, 1, 14, 5
INVAR-1, Run: 069, F, 0, 0, 1, 3, 7, 11, 2, 19, 1
INVAR-1, Run: 070, F, 0, 0, 2, 4, 7, 11, 1, 18, 1
INVAR-1, Run: 071, F, 0, 0, 1, 3, 7, 11, 2, 20, 0
INVAR-1, Run: 072, F, 15, 0, 0, 2, 8, 12, 0, 3, 2
INVAR-1, Run: 073, F, 0, 0, 2, 4, 7, 11, 1, 16, 3
INVAR-1, Run: 074, F, 0, 0, 2, 4, 7, 11, 1, 12, 7
INVAR-1, Run: 075, F, 0, 0, 2, 4, 7, 11, 1, 17, 2
INVAR-1, Run: 076, F, 2, 0, 0, 2, 8, 12, 0, 13, 5
INVAR-1, Run: 077, F, 10, 0, 0, 5, 8, 11, 0, 6, 3
INVAR-1, Run: 078, F, 0, 0, 2, 4, 7, 11, 1, 15, 4
INVAR-1, Run: 079, F, 0, 0, 1, 3, 7, 11, 2, 17, 3
INVAR-1, Run: 080, F, 0, 0, 1, 3, 7, 11, 2, 16, 4
INVAR-1, Run: 081, F, 0, 0, 2, 1, 7, 12, 1, 19, 1
INVAR-1, Run: 082, F, 15, 0, 0, 2, 8, 12, 0, 3, 2
INVAR-1, Run: 083, F, 16, 0, 0, 5, 7, 10, 3, 0, 4
INVAR-1, Run: 084, F, 0, 0, 1, 3, 7, 11, 2, 14, 6
INVAR-1, Run: 085, F, 0, 0, 2, 7, 7, 10, 1, 14, 4
INVAR-1, Run: 086, F, 13, 0, 0, 2, 8, 12, 0, 6, 1
INVAR-1, Run: 087, F, 0, 0, 2, 4, 7, 11, 1, 14, 5
INVAR-1, Run: 088, F, 9, 0, 0, 2, 8, 12, 0, 5, 6
INVAR-1, Run: 089, F, 11, 0, 0, 2, 7, 11, 3, 6, 4
INVAR-1, Run: 090, F, 18, 0, 0, 2, 8, 12, 0, 0, 2
INVAR-1, Run: 091, F, 0, 0, 2, 4, 7, 11, 1, 15, 4
INVAR-1, Run: 092, F, 0, 0, 2, 4, 7, 11, 1, 18, 1
INVAR-1, Run: 093, F, 10, 0, 0, 5, 8, 11, 0, 1, 8
INVAR-1, Run: 094, F, 9, 0, 0, 5, 8, 11, 0, 6, 4
INVAR-1, Run: 095, F, 16, 0, 0, 2, 8, 12, 0, 2, 2
INVAR-1, Run: 096, F, 0, 0, 2, 4, 7, 11, 1, 19, 0
INVAR-1, Run: 097, F, 0, 0, 2, 4, 7, 11, 1, 17, 2
INVAR-1, Run: 098, F, 0, 0, 1, 3, 7, 11, 2, 18, 2
INVAR-1, Run: 099, F, 0, 0, 1, 3, 7, 11, 2, 12, 8
INVAR-1, Run: 100, F, 0, 0, 2, 1, 7, 12, 1, 19, 1
INVAR-10, Run: 001, F, 0, 0, 2, 4, 13, 15, 1, 15, 14
INVAR-10, Run: 002, F, 0, 0, 2, 4, 13, 15, 1, 28, 1
INVAR-10, Run: 003, F, 0, 0, 1, 3, 13, 15, 2, 24, 6
INVAR-10, Run: 004, F, 0, 0, 2, 4, 13, 15, 1, 29, 0
INVAR-10, Run: 005, F, 0, 0, 1, 3, 13, 15, 2, 26, 4
INVAR-10, Run: 006, F, 13, 0, 0, 5, 14, 15, 0, 4, 12
INVAR-10, Run: 007, F, 3, 0, 0, 2, 14, 16, 0, 25, 2
INVAR-10, Run: 008, F, 0, 0, 1, 6, 13, 14, 2, 22, 7
INVAR-10, Run: 009, F, 0, 0, 2, 4, 13, 15, 1, 29, 0
INVAR-10, Run: 010, F, 23, 0, 0, 2, 14, 16, 0, 2, 5
INVAR-10, Run: 011, F, 0, 0, 2, 4, 13, 15, 1, 21, 8
INVAR-10, Run: 012, F, 0, 0, 1, 6, 13, 14, 2, 16, 13
INVAR-10, Run: 013, F, 0, 0, 2, 4, 13, 15, 1, 28, 1
INVAR-10, Run: 014, F, 0, 0, 2, 4, 12, 14, 4, 24, 6
INVAR-10, Run: 015, F, 0, 0, 2, 7, 12, 13, 4, 29, 0
INVAR-10, Run: 016, F, 15, 0, 0, 8, 14, 14, 0, 8, 5
INVAR-10, Run: 017, F, 0, 0, 2, 7, 13, 14, 1, 28, 0
INVAR-10, Run: 018, F, 0, 0, 2, 4, 13, 15, 1, 21, 8
INVAR-10, Run: 019, F, 0, 0, 2, 4, 13, 15, 1, 25, 4
INVAR-10, Run: 020, F, 11, 0, 0, 5, 14, 15, 0, 14, 4
INVAR-10, Run: 021, F, 15, 0, 0, 2, 14, 16, 0, 10, 5
INVAR-10, Run: 022, F, 0, 0, 2, 1, 13, 16, 1, 27, 3
INVAR-10, Run: 023, F, 0, 0, 1, 6, 13, 14, 2, 21, 8
INVAR-10, Run: 024, F, 27, 0, 0, 2, 13, 15, 3, 3, 1
INVAR-10, Run: 025, F, 0, 0, 2, 4, 13, 15, 1, 25, 4
INVAR-10, Run: 026, F, 0, 0, 2, 4, 13, 15, 1, 27, 2
INVAR-10, Run: 027, F, 0, 0, 2, 1, 13, 16, 1, 27, 3
INVAR-10, Run: 028, F, 0, 0, 1, 3, 13, 15, 2, 24, 6
INVAR-10, Run: 029, F, 0, 0, 2, 7, 13, 14, 1, 25, 3
INVAR-10, Run: 030, F, 9, 0, 0, 5, 14, 15, 0, 15, 5
INVAR-10, Run: 031, F, 0, 0, 2, 7, 13, 14, 1, 16, 12
INVAR-10, Run: 032, F, 0, 0, 2, 4, 13, 15, 1, 25, 4
INVAR-10, Run: 033, F, 12, 0, 0, 5, 14, 15, 0, 13, 4
INVAR-10, Run: 034, F, 8, 0, 0, 5, 14, 15, 0, 18, 3
INVAR-10, Run: 035, F, 17, 0, 0, 5, 14, 15, 0, 5, 7
INVAR-10, Run: 036, F, 12, 0, 0, 2, 14, 16, 0, 16, 2
INVAR-10, Run: 037, F, 0, 0, 2, 4, 13, 15, 1, 28, 1
INVAR-10, Run: 038, F, 0, 0, 2, 7, 13, 14, 1, 25, 3
INVAR-10, Run: 039, F, 13, 0, 0, 5, 14, 15, 0, 10, 6
INVAR-10, Run: 040, F, 0, 0, 1, 6, 12, 13, 5, 21, 9
INVAR-10, Run: 041, F, 22, 0, 0, 2, 14, 16, 0, 5, 3
INVAR-10, Run: 042, F, 15, 0, 0, 5, 14, 15, 0, 11, 3
INVAR-10, Run: 043, F, 14, 0, 0, 2, 14, 16, 0, 7, 9
INVAR-10, Run: 044, F, 0, 0, 1, 3, 13, 15, 2, 27, 3
INVAR-10, Run: 045, F, 0, 0, 1, 3, 13, 15, 2, 27, 3
INVAR-10, Run: 046, F, 0, 0, 2, 4, 13, 15, 1, 28, 1
INVAR-10, Run: 047, F, 0, 0, 1, 3, 13, 15, 2, 28, 2
INVAR-10, Run: 048, F, 0, 0, 2, 4, 13, 15, 1, 25, 4
INVAR-10, Run: 049, F, 0, 0, 2, 4, 12, 14, 4, 25, 5
INVAR-10, Run: 050, F, 0, 0, 2, 1, 12, 15, 4, 27, 4
INVAR-10, Run: 051, F, 10, 0, 0, 2, 14, 16, 0, 13, 7
INVAR-10, Run: 052, F, 0, 0, 2, 7, 13, 14, 1, 27, 1
INVAR-10, Run: 053, F, 12, 0, 0, 5, 14, 15, 0, 9, 8
INVAR-10, Run: 054, F, 0, 0, 2, 7, 13, 14, 1, 24, 4
INVAR-10, Run: 055, F, 0, 0, 1, 3, 13, 15, 2, 29, 1
INVAR-10, Run: 056, F, 0, 0, 2, 7, 13, 14, 1, 27, 1
INVAR-10, Run: 057, F, 0, 0, 2, 7, 13, 14, 1, 24, 4
INVAR-10, Run: 058, F, 7, 0, 0, 2, 14, 16, 0, 14, 9
INVAR-10, Run: 059, F, 0, 0, 1, 3, 13, 15, 2, 27, 3
INVAR-10, Run: 060, F, 0, 0, 2, 1, 13, 16, 1, 26, 4
INVAR-10, Run: 061, F, 0, 0, 2, 7, 13, 14, 1, 25, 3
INVAR-10, Run: 062, F, 14, 0, 0, 5, 14, 15, 0, 9, 6
INVAR-10, Run: 063, F, 0, 0, 2, 1, 13, 16, 1, 25, 5
INVAR-10, Run: 064, F, 0, 0, 2, 7, 13, 14, 1, 21, 7
INVAR-10, Run: 065, F, 0, 0, 1, 6, 13, 14, 2, 27, 2
INVAR-10, Run: 066, F, 0, 0, 1, 3, 13, 15, 2, 24, 6
INVAR-10, Run: 067, F, 0, 0, 2, 4, 13, 15, 1, 26, 3
INVAR-10, Run: 068, F, 0, 0, 1, 6, 13, 14, 2, 25, 4
INVAR-10, Run: 069, F, 0, 0, 1, 6, 13, 14, 2, 27, 2
INVAR-10, Run: 070, F, 0, 0, 2, 4, 13, 15, 1, 18, 11
INVAR-10, Run: 071, F, 0, 0, 2, 4, 13, 15, 1, 26, 3
INVAR-10, Run: 072, F, 0, 0, 2, 7, 13, 14, 1, 27, 1
INVAR-10, Run: 073, F, 22, 0, 0, 5, 13, 14, 3, 4, 4
INVAR-10, Run: 074, F, 0, 0, 2, 4, 12, 14, 4, 22, 8
INVAR-10, Run: 075, F, 21, 0, 0, 2, 14, 16, 0, 6, 3
INVAR-10, Run: 076, F, 0, 0, 2, 1, 13, 16, 1, 28, 2
INVAR-10, Run: 077, F, 25, 0, 0, 5, 14, 15, 0, 1, 3
INVAR-10, Run: 078, F, 14, 0, 0, 5, 14, 15, 0, 11, 4
INVAR-10, Run: 079, F, 0, 0, 2, 1, 13, 16, 1, 22, 8
INVAR-10, Run: 080, F, 9, 0, 0, 5, 14, 15, 0, 12, 8
INVAR-10, Run: 081, F, 0, 0, 1, 3, 13, 15, 2, 26, 4
INVAR-10, Run: 082, F, 0, 0, 1, 3, 13, 15, 2, 27, 3
INVAR-10, Run: 083, F, 21, 0, 0, 2, 14, 16, 0, 6, 3
INVAR-10, Run: 084, F, 0, 0, 2, 4, 13, 15, 1, 23, 6
INVAR-10, Run: 085, F, 0, 0, 1, 3, 13, 15, 2, 26, 4
INVAR-10, Run: 086, F, 0, 0, 2, 7, 13, 14, 1, 26, 2
INVAR-10, Run: 087, F, 11, 0, 0, 2, 14, 16, 0, 16, 3
INVAR-10, Run: 088, F, 0, 0, 2, 4, 13, 15, 1, 28, 1
INVAR-10, Run: 089, F, 0, 0, 2, 7, 13, 14, 1, 19, 9
