Input Number, Run_Number, Result@ 100, X, V, Y, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 0, 14, 0, 8, 12, 0, 4, 2
INVAR-1, Run: 002, F, 0, 7, 0, 7, 10, 3, 8, 5
INVAR-1, Run: 003, F, 0, 11, 0, 8, 12, 0, 7, 2
INVAR-1, Run: 004, F, 0, 16, 0, 8, 12, 0, 2, 2
INVAR-1, Run: 005, F, 1, 0, 0, 7, 11, 2, 17, 3
INVAR-1, Run: 006, F, 0, 11, 0, 8, 11, 0, 3, 5
INVAR-1, Run: 007, F, 1, 0, 0, 7, 11, 2, 17, 3
INVAR-1, Run: 008, F, 2, 0, 0, 7, 11, 1, 15, 4
INVAR-1, Run: 009, F, 2, 0, 0, 7, 11, 1, 15, 4
INVAR-1, Run: 010, F, 1, 0, 0, 7, 10, 2, 13, 6
INVAR-1, Run: 011, F, 0, 8, 0, 8, 12, 0, 10, 2
INVAR-1, Run: 012, F, 2, 0, 0, 7, 11, 1, 15, 4
INVAR-1, Run: 013, F, 0, 13, 0, 8, 11, 0, 1, 5
INVAR-1, Run: 014, F, 1, 0, 0, 7, 11, 2, 17, 3
INVAR-1, Run: 015, F, 0, 13, 0, 8, 12, 0, 5, 2
INVAR-1, Run: 016, F, 2, 0, 0, 7, 11, 1, 15, 4
INVAR-1, Run: 017, F, 1, 0, 0, 7, 11, 2, 17, 3
INVAR-1, Run: 018, F, 0, 7, 0, 8, 11, 0, 7, 5
INVAR-1, Run: 019, F, 0, 11, 0, 8, 12, 0, 7, 2
INVAR-1, Run: 020, F, 1, 0, 0, 7, 11, 2, 17, 3
INVAR-1, Run: 021, F, 0, 15, 0, 8, 12, 0, 3, 2
INVAR-1, Run: 022, F, 1, 0, 0, 7, 11, 2, 17, 3
INVAR-1, Run: 023, F, 0, 15, 0, 8, 12, 0, 3, 2
INVAR-1, Run: 024, F, 1, 0, 0, 7, 10, 2, 13, 6
INVAR-1, Run: 025, F, 0, 13, 0, 7, 10, 3, 2, 5
INVAR-1, Run: 026, F, 2, 0, 0, 7, 11, 1, 15, 4
