Input Number, Run_Number, Result@ 100, Y, Z, X, NEW_REACTION, Reaction1
INVAR-11, Run: 064, F, 0, 8, 4, 46, 54
INVAR-11, Run: 065, F, 0, 10, 3, 45, 55
INVAR-11, Run: 066, F, 0, 12, 2, 44, 56
INVAR-11, Run: 067, F, 0, 4, 6, 48, 52
INVAR-11, Run: 068, F, 0, 10, 3, 45, 55
INVAR-11, Run: 069, F, 0, 8, 4, 46, 54
INVAR-11, Run: 070, F, 0, 10, 3, 45, 55
INVAR-11, Run: 071, F, 0, 10, 3, 45, 55
INVAR-11, Run: 072, F, 0, 8, 4, 46, 54
INVAR-11, Run: 073, F, 0, 10, 3, 45, 55
INVAR-11, Run: 074, F, 0, 10, 3, 45, 55
INVAR-11, Run: 075, F, 0, 10, 3, 45, 55
INVAR-11, Run: 076, F, 0, 12, 2, 44, 56
INVAR-11, Run: 077, F, 0, 10, 3, 45, 55
INVAR-11, Run: 078, F, 0, 10, 3, 45, 55
INVAR-11, Run: 079, F, 0, 8, 4, 46, 54
INVAR-11, Run: 080, F, 0, 10, 3, 45, 55
INVAR-11, Run: 081, F, 0, 8, 4, 46, 54
INVAR-11, Run: 082, F, 0, 10, 3, 45, 55
INVAR-11, Run: 083, F, 0, 10, 3, 45, 55
INVAR-11, Run: 084, F, 0, 12, 2, 44, 56
INVAR-11, Run: 085, F, 0, 12, 2, 44, 56
INVAR-11, Run: 086, F, 0, 10, 3, 45, 55
INVAR-11, Run: 087, F, 0, 8, 4, 46, 54
INVAR-11, Run: 088, F, 0, 8, 4, 46, 54
INVAR-11, Run: 089, F, 0, 10, 3, 45, 55
INVAR-11, Run: 090, F, 0, 8, 4, 46, 54
INVAR-11, Run: 091, F, 0, 14, 1, 43, 57
INVAR-11, Run: 092, F, 0, 8, 4, 46, 54
INVAR-11, Run: 093, F, 0, 8, 4, 46, 54
INVAR-11, Run: 094, F, 0, 8, 4, 46, 54
INVAR-11, Run: 095, F, 0, 10, 3, 45, 55
INVAR-11, Run: 096, F, 0, 8, 4, 46, 54
INVAR-11, Run: 097, F, 0, 8, 4, 46, 54
INVAR-11, Run: 098, F, 0, 10, 3, 45, 55
INVAR-11, Run: 099, F, 0, 10, 3, 45, 55
INVAR-11, Run: 100, F, 0, 10, 3, 45, 55
INVAR-12, Run: 001, F, 0, 30, 15, 85, 115
INVAR-12, Run: 002, F, 0, 32, 14, 84, 116
INVAR-12, Run: 003, F, 0, 34, 13, 83, 117
INVAR-12, Run: 004, F, 0, 30, 15, 85, 115
INVAR-12, Run: 005, F, 0, 38, 11, 81, 119
INVAR-12, Run: 006, F, 0, 30, 15, 85, 115
INVAR-12, Run: 007, F, 0, 34, 13, 83, 117
INVAR-12, Run: 008, F, 0, 30, 15, 85, 115
INVAR-12, Run: 009, F, 0, 32, 14, 84, 116
INVAR-12, Run: 010, F, 0, 22, 19, 89, 111
INVAR-12, Run: 011, F, 0, 34, 13, 83, 117
INVAR-12, Run: 012, F, 0, 36, 12, 82, 118
INVAR-12, Run: 013, F, 0, 34, 13, 83, 117
INVAR-12, Run: 014, F, 0, 30, 15, 85, 115
INVAR-12, Run: 015, F, 0, 28, 16, 86, 114
INVAR-12, Run: 016, F, 0, 38, 11, 81, 119
INVAR-12, Run: 017, F, 0, 28, 16, 86, 114
INVAR-12, Run: 018, F, 0, 26, 17, 87, 113
INVAR-12, Run: 019, F, 0, 24, 18, 88, 112
INVAR-12, Run: 020, F, 0, 32, 14, 84, 116
INVAR-12, Run: 021, F, 0, 26, 17, 87, 113
INVAR-12, Run: 022, F, 0, 34, 13, 83, 117
INVAR-12, Run: 023, F, 0, 32, 14, 84, 116
INVAR-12, Run: 024, F, 0, 38, 11, 81, 119
INVAR-12, Run: 025, F, 0, 40, 10, 80, 120
INVAR-12, Run: 026, F, 0, 28, 16, 86, 114
INVAR-12, Run: 027, F, 0, 28, 16, 86, 114
INVAR-12, Run: 028, F, 0, 30, 15, 85, 115
INVAR-12, Run: 029, F, 0, 30, 15, 85, 115
INVAR-12, Run: 030, F, 0, 30, 15, 85, 115
INVAR-12, Run: 031, F, 0, 30, 15, 85, 115
INVAR-12, Run: 032, F, 0, 36, 12, 82, 118
INVAR-12, Run: 033, F, 0, 34, 13, 83, 117
INVAR-12, Run: 034, F, 0, 30, 15, 85, 115
INVAR-12, Run: 035, F, 0, 28, 16, 86, 114
INVAR-12, Run: 036, F, 0, 28, 16, 86, 114
INVAR-12, Run: 037, F, 0, 40, 10, 80, 120
INVAR-12, Run: 038, F, 0, 38, 11, 81, 119
INVAR-12, Run: 039, F, 0, 24, 18, 88, 112
INVAR-12, Run: 040, F, 0, 30, 15, 85, 115
INVAR-12, Run: 041, F, 0, 26, 17, 87, 113
INVAR-12, Run: 042, F, 0, 36, 12, 82, 118
INVAR-12, Run: 043, F, 0, 34, 13, 83, 117
INVAR-12, Run: 044, F, 0, 26, 17, 87, 113
INVAR-12, Run: 045, F, 0, 28, 16, 86, 114
INVAR-12, Run: 046, F, 0, 42, 9, 79, 121
INVAR-12, Run: 047, F, 0, 34, 13, 83, 117
INVAR-12, Run: 048, F, 0, 30, 15, 85, 115
INVAR-12, Run: 049, F, 0, 34, 13, 83, 117
INVAR-12, Run: 050, F, 0, 30, 15, 85, 115
INVAR-12, Run: 051, F, 0, 26, 17, 87, 113
INVAR-12, Run: 052, F, 0, 30, 15, 85, 115
INVAR-12, Run: 053, F, 0, 34, 13, 83, 117
INVAR-12, Run: 054, F, 0, 28, 16, 86, 114
INVAR-12, Run: 055, F, 0, 36, 12, 82, 118
INVAR-12, Run: 056, F, 0, 24, 18, 88, 112
INVAR-12, Run: 057, F, 0, 28, 16, 86, 114
INVAR-12, Run: 058, F, 0, 34, 13, 83, 117
INVAR-12, Run: 059, F, 0, 24, 18, 88, 112
INVAR-12, Run: 060, F, 0, 24, 18, 88, 112
INVAR-12, Run: 061, F, 0, 32, 14, 84, 116
INVAR-12, Run: 062, F, 0, 32, 14, 84, 116
INVAR-12, Run: 063, F, 0, 36, 12, 82, 118
INVAR-12, Run: 064, F, 0, 24, 18, 88, 112
INVAR-12, Run: 065, F, 0, 36, 12, 82, 118
INVAR-12, Run: 066, F, 0, 34, 13, 83, 117
INVAR-12, Run: 067, F, 0, 36, 12, 82, 118
INVAR-12, Run: 068, F, 0, 32, 14, 84, 116
INVAR-12, Run: 069, F, 0, 28, 16, 86, 114
INVAR-12, Run: 070, F, 0, 26, 17, 87, 113
INVAR-12, Run: 071, F, 0, 30, 15, 85, 115
INVAR-12, Run: 072, F, 0, 34, 13, 83, 117
INVAR-12, Run: 073, F, 0, 28, 16, 86, 114
INVAR-12, Run: 074, F, 0, 28, 16, 86, 114
INVAR-12, Run: 075, F, 0, 32, 14, 84, 116
INVAR-12, Run: 076, F, 0, 28, 16, 86, 114
INVAR-12, Run: 077, F, 0, 28, 16, 86, 114
INVAR-12, Run: 078, F, 0, 34, 13, 83, 117
INVAR-12, Run: 079, F, 0, 32, 14, 84, 116
INVAR-12, Run: 080, F, 0, 30, 15, 85, 115
INVAR-12, Run: 081, F, 0, 26, 17, 87, 113
INVAR-12, Run: 082, F, 0, 32, 14, 84, 116
INVAR-12, Run: 083, F, 0, 32, 14, 84, 116
INVAR-12, Run: 084, F, 0, 26, 17, 87, 113
INVAR-12, Run: 085, F, 0, 34, 13, 83, 117
INVAR-12, Run: 086, F, 0, 38, 11, 81, 119
INVAR-12, Run: 087, F, 0, 32, 14, 84, 116
INVAR-12, Run: 088, F, 0, 34, 13, 83, 117
INVAR-12, Run: 089, F, 0, 36, 12, 82, 118
INVAR-12, Run: 090, F, 0, 36, 12, 82, 118
INVAR-12, Run: 091, F, 0, 30, 15, 85, 115
INVAR-12, Run: 092, F, 0, 36, 12, 82, 118
INVAR-12, Run: 093, F, 0, 30, 15, 85, 115
INVAR-12, Run: 094, F, 0, 34, 13, 83, 117
INVAR-12, Run: 095, F, 0, 34, 13, 83, 117
INVAR-12, Run: 096, F, 0, 34, 13, 83, 117
INVAR-12, Run: 097, F, 0, 36, 12, 82, 118
INVAR-12, Run: 098, F, 0, 30, 15, 85, 115
INVAR-12, Run: 099, F, 0, 34, 13, 83, 117
INVAR-12, Run: 100, F, 0, 26, 17, 87, 113
INVAR-13, Run: 001, F, 8, 0, 0, 5, 5
INVAR-13, Run: 002, F, 8, 0, 0, 5, 5
INVAR-13, Run: 003, F, 8, 0, 0, 5, 5
INVAR-13, Run: 004, F, 8, 0, 0, 5, 5
INVAR-13, Run: 005, F, 8, 0, 0, 5, 5
INVAR-13, Run: 006, F, 8, 0, 0, 5, 5
INVAR-13, Run: 007, F, 8, 0, 0, 5, 5
INVAR-13, Run: 008, F, 8, 0, 0, 5, 5
INVAR-13, Run: 009, F, 8, 0, 0, 5, 5
INVAR-13, Run: 010, F, 8, 0, 0, 5, 5
INVAR-13, Run: 011, F, 8, 0, 0, 5, 5
INVAR-13, Run: 012, F, 8, 0, 0, 5, 5
INVAR-13, Run: 013, F, 8, 0, 0, 5, 5
INVAR-13, Run: 014, F, 8, 0, 0, 5, 5
INVAR-13, Run: 015, F, 8, 0, 0, 5, 5
INVAR-13, Run: 016, F, 8, 0, 0, 5, 5
INVAR-13, Run: 017, F, 8, 0, 0, 5, 5
INVAR-13, Run: 018, F, 8, 0, 0, 5, 5
INVAR-13, Run: 019, F, 8, 0, 0, 5, 5
INVAR-13, Run: 020, F, 8, 0, 0, 5, 5
INVAR-13, Run: 021, F, 8, 0, 0, 5, 5
INVAR-13, Run: 022, F, 8, 0, 0, 5, 5
INVAR-13, Run: 023, F, 8, 0, 0, 5, 5
INVAR-13, Run: 024, F, 8, 0, 0, 5, 5
INVAR-13, Run: 025, F, 8, 0, 0, 5, 5
INVAR-13, Run: 026, F, 8, 0, 0, 5, 5
INVAR-13, Run: 027, F, 8, 0, 0, 5, 5
INVAR-13, Run: 028, F, 8, 0, 0, 5, 5
INVAR-13, Run: 029, F, 8, 0, 0, 5, 5
INVAR-13, Run: 030, F, 8, 0, 0, 5, 5
INVAR-13, Run: 031, F, 8, 0, 0, 5, 5
INVAR-13, Run: 032, F, 8, 0, 0, 5, 5
INVAR-13, Run: 033, F, 8, 0, 0, 5, 5
INVAR-13, Run: 034, F, 8, 0, 0, 5, 5
INVAR-13, Run: 035, F, 8, 0, 0, 5, 5
INVAR-13, Run: 036, F, 8, 0, 0, 5, 5
INVAR-13, Run: 037, F, 8, 0, 0, 5, 5
INVAR-13, Run: 038, F, 8, 0, 0, 5, 5
INVAR-13, Run: 039, F, 8, 0, 0, 5, 5
INVAR-13, Run: 040, F, 8, 0, 0, 5, 5
INVAR-13, Run: 041, F, 8, 0, 0, 5, 5
INVAR-13, Run: 042, F, 8, 0, 0, 5, 5
INVAR-13, Run: 043, F, 8, 0, 0, 5, 5
INVAR-13, Run: 044, F, 8, 0, 0, 5, 5
INVAR-13, Run: 045, F, 8, 0, 0, 5, 5
INVAR-13, Run: 046, F, 8, 0, 0, 5, 5
INVAR-13, Run: 047, F, 8, 0, 0, 5, 5
INVAR-13, Run: 048, F, 8, 0, 0, 5, 5
INVAR-13, Run: 049, F, 8, 0, 0, 5, 5
INVAR-13, Run: 050, F, 8, 0, 0, 5, 5
INVAR-13, Run: 051, F, 8, 0, 0, 5, 5
INVAR-13, Run: 052, F, 8, 0, 0, 5, 5
INVAR-13, Run: 053, F, 8, 0, 0, 5, 5
INVAR-13, Run: 054, F, 8, 0, 0, 5, 5
INVAR-13, Run: 055, F, 8, 0, 0, 5, 5
INVAR-13, Run: 056, F, 8, 0, 0, 5, 5
INVAR-13, Run: 057, F, 8, 0, 0, 5, 5
INVAR-13, Run: 058, F, 8, 0, 0, 5, 5
INVAR-13, Run: 059, F, 8, 0, 0, 5, 5
INVAR-13, Run: 060, F, 8, 0, 0, 5, 5
INVAR-13, Run: 061, F, 8, 0, 0, 5, 5
INVAR-13, Run: 062, F, 8, 0, 0, 5, 5
INVAR-13, Run: 063, F, 8, 0, 0, 5, 5
